Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 16_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Dudu,br BRA,"FW,MF",26.0,27.4,7,75,31,41.3,2.74,1.13,0.09,0.23,,0,1,Matches
Bruno Henrique,br BRA,MF,28.0,26.7,9,48,16,33.3,1.8,0.6,0.15,0.44,,2,2,Matches
Felipe Melo,br BRA,"DF,MF",34.0,24.6,2,18,4,22.2,0.73,0.16,0.11,0.5,,0,0,Matches
Lucas Lima,br BRA,"FW,MF",27.0,24.1,5,37,10,27.0,1.54,0.42,0.14,0.5,,0,0,Matches
Wéverton,br BRA,GK,30.0,22.5,0,0,0,,0.0,0.0,,,,0,0,Matches
Willian,br BRA,"FW,MF",31.0,21.9,10,64,29,45.3,2.93,1.33,0.16,0.34,,0,0,Matches
Antonio Carlos,br BRA,DF,24.0,21.6,1,15,5,33.3,0.69,0.23,0.07,0.2,,0,0,Matches
Victor Luis,br BRA,DF,24.0,20.4,1,16,5,31.3,0.78,0.24,0.06,0.2,,0,0,Matches
Edu Dracena,br BRA,DF,36.0,20.0,2,10,4,40.0,0.5,0.2,0.2,0.5,,0,0,Matches
Marcos Rocha,br BRA,DF,29.0,18.4,1,6,3,50.0,0.33,0.16,0.17,0.33,,0,0,Matches
Diogo Barbosa,br BRA,DF,25.0,17.8,0,3,1,33.3,0.17,0.06,0.0,0.0,,0,0,Matches
Moisés Magalhães,br BRA,MF,29.0,16.8,2,22,7,31.8,1.31,0.42,0.05,0.14,,1,1,Matches
Thiago dos Santos,br BRA,"DF,MF",28.0,16.1,1,11,3,27.3,0.69,0.19,0.09,0.33,,0,0,Matches
Luan Garcia,br BRA,DF,24.0,15.3,2,4,4,100.0,0.26,0.26,0.5,0.5,,0,0,Matches
Hyoran,br BRA,MF,24.0,15.9,3,44,12,27.3,2.77,0.75,0.07,0.25,,0,0,Matches
Miguel Borja,co COL,FW,25.0,12.3,3,33,8,24.2,2.69,0.65,0.09,0.38,,0,0,Matches
Mayke,br BRA,"DF,MF",25.0,16.0,0,2,0,0.0,0.12,0.0,0.0,,,0,0,Matches
Gustavo Gómez,py PAR,DF,24.0,13.1,2,6,3,50.0,0.46,0.23,0.17,0.33,,1,1,Matches
Jailson,br BRA,GK,36.0,12.5,0,0,0,,0.0,0.0,,,,0,0,Matches
Deyverson,br BRA,FW,26.0,13.6,9,41,20,48.8,3.01,1.47,0.22,0.45,,0,0,Matches
Jean,br BRA,"DF,MF",31.0,9.2,0,9,1,11.1,0.98,0.11,0.0,0.0,,0,1,Matches
Keno,br BRA,"FW,MF",28.0,8.4,1,11,5,45.5,1.31,0.6,0.09,0.2,,0,1,Matches
Gustavo Scarpa,br BRA,"DF,FW",24.0,7.3,2,25,7,28.0,3.45,0.96,0.04,0.14,,1,1,Matches
Thiago Martins,br BRA,DF,22.0,7.0,0,5,1,20.0,0.71,0.14,0.0,0.0,,0,0,Matches
Alejandro Guerra,ve VEN,MF,32.0,3.9,1,6,5,83.3,1.53,1.27,0.17,0.2,,0,0,Matches
Fernando Prass,br BRA,GK,39.0,3.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Artur,,"FW,MF",19.0,1.3,0,2,2,100.0,1.57,1.57,0.0,0.0,,0,0,Matches
Tyra Håkansson,se SWE,MF,,0.4,0,0,0,,0.0,0.0,,,,0,0,Matches
Tchê Tchê,br BRA,"DF,MF",25.0,0.2,0,1,0,0.0,4.29,0.0,0.0,,,0,0,Matches
Squad Total,,,28.4,38.0,64,514,186,36.2,13.53,4.89,0.11,0.32,,5,8,
Opponent Total,,,26.9,38.0,26,396,126,31.8,10.42,3.32,0.06,0.19,,2,2,
