Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Dudu,br BRA,"FW,MF",27.0,34.0,877,1299,67.5,14966,4957,422,498,84.7,303,431,70.3,107,246,43.5,10,12.2,10.5,-2.2,89,76,67,22,162,Matches
Diogo Barbosa,br BRA,DF,26.0,33.0,1321,1627,81.2,19912,7263,737,814,90.5,485,601,80.7,62,114,54.4,2,2.0,2.3,0.0,27,126,30,12,152,Matches
Bruno Henrique,br BRA,MF,29.0,32.2,1523,1737,87.7,26010,8051,674,731,92.2,615,678,90.7,156,214,72.9,2,3.6,2.4,-1.6,42,183,29,5,275,Matches
Wéverton,br BRA,GK,31.0,31.0,458,686,66.8,15936,13367,80,80,100.0,165,166,99.4,213,438,48.6,0,0.4,0.4,-0.4,2,28,2,0,0,Matches
Marcos Rocha,br BRA,DF,30.0,29.0,1302,1792,72.7,26513,12179,474,549,86.3,551,712,77.4,239,415,57.6,3,4.8,4.1,-1.8,53,153,52,15,206,Matches
Felipe Melo,br BRA,MF,35.0,22.6,911,1049,86.8,17942,5237,312,346,90.2,432,470,91.9,126,175,72.0,1,0.9,0.9,0.1,13,105,4,0,102,Matches
Zé Rafael,br BRA,"FW,MF",25.0,19.1,393,497,79.1,4921,1131,241,274,88.0,107,133,80.5,8,19,42.1,5,2.6,1.2,2.4,16,28,13,0,53,Matches
Gustavo Gómez,py PAR,DF,25.0,21.7,792,913,86.7,14061,5034,308,334,92.2,383,429,89.3,75,114,65.8,0,0.4,0.5,-0.4,7,38,1,1,42,Matches
Deyverson,br BRA,FW,27.0,19.7,235,408,57.6,3341,816,129,206,62.6,74,120,61.7,13,35,37.1,2,4.3,1.6,-2.3,28,26,13,2,47,Matches
Luan Garcia,br BRA,DF,25.0,20.1,655,801,81.8,12790,5507,207,233,88.8,367,419,87.6,71,130,54.6,0,0.2,0.3,-0.2,4,45,4,2,64,Matches
Vitor Hugo,br BRA,DF,27.0,20.0,750,812,92.4,14227,5405,279,289,96.5,379,394,96.2,76,106,71.7,0,0.1,0.1,-0.1,2,13,0,0,24,Matches
Gustavo Scarpa,br BRA,"MF,FW",25.0,17.4,569,782,72.8,10257,2599,262,312,84.0,209,269,77.7,76,139,54.7,4,3.6,3.5,0.4,39,43,30,17,73,Matches
Lucas Lima,br BRA,MF,28.0,13.1,574,680,84.4,9786,2584,299,322,92.9,188,212,88.7,69,96,71.9,4,2.2,3.1,1.8,28,56,28,8,99,Matches
Willian,br BRA,"FW,MF",32.0,12.6,331,411,80.5,4429,907,201,242,83.1,82,103,79.6,20,23,87.0,1,1.6,1.2,-0.6,21,16,8,5,22,Matches
Thiago dos Santos,br BRA,MF,29.0,12.1,438,525,83.4,8307,2598,164,187,87.7,198,227,87.2,57,83,68.7,0,0.3,0.3,-0.3,6,50,4,0,44,Matches
Luiz Adriano,br BRA,FW,31.0,9.9,127,161,78.9,1806,222,73,88,83.0,43,53,81.1,6,8,75.0,1,0.8,0.8,0.2,10,11,2,0,10,Matches
Raphael Veiga,br BRA,"MF,FW",23.0,8.6,294,349,84.2,4563,1140,166,176,94.3,92,107,86.0,20,42,47.6,1,0.5,0.5,0.5,12,20,7,4,34,Matches
Antonio Carlos,br BRA,DF,25.0,8.2,240,295,81.4,4512,1745,83,98,84.7,128,138,92.8,23,46,50.0,0,0.0,0.0,0.0,1,5,0,0,10,Matches
Matheus Fernandes,br BRA,MF,20.0,6.0,224,272,82.4,3465,896,108,122,88.5,88,102,86.3,14,23,60.9,0,0.6,0.1,-0.6,7,15,1,0,26,Matches
Edu Dracena,br BRA,DF,37.0,6.0,190,220,86.4,3508,1517,71,80,88.8,95,104,91.3,19,27,70.4,0,0.3,0.1,-0.3,1,7,0,0,13,Matches
Hyoran,br BRA,"FW,MF",25.0,5.1,107,136,78.7,1580,453,64,72,88.9,26,35,74.3,11,15,73.3,3,1.0,0.2,2.0,10,9,3,0,13,Matches
Victor Luis,br BRA,DF,25.0,5.0,196,233,84.1,3033,1049,106,109,97.2,69,85,81.2,15,23,65.2,0,0.0,0.2,0.0,1,21,3,2,25,Matches
Mayke,br BRA,DF,26.0,4.3,233,270,86.3,3571,1176,121,133,91.0,94,109,86.2,11,16,68.8,0,0.1,0.2,-0.1,3,21,3,2,28,Matches
Jean,br BRA,DF,32.0,4.7,205,246,83.3,3100,992,112,119,94.1,78,91,85.7,9,23,39.1,1,1.0,0.7,0.0,4,13,3,1,20,Matches
Jailson,br BRA,GK,37.0,4.0,69,83,83.1,1865,1415,12,12,100.0,39,39,100.0,18,31,58.1,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Miguel Borja,co COL,FW,26.0,3.9,65,92,70.7,961,178,37,47,78.7,19,28,67.9,5,8,62.5,1,0.2,0.1,0.8,4,4,4,1,9,Matches
Fernando Prass,br BRA,GK,40.0,3.0,55,73,75.3,1796,1438,8,8,100.0,27,28,96.4,20,37,54.1,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Moisés Magalhães,br BRA,MF,30.0,3.5,153,193,79.3,2789,988,60,67,89.6,67,81,82.7,20,30,66.7,0,1.2,0.3,-1.2,8,24,7,0,30,Matches
Ramires,br BRA,"MF,FW",31.0,1.8,48,63,76.2,744,230,27,31,87.1,15,19,78.9,4,7,57.1,0,0.0,0.1,0.0,0,5,1,0,9,Matches
Carlos Eduardo,br BRA,"FW,MF",22.0,2.6,50,67,74.6,607,150,37,39,94.9,11,15,73.3,0,1,0.0,0,0.3,0.2,-0.3,6,1,3,0,6,Matches
Arthur Cabral,br BRA,FW,20.0,1.0,7,11,63.6,72,11,5,7,71.4,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Ricardo Goulart,br BRA,MF,27.0,0.1,1,2,50.0,24,9,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Henrique Dourado,br BRA,FW,29.0,0.9,7,10,70.0,120,35,2,2,100.0,2,3,66.7,2,3,66.7,0,0.0,0.1,0.0,0,2,0,0,2,Matches
Gabriel Veron,br BRA,FW,16.0,0.8,13,19,68.4,144,47,13,17,76.5,0,1,0.0,0,0,,1,0.7,0.6,0.3,1,2,0,0,1,Matches
Felipe Pires,br BRA,"FW,MF",23.0,0.2,8,8,100.0,108,29,5,5,100.0,3,3,100.0,0,0,,0,0.1,0.1,-0.1,1,1,1,0,1,Matches
Squad Total,,,28.5,38.0,13421,16822,79.8,241766,91355,5899,6649,88.7,5436,6409,84.8,1565,2687,58.2,42,45.6,36.7,-3.6,446,1149,323,99,1603,
Opponent Total,,,27.5,38.0,13859,17187,80.6,236087,87182,6642,7396,89.8,5405,6410,84.3,1340,2412,55.6,16,21.6,21.0,-5.6,290,1026,189,62,1312,
