Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Wéverton,br BRA,GK,32.0,30.0,0,0,0,0,0,0,0,,0,0,0,0,3,3,16,1,Matches
Gabriel Menino,br BRA,"MF,DF",19.0,21.8,33,20,13,16,4,14,38,36.8,24,28,1,27,26,59,20,0,Matches
Matías Viña,uy URU,DF,22.0,21.5,52,35,26,23,3,23,52,44.2,29,27,2,25,37,89,43,0,Matches
Lucas Lima,br BRA,"MF,FW",29.0,21.0,45,27,10,25,10,19,72,26.4,53,19,2,17,12,57,6,0,Matches
Luan Garcia,br BRA,DF,26.0,22.3,25,16,19,6,0,10,18,55.6,8,28,16,12,31,56,77,0,Matches
Patrick de Paula,br BRA,MF,20.0,20.7,33,24,12,17,4,19,57,33.3,38,28,7,21,30,63,20,1,Matches
Gustavo Gómez,py PAR,DF,26.0,20.5,16,12,11,4,1,8,15,53.3,7,16,13,3,26,42,84,0,Matches
Zé Rafael,br BRA,MF,26.0,18.5,40,22,12,22,6,15,61,24.6,46,15,3,12,22,62,10,0,Matches
Luiz Adriano,br BRA,FW,32.0,17.1,6,2,1,3,2,1,10,10.0,9,8,2,6,4,10,17,0,Matches
Raphael Veiga,br BRA,MF,24.0,17.0,14,6,5,7,2,4,17,23.5,13,11,2,9,14,28,5,0,Matches
Willian,br BRA,"FW,MF",33.0,19.5,14,9,4,6,4,1,15,6.7,14,5,2,3,8,22,12,0,Matches
Marcos Rocha,br BRA,DF,31.0,17.1,51,33,26,23,2,29,59,49.2,30,20,3,17,23,74,24,0,Matches
Mayke,br BRA,DF,27.0,14.7,25,12,16,6,3,8,17,47.1,9,30,9,21,40,65,36,2,Matches
Rony,br BRA,"FW,MF",24.0,14.3,25,15,7,12,6,7,28,25.0,21,14,0,14,10,35,4,0,Matches
Felipe Melo,br BRA,"DF,MF",36.0,12.4,14,11,10,4,0,8,14,57.1,6,10,4,6,24,38,30,0,Matches
Gustavo Scarpa,br BRA,"MF,FW",26.0,13.0,9,4,2,7,0,0,9,0.0,9,7,2,5,20,29,11,1,Matches
Emerson Santos,br BRA,"DF,MF",24.0,9.6,13,6,9,4,0,9,18,50.0,9,8,4,4,11,24,21,0,Matches
Breno,br BRA,"FW,MF",24.0,10.8,7,5,2,3,2,4,15,26.7,11,6,1,5,3,10,8,0,Matches
Wesley,br BRA,"FW,MF",20.0,8.4,21,13,6,6,9,8,26,30.8,18,5,0,5,3,24,1,0,Matches
Danilo,br BRA,MF,18.0,10.1,15,9,7,7,1,6,25,24.0,19,13,1,12,12,27,15,1,Matches
Gabriel Veron,br BRA,"FW,MF",17.0,9.8,18,13,9,5,4,10,24,41.7,14,9,0,9,3,21,4,0,Matches
Benjamín Kuscevic,cl CHI,DF,23.0,8.5,12,7,7,4,1,6,9,66.7,3,13,11,2,9,21,35,1,Matches
Renan Victor,br BRA,DF,17.0,8.0,15,12,9,5,1,11,16,68.8,5,7,1,6,12,27,25,0,Matches
Alan Empereur,br BRA,DF,25.0,7.7,4,2,4,0,0,1,1,100.0,0,10,7,3,12,16,32,0,Matches
Bruno Henrique,br BRA,MF,30.0,7.0,10,3,2,6,2,5,10,50.0,5,12,7,5,6,16,8,0,Matches
Lucas Esteves,br BRA,"DF,FW",19.0,6.7,14,5,6,6,2,6,15,40.0,9,4,2,2,9,23,6,0,Matches
Jailson,br BRA,GK,38.0,6.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
Ramires,br BRA,MF,32.0,6.2,18,10,9,8,1,4,8,50.0,4,12,6,6,8,26,7,0,Matches
Gabriel Vieira,br BRA,"FW,MF",17.0,4.1,4,1,2,2,0,2,6,33.3,4,2,1,1,0,4,3,0,Matches
Diogo Barbosa,br BRA,DF,27.0,3.6,13,8,8,4,1,8,10,80.0,2,6,1,5,8,21,7,0,Matches
Vitor Hugo,br BRA,DF,28.0,3.0,1,0,1,0,0,1,2,50.0,1,6,3,3,7,8,9,0,Matches
Vinicius Silvestre,br BRA,GK,25.0,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Vanderlan,br BRA,DF,17.0,1.4,1,1,1,0,0,0,0,,0,0,0,0,4,5,3,0,Matches
Marcelinho,br BRA,FW,17.0,0.7,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,0,0,Matches
Fabrício Biato,br BRA,FW,18.0,1.2,1,0,0,1,0,1,2,50.0,1,1,0,1,0,1,0,0,Matches
Pedro Acacio,br BRA,"MF,DF",17.0,0.4,2,2,2,0,0,1,2,50.0,1,0,0,0,0,2,0,0,Matches
Squad Total,,,26.4,38.0,572,345,259,242,71,249,672,37.1,423,380,113,267,439,1011,600,7,
Opponent Total,,,26.3,38.0,459,274,215,198,46,181,532,34.0,351,345,116,229,419,878,684,10,
