Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Raphael Veiga,br BRA,"MF,FW",25.0,25.6,1308,17,149,698,479,78,1305,61,37,60.7,24,39.3,888,5415,2678,74,53,14,48,17,978,137,Matches
Luan Garcia,br BRA,DF,27.0,24.6,1630,199,766,837,39,14,1630,14,9,64.3,5,35.7,1035,4799,2792,21,12,1,8,0,1127,5,Matches
Wéverton,br BRA,GK,33.0,20.8,753,575,747,6,0,0,753,0,0,,0,,457,2779,1844,0,0,0,2,0,365,1,Matches
Gustavo Scarpa,br BRA,"MF,FW",27.0,20.4,1219,11,125,504,607,39,1218,60,31,51.7,29,48.3,770,5115,2478,63,44,14,41,21,807,149,Matches
Marcos Rocha,br BRA,DF,32.0,18.7,1444,50,427,743,285,13,1444,18,10,55.6,8,44.4,775,3097,1754,26,16,2,16,4,879,65,Matches
Gustavo Gómez,py PAR,DF,27.0,20.0,1298,130,607,632,65,28,1298,3,1,33.3,2,66.7,816,3536,1873,4,9,2,5,0,887,12,Matches
Zé Rafael,br BRA,MF,27.0,20.2,1180,32,195,797,217,26,1180,76,47,61.8,30,39.5,767,3948,1932,35,28,4,41,24,824,40,Matches
Felipe Melo,br BRA,"MF,DF",37.0,19.1,1091,130,441,613,46,9,1091,7,5,71.4,2,28.6,611,2654,1206,4,3,0,8,6,701,4,Matches
Rony,br BRA,"FW,MF",25.0,18.2,525,20,50,180,305,79,525,31,17,54.8,14,45.2,316,2093,1056,45,23,18,50,23,347,113,Matches
Renan Victor,br BRA,DF,18.0,18.3,1211,99,529,610,83,20,1211,11,6,54.5,5,45.5,745,3621,2297,23,16,2,11,6,814,4,Matches
Danilo,br BRA,MF,19.0,17.3,932,30,187,589,171,21,932,21,9,42.9,12,57.1,600,3075,1451,28,20,5,13,17,653,41,Matches
Dudu,br BRA,"FW,MF",29.0,16.5,810,12,54,328,446,56,810,49,31,63.3,18,36.7,571,4628,2525,99,81,30,31,16,613,168,Matches
Wesley,br BRA,"FW,MF",21.0,11.8,468,6,50,181,247,49,468,53,34,64.2,19,35.8,322,2392,1082,40,24,19,31,20,344,123,Matches
Jailson,br BRA,GK,39.0,13.2,427,371,427,0,0,0,427,0,0,,0,,210,956,639,0,0,0,0,0,167,0,Matches
Patrick de Paula,br BRA,MF,21.0,12.4,757,31,168,489,119,7,756,18,16,88.9,2,11.1,470,2494,1275,21,13,0,19,18,472,24,Matches
Luiz Adriano,br BRA,FW,33.0,10.4,228,11,17,108,104,38,228,2,0,0.0,2,100.0,124,543,241,3,7,2,5,7,162,42,Matches
Gabriel Menino,br BRA,"DF,MF",20.0,12.3,790,22,193,381,222,14,790,29,15,51.7,14,48.3,470,2677,1343,27,33,3,18,7,498,74,Matches
Benjamín Kuscevic,cl CHI,DF,24.0,10.1,588,74,302,261,27,11,588,1,1,100.0,0,0.0,354,1522,708,1,3,1,2,1,393,3,Matches
Joaquín Piquerez,uy URU,DF,22.0,10.8,619,28,172,289,164,27,619,19,12,63.2,7,36.8,376,1884,1020,19,15,4,5,3,393,55,Matches
Deyverson,br BRA,FW,29.0,11.8,411,16,35,196,185,56,411,14,7,50.0,7,50.0,184,745,306,8,2,3,23,11,311,60,Matches
Victor Luis,br BRA,DF,27.0,9.4,594,22,157,282,158,7,594,11,6,54.5,5,45.5,347,1810,999,20,18,1,10,3,358,47,Matches
Willian,br BRA,"FW,MF",34.0,8.6,270,5,29,112,134,38,270,11,7,63.6,4,36.4,183,1069,455,20,16,6,25,6,210,52,Matches
Mayke,br BRA,DF,28.0,7.3,469,21,123,223,126,9,469,7,4,57.1,3,42.9,258,1014,453,7,11,2,9,2,277,46,Matches
Jorge,br BRA,"DF,MF",24.0,5.1,272,9,65,163,46,4,272,6,3,50.0,3,50.0,171,1055,560,13,6,1,7,2,163,11,Matches
Breno,br BRA,"FW,MF",25.0,8.4,366,5,39,160,179,32,366,11,6,54.5,5,45.5,241,1857,1073,41,17,12,10,4,263,87,Matches
Gabriel Veron,br BRA,"FW,MF",18.0,5.3,244,3,36,85,131,19,244,19,7,36.8,12,63.2,159,1043,530,12,14,4,22,9,166,50,Matches
Danilo Barbosa,br BRA,"MF,DF",24.0,5.0,268,21,87,146,37,2,268,13,7,53.8,6,46.2,140,644,260,5,4,1,12,4,139,5,Matches
Matheus Fernandes,br BRA,MF,22.0,4.2,165,9,54,82,30,3,165,9,6,66.7,3,33.3,84,373,135,3,2,0,10,8,83,8,Matches
Vinicius Silvestre,br BRA,GK,26.0,4.0,146,129,144,2,0,0,146,0,0,,0,,65,507,382,0,0,0,1,0,30,0,Matches
