Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Raphael Veiga,br BRA,"MF,FW",25.0,31,29,2303.0,25.6,10.0,4.0,14.0,7.0,3.0,3.0,1.0,0.0,7.2,4.8,3.3,8.1,74.0,158.0,137.0,0.39,0.16,0.55,0.27,0.43,0.28,0.13,0.41,0.19,0.32,Matches
Luan Garcia,br BRA,DF,27.0,26,25,2216.0,24.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.6,1.6,21.0,101.0,5.0,0.04,0.0,0.04,0.04,0.04,0.04,0.02,0.07,0.04,0.07,Matches
Wéverton,br BRA,GK,33.0,21,21,1868.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gustavo Scarpa,br BRA,"MF,FW",27.0,31,21,1836.0,20.4,4.0,13.0,17.0,3.0,1.0,1.0,2.0,0.0,5.7,4.9,7.9,12.9,63.0,115.0,149.0,0.2,0.64,0.83,0.15,0.78,0.28,0.39,0.67,0.24,0.63,Matches
Marcos Rocha,br BRA,DF,32.0,22,21,1679.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,1.3,1.7,26.0,121.0,65.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,Matches
Gustavo Gómez,py PAR,DF,27.0,20,20,1800.0,20.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.3,1.3,0.2,1.5,4.0,73.0,12.0,0.05,0.0,0.05,0.05,0.05,0.06,0.01,0.07,0.06,0.07,Matches
Zé Rafael,br BRA,MF,27.0,26,19,1821.0,20.2,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.7,1.7,1.8,3.6,35.0,76.0,40.0,0.05,0.0,0.05,0.05,0.05,0.09,0.09,0.18,0.09,0.18,Matches
Felipe Melo,br BRA,"MF,DF",37.0,24,19,1719.0,19.1,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.9,0.9,0.3,1.2,4.0,79.0,4.0,0.05,0.0,0.05,0.05,0.05,0.05,0.02,0.07,0.05,0.07,Matches
Rony,br BRA,"FW,MF",25.0,25,19,1634.0,18.2,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,4.8,4.8,2.3,7.1,45.0,22.0,113.0,0.22,0.06,0.28,0.22,0.28,0.26,0.13,0.39,0.26,0.39,Matches
