Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Dudu,br BRA,FW,30.0,38,36,2815.0,31.3,7.0,8.0,15.0,7.0,0.0,0.0,2.0,0.0,8.3,8.3,5.5,13.8,156.0,167.0,309.0,0.22,0.26,0.48,0.22,0.48,0.27,0.18,0.44,0.27,0.44,Matches
Wéverton,br BRA,GK,34.0,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Danilo,br BRA,MF,20.0,34,33,2743.0,30.5,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,2.8,2.8,1.4,4.2,38.0,139.0,37.0,0.03,0.07,0.1,0.03,0.1,0.09,0.04,0.14,0.09,0.14,Matches
Murilo Cerqueira,br BRA,DF,24.0,32,32,2837.0,31.5,5.0,1.0,6.0,5.0,0.0,0.0,7.0,0.0,3.6,3.6,1.8,5.4,19.0,121.0,1.0,0.16,0.03,0.19,0.16,0.19,0.11,0.06,0.17,0.11,0.17,Matches
Gustavo Scarpa,br BRA,"MF,FW",28.0,35,31,2575.0,28.6,7.0,13.0,20.0,3.0,4.0,5.0,3.0,0.0,10.2,6.3,11.9,18.2,79.0,158.0,274.0,0.24,0.45,0.7,0.1,0.56,0.36,0.42,0.77,0.22,0.64,Matches
Zé Rafael,br BRA,MF,28.0,33,31,2569.0,28.5,3.0,1.0,4.0,3.0,0.0,0.0,12.0,1.0,4.1,4.1,2.6,6.8,50.0,97.0,70.0,0.11,0.04,0.14,0.11,0.14,0.14,0.09,0.24,0.14,0.24,Matches
Gustavo Gómez,py PAR,DF,28.0,30,30,2700.0,30.0,9.0,0.0,9.0,8.0,1.0,1.0,9.0,0.0,4.5,3.7,0.6,4.3,9.0,87.0,13.0,0.3,0.0,0.3,0.27,0.27,0.15,0.02,0.17,0.12,0.14,Matches
Rony,br BRA,FW,26.0,33,29,2387.0,26.5,12.0,2.0,14.0,12.0,0.0,0.0,3.0,0.0,11.3,11.3,4.2,15.5,46.0,29.0,170.0,0.45,0.08,0.53,0.45,0.53,0.43,0.16,0.58,0.43,0.58,Matches
Marcos Rocha,br BRA,DF,33.0,28,28,2246.0,25.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.4,2.4,52.0,289.0,72.0,0.0,0.16,0.16,0.0,0.16,0.0,0.1,0.1,0.0,0.1,Matches
Joaquín Piquerez,uy URU,DF,23.0,26,26,2227.0,24.7,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,2.2,3.3,42.0,121.0,96.0,0.0,0.08,0.08,0.0,0.08,0.04,0.09,0.13,0.04,0.13,Matches
Raphael Veiga,br BRA,MF,26.0,19,17,1261.0,14.0,3.0,3.0,6.0,1.0,2.0,3.0,1.0,0.0,4.6,2.3,2.3,4.6,37.0,70.0,86.0,0.21,0.21,0.43,0.07,0.29,0.33,0.16,0.5,0.16,0.33,Matches
Mayke,br BRA,"DF,FW",29.0,28,15,1466.0,16.3,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,1.6,1.6,3.5,5.1,34.0,63.0,114.0,0.18,0.0,0.18,0.18,0.18,0.1,0.22,0.31,0.1,0.31,Matches
Luan Garcia,br BRA,DF,28.0,16,14,1225.0,13.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.3,1.5,9.0,67.0,3.0,0.0,0.15,0.15,0.0,0.15,0.02,0.09,0.11,0.02,0.11,Matches
Vanderlan,br BRA,DF,19.0,13,7,652.0,7.2,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,1.0,1.6,19.0,26.0,27.0,0.14,0.14,0.28,0.14,0.28,0.09,0.13,0.23,0.09,0.23,Matches
Gabriel Veron,br BRA,"FW,MF",19.0,12,7,569.0,6.3,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,1.1,1.9,20.0,18.0,47.0,0.16,0.47,0.63,0.16,0.63,0.13,0.17,0.3,0.13,0.3,Matches
