Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Wéverton,br BRA,GK,35.0,35.0,10,0.29,9,1,0,0,0,0,1,0.03,0,1,0,0,0,0,Matches
Gustavo Gómez,py PAR,DF,29.0,30.7,31,1.01,24,0,0,5,0,2,5,0.16,3,0,0,2,0,0,Matches
Zé Rafael,br BRA,MF,29.0,28.5,65,2.28,49,1,2,5,7,1,6,0.21,4,0,0,1,1,0,Matches
Raphael Veiga,br BRA,MF,27.0,27.3,154,5.65,74,62,3,9,6,0,13,0.48,5,5,1,2,0,0,Matches
Joaquín Piquerez,uy URU,DF,24.0,28.1,69,2.46,48,9,4,5,1,2,9,0.32,7,0,0,1,1,0,Matches
Mayke,br BRA,"DF,FW",30.0,27.8,74,2.67,69,2,2,1,0,0,8,0.29,8,0,0,0,0,0,Matches
Murilo Cerqueira,br BRA,DF,25.0,24.1,26,1.08,21,0,1,2,0,2,3,0.12,3,0,0,0,0,0,Matches
Artur,br BRA,FW,24.0,21.1,89,4.23,66,5,9,3,5,1,4,0.19,4,0,0,0,0,0,Matches
Luan Garcia,br BRA,DF,29.0,20.2,25,1.24,23,0,1,1,0,0,4,0.2,2,0,1,1,0,0,Matches
Gabriel Menino,br BRA,MF,22.0,17.7,79,4.46,54,11,4,4,4,2,7,0.4,2,4,1,0,0,0,Matches
Richard Ríos,co COL,MF,22.0,20.6,50,2.43,33,2,6,4,4,1,2,0.1,1,0,0,1,0,0,Matches
Rony,br BRA,FW,27.0,18.2,47,2.58,31,2,2,7,4,1,5,0.27,1,0,0,2,2,0,Matches
Endrick,br BRA,FW,16.0,17.3,54,3.12,31,0,11,5,7,0,9,0.52,3,0,4,1,1,0,Matches
Marcos Rocha,br BRA,DF,34.0,14.0,49,3.49,39,8,1,0,0,1,3,0.21,3,0,0,0,0,0,Matches
Breno,br BRA,FW,27.0,15.2,37,2.44,23,0,1,1,10,2,6,0.4,3,0,0,1,2,0,Matches
Dudu,br BRA,FW,31.0,12.0,62,5.18,48,2,9,0,1,2,5,0.42,4,0,0,0,0,1,Matches
Vanderlan,br BRA,DF,20.0,10.1,19,1.88,13,1,4,1,0,0,3,0.3,2,0,1,0,0,0,Matches
Jhonatan Jowjow,br BRA,"MF,FW",20.0,9.9,37,3.73,26,3,3,3,2,0,3,0.3,3,0,0,0,0,0,Matches
José López,ar ARG,"FW,MF",22.0,6.6,24,3.65,15,0,2,2,4,1,1,0.15,1,0,0,0,0,0,Matches
Kaiky Naves,br BRA,"DF,FW",20.0,5.8,5,0.85,5,0,0,0,0,0,1,0.17,1,0,0,0,0,0,Matches
Luis Guilherme,br BRA,"FW,MF",16.0,6.4,30,4.7,17,4,4,0,4,1,2,0.31,1,0,0,0,1,0,Matches
Fabinho,br BRA,MF,20.0,6.5,15,2.3,12,0,0,1,1,1,2,0.31,1,0,0,1,0,0,Matches
García,br BRA,DF,21.0,3.3,5,1.54,4,1,0,0,0,0,1,0.31,1,0,0,0,0,0,Matches
Marcelo Lomba,br BRA,GK,36.0,3.0,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kevin,br BRA,"FW,DF",20.0,2.6,6,2.31,3,0,1,1,1,0,1,0.38,0,0,0,0,1,0,Matches
Jailson Siqueira,br BRA,"MF,DF",27.0,1.8,7,3.89,7,0,0,0,0,0,2,1.11,2,0,0,0,0,0,Matches
Rafael Navarro,br BRA,FW,22.0,1.4,5,3.6,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Bruno Tabata,br BRA,"MF,FW",25.0,1.4,4,2.93,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ian Custódio,br BRA,DF,19.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Giovani,br BRA,FW,19.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Estêvão Willian,br BRA,DF,15.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Eduard Atuesta,co COL,MF,25.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kauan Silva,br BRA,FW,18.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,26.9,38.0,1079,28.39,754,114,70,60,61,20,106,2.79,65,10,8,13,9,1,
Opponent Total,,,27.4,38.0,763,20.08,537,65,55,44,45,17,54,1.42,39,2,2,7,3,1,
