Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Wéverton,br BRA,GK,35.0,35.0,1194,862,326,87,0,7,0,0,0,0,0,0,939,6,0,Matches
Gustavo Gómez,py PAR,DF,29.0,30.7,1676,1610,60,55,0,9,11,4,0,0,0,0,1393,6,8,Matches
Zé Rafael,br BRA,MF,29.0,28.5,1194,1140,51,44,0,17,11,6,0,0,0,0,1033,3,24,Matches
Raphael Veiga,br BRA,MF,27.0,27.3,1211,941,262,66,9,16,224,9,157,61,65,0,895,8,28,Matches
Joaquín Piquerez,uy URU,DF,24.0,28.1,1531,1264,259,48,1,15,123,207,2,0,1,0,1225,8,42,Matches
Mayke,br BRA,"DF,FW",30.0,27.8,1654,1435,208,35,3,6,117,173,0,0,0,0,1360,11,37,Matches
Murilo Cerqueira,br BRA,DF,25.0,24.1,1279,1232,44,39,4,11,1,0,0,0,0,0,1142,3,8,Matches
Artur,br BRA,FW,24.0,21.1,820,767,48,11,3,4,80,13,24,13,2,0,605,5,29,Matches
Luan Garcia,br BRA,DF,29.0,20.2,1037,1000,32,27,1,10,8,4,0,0,0,0,879,5,4,Matches
Gabriel Menino,br BRA,MF,22.0,17.7,1150,1044,100,55,2,24,55,18,24,10,6,0,939,6,17,Matches
Richard Ríos,co COL,MF,22.0,20.6,792,759,29,26,2,2,26,3,0,0,0,0,634,4,29,Matches
Rony,br BRA,FW,27.0,18.2,253,237,14,0,0,1,22,6,0,0,0,0,179,2,12,Matches
Endrick,br BRA,FW,16.0,17.3,359,315,39,4,3,2,18,12,1,1,0,0,255,5,15,Matches
Marcos Rocha,br BRA,DF,34.0,14.0,1081,876,200,57,3,13,26,137,1,0,0,0,861,5,17,Matches
Breno,br BRA,FW,27.0,15.2,355,349,1,0,0,1,29,1,0,0,0,0,266,5,12,Matches
Dudu,br BRA,FW,31.0,12.0,434,400,32,10,1,13,39,14,8,1,1,1,313,2,17,Matches
Vanderlan,br BRA,DF,20.0,10.1,368,295,71,7,0,1,28,64,0,0,0,0,261,2,18,Matches
Jhonatan Jowjow,br BRA,"MF,FW",20.0,9.9,300,281,18,4,3,5,26,1,13,11,0,0,224,1,11,Matches
José López,ar ARG,"FW,MF",22.0,6.6,149,143,4,0,0,1,8,0,0,0,0,0,91,2,5,Matches
Kaiky Naves,br BRA,"DF,FW",20.0,5.8,269,240,26,20,0,2,0,1,0,0,0,0,235,3,1,Matches
Luis Guilherme,br BRA,"FW,MF",16.0,6.4,247,221,23,4,0,4,32,6,12,7,4,0,183,3,4,Matches
Fabinho,br BRA,MF,20.0,6.5,316,311,4,3,1,12,2,1,0,0,0,0,261,1,7,Matches
García,br BRA,DF,21.0,3.3,183,142,40,5,1,0,13,35,0,0,0,0,134,1,2,Matches
Marcelo Lomba,br BRA,GK,36.0,3.0,102,68,33,10,0,0,0,0,0,0,0,0,74,1,0,Matches
Kevin,br BRA,"FW,DF",20.0,2.6,80,78,1,1,0,2,9,0,0,0,0,0,54,1,2,Matches
Jailson Siqueira,br BRA,"MF,DF",27.0,1.8,58,55,2,1,0,1,0,1,0,0,0,0,45,1,4,Matches
Rafael Navarro,br BRA,FW,22.0,1.4,35,32,3,0,0,0,0,0,0,0,0,0,27,0,3,Matches
Bruno Tabata,br BRA,"MF,FW",25.0,1.4,72,67,5,0,1,2,10,5,0,0,0,0,51,0,5,Matches
Ian Custódio,br BRA,DF,19.0,0.2,7,6,1,0,0,0,0,1,0,0,0,0,3,0,0,Matches
Giovani,br BRA,FW,19.0,0.2,9,9,0,0,1,0,1,0,0,0,0,0,4,0,0,Matches
Estêvão Willian,br BRA,DF,15.0,0.1,4,3,1,0,0,0,0,1,0,0,0,0,3,0,0,Matches
Eduard Atuesta,co COL,MF,25.0,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Kauan Silva,br BRA,FW,18.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.9,38.0,18222,16185,1937,619,39,181,919,723,242,104,79,1,14570,100,361,
Opponent Total,,,27.4,38.0,16553,14542,1963,651,42,90,560,711,135,36,64,1,13183,48,327,
