Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Wéverton,br BRA,GK,36.0,37.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Aníbal Moreno,ar ARG,MF,24.0,28.0,1,26,6,23.1,0.93,0.21,0.04,0.17,22.8,1,0,0,0.9,0.9,0.04,0.1,0.1,Matches
Raphael Veiga,br BRA,MF,28.0,27.5,11,92,31,33.7,3.34,1.13,0.09,0.26,23.0,19,3,4,10.8,7.6,0.08,0.2,0.4,Matches
Gustavo Gómez,py PAR,DF,30.0,26.3,1,27,3,11.1,1.03,0.11,0.0,0.0,10.2,0,1,1,3.8,3.0,0.11,-2.8,-3.0,Matches
Estêvão Willian,br BRA,FW,16.0,23.3,13,82,35,42.7,3.52,1.5,0.12,0.29,19.9,4,3,3,10.5,8.2,0.1,2.5,1.8,Matches
Murilo Cerqueira,br BRA,DF,26.0,24.2,1,16,5,31.3,0.66,0.21,0.06,0.2,12.6,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches
José López,ar ARG,FW,23.0,23.8,10,76,30,39.5,3.2,1.26,0.13,0.33,15.2,0,0,0,9.4,9.4,0.12,0.6,0.6,Matches
Marcos Rocha,br BRA,DF,35.0,21.5,0,5,2,40.0,0.23,0.09,0.0,0.0,16.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Richard Ríos,co COL,MF,23.0,19.4,3,36,10,27.8,1.86,0.52,0.08,0.3,26.5,6,0,0,1.2,1.2,0.03,1.8,1.8,Matches
Rony,br BRA,FW,28.0,19.1,4,60,22,36.7,3.14,1.15,0.07,0.18,13.6,0,0,0,8.3,8.3,0.14,-4.3,-4.3,Matches
Vitor Reis,br BRA,DF,18.0,16.2,1,6,1,16.7,0.37,0.06,0.17,1.0,9.0,0,0,0,0.5,0.5,0.09,0.5,0.5,Matches
Felipe Anderson,br BRA,FW,30.0,14.6,2,24,7,29.2,1.65,0.48,0.08,0.29,17.3,1,0,0,2.8,2.8,0.12,-0.8,-0.8,Matches
Joaquín Piquerez,uy URU,DF,25.0,14.6,2,31,6,19.4,2.12,0.41,0.03,0.17,26.5,4,1,1,2.0,1.2,0.04,0.0,-0.2,Matches
Caio Paulista,br BRA,DF,25.0,13.3,0,13,4,30.8,0.97,0.3,0.0,0.0,24.4,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
Mauricio,br BRA,MF,22.0,12.6,3,26,12,46.2,2.07,0.95,0.12,0.25,19.1,0,0,0,3.5,3.5,0.14,-0.5,-0.5,Matches
