Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2018-04-12,19:15,Sudamericana,First stage,Thu,Home,W,3,0,ar Newell's OB,66.0,,Thiago Heleno,3-4-3,4-2-3-1,Gery Vargas,Match Report,Leg 1 of 2
2018-04-15,19:00,Série A,Matchweek 1,Sun,Home,W,5,1,Chapecoense,70.0,8395.0,Santos,3-4-3,5-4-1,Dewson Fernando Freitas da Silva,Match Report,
2018-04-22,19:00,Série A,Matchweek 2,Sun,Away,D,0,0,Grêmio,51.0,22049.0,Thiago Heleno,3-4-3,4-2-3-1,Raphael Claus,Match Report,
2018-04-29,16:00,Série A,Matchweek 3,Sun,Away,D,0,0,Bahia,65.0,16235.0,Paulo André,3-4-3,4-2-3-1,Ricardo Marques Ribeiro,Match Report,
2018-05-06,16:00,Série A,Matchweek 4,Sun,Home,L,1,3,Palmeiras,62.0,19077.0,Thiago Heleno,3-4-3,4-2-3-1,Claudio Francisco Lima e Silva,Match Report,
2018-05-10,19:15,Sudamericana,First stage,Thu,Away,L,1,2,ar Newell's OB,42.0,,Thiago Heleno,3-4-3,4-3-3,Carlos Orbe,Match Report,Leg 2 of 2; Ath Paranaense won
2018-05-13,16:00,Série A,Matchweek 5,Sun,Home,L,1,2,Atlético Mineiro,62.0,7505.0,Jonathan Moreira,3-4-3,4-2-3-1,Luiz Flávio de Oliveira,Match Report,
2018-05-20,19:00,Série A,Matchweek 6,Sun,Away,L,0,2,Fluminense,68.0,9172.0,Thiago Heleno,3-4-3,5-4-1,Igor Junior Benevenuto,Match Report,
2018-05-27,11:00,Série A,Matchweek 7,Sun,Away,D,0,0,Paraná,68.0,6446.0,Thiago Heleno,3-4-3,4-1-4-1,Vinicius Gonçalves Dias Araujo,Match Report,
2018-05-31,21:00,Série A,Matchweek 8,Thu,Home,W,2,0,Santos,42.0,8204.0,Thiago Heleno,3-4-3,4-3-3,Savio Pereira,Match Report,
2018-06-03,16:00,Série A,Matchweek 9,Sun,Away,L,1,3,América (MG),58.0,4679.0,Thiago Heleno,3-4-3,4-2-3-1,Rodrigo Batista Raposo,Match Report,
2018-06-06,21:00,Série A,Matchweek 10,Wed,Away,L,0,1,Sport Recife,67.0,13349.0,Thiago Heleno,3-4-3,4-2-3-1,Igor Junior Benevenuto,Match Report,
2018-06-09,16:00,Série A,Matchweek 11,Sat,Home,L,0,1,São Paulo,62.0,8257.0,Thiago Heleno,3-4-3,4-4-1-1,Anderson Daronco,Match Report,
2018-06-13,21:00,Série A,Matchweek 12,Wed,Away,L,0,2,Botafogo (RJ),63.0,10965.0,Thiago Heleno,3-4-3,4-2-3-1,Rodrigo Batista Raposo,Match Report,
2018-07-19,21:00,Série A,Matchweek 13,Thu,Home,D,2,2,Internacional,53.0,8184.0,Thiago Heleno,4-2-3-1,4-3-3,Ricardo Marques Ribeiro,Match Report,
2018-07-22,19:00,Série A,Matchweek 14,Sun,Away,L,1,2,Cruzeiro,41.0,15023.0,Paulo André,4-2-3-1,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,
2018-07-26,19:30,Sudamericana,Second stage,Thu,Home,W,2,0,uy Peñarol,53.0,,Paulo André,4-2-3-1,4-4-2,Fernando Rapallini,Match Report,Leg 1 of 2
2018-07-29,16:00,Série A,Matchweek 16,Sun,Home,W,4,0,Vitória,49.0,8697.0,Paulo André,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,
2018-08-04,21:00,Série A,Matchweek 17,Sat,Away,D,0,0,Corinthians,43.0,28455.0,Paulo André,4-2-3-1,4-2-3-1,Péricles Bassols Pegado Cortez,Match Report,
2018-08-07,19:30,Sudamericana,Second stage,Tue,Away,W,4,1,uy Peñarol,45.0,,Lucho González,4-2-3-1,4-2-3-1,Mauro Vigliano,Match Report,Leg 2 of 2; Ath Paranaense won
2018-08-11,16:00,Série A,Matchweek 18,Sat,Away,D,0,0,Ceará,54.0,14772.0,Jonathan Moreira,4-2-3-1,4-2-2-2,Luiz Flávio de Oliveira,Match Report,
2018-08-19,11:00,Série A,Matchweek 19,Sun,Home,W,3,0,Flamengo,33.0,20146.0,Lucho González,4-2-3-1,4-2-3-1,Igor Junior Benevenuto,Match Report,
2018-08-25,19:00,Série A,Matchweek 21,Sat,Home,W,2,1,Grêmio,56.0,12188.0,Lucho González,4-2-3-1,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,
2018-08-29,19:30,Série A,Matchweek 15,Wed,Home,W,1,0,Vasco da Gama,55.0,11119.0,Lucho González,4-2-3-1,4-2-3-1,Rodrigo D'Alonso Ferreira,Match Report,
2018-09-02,16:00,Série A,Matchweek 22,Sun,Home,W,2,0,Bahia,60.0,13433.0,Jonathan Moreira,4-2-3-1,4-2-3-1,Leandro Pedro Vuaden,Match Report,
2018-09-05,21:00,Série A,Matchweek 23,Wed,Away,L,0,2,Palmeiras,53.0,24601.0,Lucho González,4-2-3-1,4-2-3-1,Marcelo de Lima Henrique,Match Report,
2018-09-10,20:00,Série A,Matchweek 24,Mon,Away,L,1,3,Atlético Mineiro,47.0,20922.0,Lucho González,4-2-3-1,4-2-3-1,Luiz Flávio de Oliveira,Match Report,
2018-09-13,20:00,Série A,Matchweek 20,Thu,Away,L,1,2,Chapecoense,51.0,4146.0,Wellington Martins,4-2-3-1,4-2-3-1,Flavio Rodrigues De Souza,Match Report,
2018-09-16,16:00,Série A,Matchweek 25,Sun,Home,W,3,1,Fluminense,49.0,9872.0,Paulo André,4-2-3-1,4-4-1-1,André Luiz de Freitas Castro,Match Report,
2018-09-19,18:30,Sudamericana,Round of 16,Wed,Away,W,2,0,ve Caracas,52.0,,Lucho González,4-2-3-1,4-2-3-1,Andrés Rojas,Match Report,Leg 1 of 2
2018-09-23,16:00,Série A,Matchweek 26,Sun,Home,W,3,0,Paraná,57.0,12956.0,Jonathan Moreira,4-2-3-1,4-4-2,Raphael Claus,Match Report,
2018-09-30,16:00,Série A,Matchweek 27,Sun,Away,L,0,1,Santos,38.0,7802.0,Paulo André,4-2-3-1,4-2-3-1,Caio Max Augusto Vieira,Match Report,
2018-10-03,19:30,Sudamericana,Round of 16,Wed,Home,W,2,1,ve Caracas,62.0,,Lucho González,4-2-3-1,4-2-3-1,Michael Espinoza,Match Report,Leg 2 of 2; Ath Paranaense won
2018-10-06,16:00,Série A,Matchweek 28,Sat,Home,W,4,0,América (MG),63.0,11443.0,Paulo André,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,
2018-10-14,19:00,Série A,Matchweek 29,Sun,Home,W,4,0,Sport Recife,69.0,9139.0,Paulo André,4-2-3-1,4-2-3-1,Wagner Reway,Match Report,
2018-10-20,19:00,Série A,Matchweek 30,Sat,Away,D,0,0,São Paulo,68.0,13053.0,Paulo André,4-2-3-1,4-4-2,Péricles Bassols Pegado Cortez,Match Report,
2018-10-24,21:45,Sudamericana,Quarter-finals,Wed,Away,W,1,0,br Bahia,48.0,,Lucho González,4-2-3-1,4-2-3-1,Fernando Rapallini,Match Report,Leg 1 of 2
2018-10-27,23:00,Série A,Matchweek 31,Sat,Home,W,2,1,Botafogo (RJ),70.0,7133.0,Thiago Heleno,4-2-3-1,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,
2018-10-31,22:45,Sudamericana,Quarter-finals,Wed,Home,L,0 (4),1 (1),br Bahia,67.0,,Lucho González,4-2-3-1,4-2-3-1,Diego Haro,Match Report,Leg 2 of 2; Ath Paranaense won; Ath Paranaense won on penalty kicks following extra time
2018-11-04,19:00,Série A,Matchweek 32,Sun,Away,L,1,2,Internacional,37.0,23318.0,Thiago Heleno,4-2-3-1,4-1-4-1,Rodrigo D'Alonso Ferreira,Match Report,
2018-11-07,21:45,Sudamericana,Semi-finals,Wed,Home,W,2,0,br Fluminense,,,Lucho González,4-2-3-1,3-4-3,Roddy Zambrano,Match Report,Leg 1 of 2
2018-11-10,19:00,Série A,Matchweek 33,Sat,Home,W,2,0,Cruzeiro,45.0,7720.0,Thiago Heleno,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,
2018-11-14,19:30,Série A,Matchweek 34,Wed,Away,D,1,1,Vasco da Gama,54.0,20917.0,Thiago Heleno,4-2-3-1,4-2-3-1,Leandro Pedro Vuaden,Match Report,
2018-11-17,18:00,Série A,Matchweek 35,Sat,Away,W,2,1,Vitória,48.0,8440.0,Jonathan Moreira,4-2-3-1,4-3-3,Flavio Rodrigues De Souza,Match Report,
2018-11-21,21:45,Série A,Matchweek 36,Wed,Home,W,1,0,Corinthians,50.0,14320.0,Thiago Heleno,4-2-3-1,4-2-3-1,Marcelo de Lima Henrique,Match Report,
2018-11-25,17:00,Série A,Matchweek 37,Sun,Home,D,2,2,Ceará,65.0,9632.0,Marcelo Cirino,4-2-3-1,5-4-1,Leandro Bizzio Marinho,Match Report,
2018-11-28,21:45,Sudamericana,Semi-finals,Wed,Away,W,2,0,br Fluminense,31.0,,Lucho González,4-2-3-1,3-4-3,Julio Bascuñán,Match Report,Leg 2 of 2; Ath Paranaense won
2018-12-01,19:00,Série A,Matchweek 38,Sat,Away,W,2,1,Flamengo,46.0,62994.0,Wellington Martins,4-2-3-1,4-2-3-1,Flavio Rodrigues De Souza,Match Report,
2018-12-05,19:45,Sudamericana,Finals,Wed,Away,D,1,1,co Junior,,,Lucho González,4-2-3-1,4-3-2-1,Diego Haro,Match Report,Leg 1 of 2
2018-12-12,21:45,Sudamericana,Finals,Wed,Home,D,1 (4),1 (3),co Junior,48.0,,Lucho González,4-2-3-1,4-3-3,Roberto Tobar,Match Report,Leg 2 of 2; Ath Paranaense won; Ath Paranaense won on penalty kicks following extra time
