Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 16_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Marcelo Lomba,br BRA,GK,28.0,37.0,0,,,,,,,,,0,0,Matches
Rodinei,br BRA,DF,23.0,35.0,0,,,,,,,,,0,0,Matches
Fernando Bob,br BRA,MF,27.0,33.6,3,,,,,,,,,3,3,Matches
Gilson,br BRA,DF,28.0,31.9,0,,,,,,,,,0,0,Matches
Felipe Azevedo,br BRA,"FW,MF",28.0,24.5,4,,,,,,,,,0,0,Matches
Renato Chaves,br BRA,DF,24.0,28.5,2,,,,,,,,,0,0,Matches
Biro Biro,br BRA,FW,20.0,27.2,7,,,,,,,,,0,0,Matches
Pablo,br BRA,DF,23.0,18.0,1,,,,,,,,,0,0,Matches
Josimar,br BRA,MF,28.0,16.1,0,,,,,,,,,0,0,Matches
Diego Oliveira,br BRA,FW,24.0,18.7,3,,,,,,,,,0,0,Matches
Elton,br BRA,MF,24.0,17.1,1,,,,,,,,,0,0,Matches
Humberlito Borges,br BRA,FW,34.0,15.6,5,,,,,,,,,0,1,Matches
Ferron,br BRA,DF,29.0,15.0,1,,,,,,,,,0,0,Matches
Renato Cajá,br BRA,MF,30.0,10.9,5,,,,,,,,,0,0,Matches
Cristian,br BRA,MF,35.0,10.0,0,,,,,,,,,0,0,Matches
Juninho,br BRA,MF,27.0,12.9,0,,,,,,,,,0,0,Matches
Tiago Alves,br BRA,DF,30.0,9.6,2,,,,,,,,,0,0,Matches
Bady,br BRA,MF,25.0,6.2,1,,,,,,,,,0,0,Matches
Cesinha,br BRA,"FW,MF",25.0,7.6,0,,,,,,,,,0,0,Matches
Alexandro,br BRA,FW,28.0,7.5,3,,,,,,,,,0,0,Matches
Clayson,br BRA,"FW,MF",19.0,5.6,0,,,,,,,,,0,0,Matches
Fábio Ferreira,br BRA,DF,30.0,3.1,0,,,,,,,,,0,0,Matches
Felipe Silva,br BRA,MF,24.0,2.7,0,,,,,,,,,0,0,Matches
Jeferson,br BRA,"DF,FW",18.0,2.0,0,,,,,,,,,0,0,Matches
Vitor Xavier,br BRA,MF,20.0,2.0,0,,,,,,,,,0,0,Matches
Rildo,br BRA,"FW,MF",25.0,1.6,1,,,,,,,,,0,0,Matches
Paulinho,br BRA,MF,25.0,1.4,0,,,,,,,,,0,0,Matches
Diego Ivo,br BRA,DF,25.0,2.4,0,,,,,,,,,0,0,Matches
Leandrinho,br BRA,MF,16.0,2.2,0,,,,,,,,,0,0,Matches
Roni,br BRA,MF,24.0,2.0,0,,,,,,,,,0,0,Matches
Jerffeson de Recife,br BRA,DF,21.0,1.6,0,,,,,,,,,0,0,Matches
Adrianinho,at AUT,MF,34.0,1.3,0,,,,,,,,,0,0,Matches
João Carlos,br BRA,GK,26.0,1.0,0,,,,,,,,,0,0,Matches
João Paulo,br BRA,DF,24.0,1.0,0,,,,,,,,,0,0,Matches
Marcos Serrato,br BRA,MF,20.0,1.0,0,,,,,,,,,0,0,Matches
Keno,br BRA,"FW,MF",25.0,2.9,0,,,,,,,,,0,0,Matches
Léo Costa,br BRA,MF,28.0,0.4,0,,,,,,,,,0,0,Matches
Squad Total,,,26.5,38.0,39,,,,,,,,,3,4,
Opponent Total,,,26.4,38.0,40,,,,,,,,,2,3,
