Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Reinaldo,br BRA,"DF,MF",26.0,32,32,2880.0,32.0,2.0,5.0,7.0,2.0,0.0,0.0,8.0,0.0,0.06,0.16,0.22,0.06,0.22,Matches
João Vitor,br BRA,MF,27.0,32,32,2779.0,30.9,0.0,2.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Clayson,br BRA,"FW,MF",20.0,32,32,2445.0,27.2,3.0,3.0,6.0,3.0,0.0,0.0,8.0,2.0,0.11,0.11,0.22,0.11,0.22,Matches
Fábio Ferreira,br BRA,DF,31.0,30,29,2580.0,28.7,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
Nino Paraíba,br BRA,DF,30.0,27,23,2180.0,24.2,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches
Douglas Grolli,br BRA,DF,26.0,23,21,1933.0,21.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
William Pottker,br BRA,"FW,MF",22.0,31,19,1914.0,21.3,14.0,2.0,16.0,11.0,3.0,3.0,5.0,1.0,0.66,0.09,0.75,0.52,0.61,Matches
Aranha,br BRA,GK,35.0,19,19,1709.0,19.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches
Roger,br BRA,FW,31.0,26,19,1629.0,18.1,8.0,5.0,13.0,8.0,0.0,0.0,6.0,0.0,0.44,0.28,0.72,0.44,0.72,Matches
Wendel Geraldo,br BRA,MF,33.0,19,19,1357.0,15.1,4.0,1.0,5.0,4.0,0.0,0.0,6.0,0.0,0.27,0.07,0.33,0.27,0.33,Matches
Rhayner,br BRA,"FW,MF",25.0,23,18,1503.0,16.7,2.0,5.0,7.0,2.0,0.0,0.0,2.0,0.0,0.12,0.3,0.42,0.12,0.42,Matches
João Carlos,br BRA,GK,27.0,17,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Maycon,br BRA,MF,18.0,16,16,1251.0,13.9,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.07,0.14,0.22,0.07,0.22,Matches
Jeferson,br BRA,"DF,FW",19.0,20,15,1406.0,15.6,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.06,0.06,0.13,0.06,0.13,Matches
Felipe Azevedo,br BRA,"FW,MF",29.0,19,15,1176.0,13.1,5.0,1.0,6.0,5.0,0.0,1.0,1.0,0.0,0.38,0.08,0.46,0.38,0.46,Matches
Matheus Jesus,br BRA,MF,18.0,24,14,1274.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Antonio Carlos,br BRA,DF,22.0,14,14,1215.0,13.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Kadu,br BRA,"DF,MF",29.0,12,12,1010.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Renê Júnior,br BRA,MF,26.0,11,10,759.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Thiago Galhardo,br BRA,"FW,MF",26.0,21,7,1029.0,11.4,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.17,0.17,0.0,0.17,Matches
Wellington Paulista,br BRA,FW,31.0,20,7,906.0,10.1,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,0.2,0.3,0.5,0.2,0.5,Matches
Ravanelli,br BRA,MF,18.0,14,7,693.0,7.7,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.13,0.26,0.39,0.13,0.39,Matches
Breno Lopes,br BRA,DF,25.0,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cristian,br BRA,MF,36.0,9,6,509.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Abuda,br BRA,MF,27.0,7,3,291.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matheus Inacio,br BRA,GK,23.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
