Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Claudinho,br BRA,"MF,FW",23.0,35,2838.0,81.0,83.0,31.5,33,84.0,18.0,2,28.0,1,1.46,46.0,31.0,15.0,0.48,1.25,46.7,36.5,10.2,0.32,0.36,Matches
Artur,br BRA,"FW,MF",21.0,33,2787.0,84.0,81.5,31.0,33,84.0,12.0,0,,0,1.48,41.0,31.0,10.0,0.32,0.32,41.5,33.8,7.6,0.25,-0.09,Matches
Leo Ortiz,br BRA,DF,24.0,33,2900.0,88.0,84.8,32.2,32,90.0,32.0,1,20.0,1,1.27,40.0,37.0,3.0,0.09,-1.12,44.2,37.2,7.0,0.22,-0.3,Matches
Cleiton Schwengber,br BRA,GK,22.0,32,2880.0,90.0,84.2,32.0,32,90.0,32.0,0,,6,1.5,43.0,31.0,12.0,0.37,0.71,44.6,35.8,8.8,0.27,0.07,Matches
Aderlan Silva,br BRA,DF,29.0,34,2841.0,84.0,83.1,31.6,32,87.0,23.0,2,24.0,2,1.5,38.0,26.0,12.0,0.38,0.69,43.5,30.9,12.6,0.4,0.79,Matches
Raul,br BRA,MF,23.0,30,2655.0,89.0,77.6,29.5,29,90.0,29.0,1,45.0,2,1.57,42.0,27.0,15.0,0.51,1.1,44.4,32.4,12.0,0.41,0.63,Matches
Ligger,br BRA,DF,31.0,29,2418.0,83.0,70.7,26.9,26,90.0,25.0,3,27.0,7,1.41,34.0,26.0,8.0,0.3,0.12,39.3,28.7,10.7,0.4,0.46,Matches
Edimar Fraga,br BRA,DF,33.0,29,2286.0,79.0,66.8,25.4,26,86.0,17.0,3,16.0,6,1.28,34.0,30.0,4.0,0.16,-0.32,35.2,31.8,3.4,0.14,-0.38,Matches
Ytalo,br BRA,FW,32.0,31,1988.0,64.0,58.1,22.1,25,73.0,3.0,6,28.0,5,1.45,28.0,13.0,15.0,0.68,0.99,29.8,20.6,9.2,0.42,0.37,Matches
Ricardo,br BRA,MF,25.0,29,1946.0,67.0,56.9,21.6,25,76.0,6.0,4,15.0,5,1.34,29.0,28.0,1.0,0.05,-0.5,30.1,27.9,2.2,0.1,-0.37,Matches
Bruno Tubarão,br BRA,"FW,MF",24.0,28,1161.0,41.0,33.9,12.9,13,68.0,2.0,15,19.0,2,1.39,19.0,15.0,4.0,0.31,0.07,19.3,14.9,4.3,0.34,0.11,Matches
Fabrício Bruno,br BRA,DF,23.0,14,1124.0,80.0,32.9,12.5,13,86.0,11.0,1,3.0,18,1.86,22.0,9.0,13.0,1.04,1.16,18.8,12.5,6.4,0.51,0.37,Matches
Lucas Evangelista,br BRA,MF,24.0,20,1214.0,61.0,35.5,13.5,12,85.0,7.0,8,25.0,1,1.35,16.0,12.0,4.0,0.3,0.05,18.2,13.3,4.9,0.36,0.15,Matches
Alerrandro,br BRA,FW,20.0,16,926.0,58.0,27.1,10.3,11,72.0,3.0,5,27.0,1,0.94,12.0,14.0,-2.0,-0.19,-0.63,14.9,12.7,2.3,0.22,-0.06,Matches
Helinho,br BRA,"FW,MF",19.0,10,680.0,68.0,19.9,7.6,9,72.0,1.0,1,35.0,0,2.1,13.0,5.0,8.0,1.06,0.99,9.7,7.9,1.9,0.25,-0.01,Matches
Tomás Cuello,ar ARG,"FW,MF",19.0,18,747.0,42.0,21.8,8.3,8,69.0,0.0,10,20.0,8,1.83,14.0,6.0,8.0,0.96,0.9,12.2,7.9,4.4,0.53,0.34,Matches
Matheus Jesus,br BRA,MF,22.0,12,706.0,59.0,20.6,7.8,8,79.0,4.0,4,19.0,0,1.33,8.0,11.0,-3.0,-0.38,-0.81,9.7,9.6,0.1,0.01,-0.32,Matches
Morato,br BRA,"FW,MF",27.0,18,764.0,42.0,22.3,8.5,7,73.0,1.0,11,23.0,10,1.0,6.0,12.0,-6.0,-0.71,-1.25,11.6,10.6,1.0,0.12,-0.19,Matches
Weverson,br BRA,"DF,MF",19.0,15,612.0,41.0,17.9,6.8,7,71.0,2.0,8,15.0,11,1.13,9.0,9.0,0.0,0.0,-0.32,10.7,8.0,2.7,0.4,0.17,Matches
Luan Cândido,br BRA,DF,18.0,11,606.0,55.0,17.7,6.7,6,89.0,5.0,5,14.0,7,1.91,9.0,2.0,7.0,1.04,0.94,9.3,4.9,4.4,0.65,0.47,Matches
Júlio César,br BRA,GK,35.0,6,540.0,90.0,15.8,6.0,6,90.0,6.0,0,,29,0.83,7.0,9.0,-2.0,-0.33,-0.71,8.7,7.5,1.2,0.2,-0.07,Matches
Leonardo Realpe,ec ECU,DF,18.0,6,410.0,68.0,12.0,4.6,5,81.0,3.0,1,3.0,21,1.0,4.0,8.0,-4.0,-0.88,-1.3,4.5,8.5,-4.0,-0.87,-1.29,Matches
Eric Ramires,br BRA,MF,19.0,12,417.0,35.0,12.2,4.6,4,69.0,0.0,8,18.0,5,1.67,5.0,4.0,1.0,0.22,-0.05,7.5,5.1,2.4,0.48,0.25,Matches
Leandrinho,br BRA,"FW,MF",21.0,12,266.0,22.0,7.8,3.0,4,42.0,0.0,8,12.0,5,1.08,3.0,3.0,0.0,0.0,-0.29,4.3,3.6,0.8,0.26,-0.01,Matches
Weverton,br BRA,DF,20.0,10,329.0,33.0,9.6,3.7,3,82.0,1.0,7,12.0,18,1.2,5.0,8.0,-3.0,-0.82,-1.2,3.7,6.7,-3.0,-0.81,-1.18,Matches
Jan Carlos Hurtado,ve VEN,FW,19.0,23,393.0,17.0,11.5,4.4,2,75.0,1.0,21,12.0,6,1.39,7.0,9.0,-2.0,-0.46,-0.81,7.0,7.4,-0.4,-0.09,-0.4,Matches
Uillian Correia,br BRA,MF,30.0,7,217.0,31.0,6.3,2.4,2,68.0,1.0,5,16.0,15,0.86,3.0,4.0,-1.0,-0.41,-0.72,3.5,3.8,-0.2,-0.1,-0.39,Matches
Vitinho,br BRA,FW,21.0,4,156.0,39.0,4.6,1.7,2,77.0,0.0,2,1.0,3,2.0,1.0,0.0,1.0,0.58,0.33,1.8,1.4,0.4,0.24,-0.03,Matches
Chrigor Moraes,br BRA,FW,19.0,5,165.0,33.0,4.8,1.8,1,90.0,1.0,4,19.0,13,1.0,3.0,6.0,-3.0,-1.64,-2.0,1.8,5.1,-3.2,-1.75,-2.11,Matches
Thonny Anderson,br BRA,"MF,FW",22.0,8,160.0,20.0,4.7,1.8,1,45.0,0.0,7,16.0,2,1.0,3.0,2.0,1.0,0.56,0.31,2.9,0.8,2.0,1.13,0.91,Matches
Barreto,br BRA,"MF,DF",24.0,4,108.0,27.0,3.2,1.2,1,67.0,0.0,3,14.0,6,1.0,1.0,3.0,-2.0,-1.67,-1.99,1.3,2.5,-1.2,-1.0,-1.31,Matches
Luis Phelipe,br BRA,"MF,FW",18.0,11,159.0,14.0,4.6,1.8,0,,0.0,11,14.0,5,1.36,2.0,3.0,-1.0,-0.57,-0.87,2.1,2.1,0.1,0.04,-0.24,Matches
Robinho,br BRA,"MF,FW",21.0,5,88.0,18.0,2.6,1.0,0,,0.0,5,18.0,2,0.8,3.0,2.0,1.0,1.02,0.78,1.5,1.0,0.5,0.5,0.24,Matches
Wesley Pionteck Souza,br BRA,FW,23.0,1,32.0,32.0,0.9,0.4,0,,0.0,1,32.0,0,0.0,0.0,0.0,0.0,0.0,-0.27,0.7,0.4,0.3,0.9,0.65,Matches
Cesar Haydar,co COL,DF,18.0,1,2.0,2.0,0.1,0.0,0,,0.0,1,2.0,18,3.0,0.0,0.0,0.0,0.0,-0.26,0.0,0.1,-0.1,-2.47,-2.73,Matches
Guilherme,br BRA,MF,17.0,0,,,,,0,,,0,,3,,,,,,,,,,,,Matches
Victor Hugo,br BRA,GK,19.0,0,,,,,0,,,0,,1,,,,,,,,,,,,Matches
Alex Alves de Lima,br BRA,GK,33.0,0,,,,,0,,,0,,2,,,,,,,,,,,,Matches
Squad Total,,,25.3,38,3420.0,90.0,100.0,38.0,418,82.0,246.0,174,17.0,247,1.39,50.0,40.0,10.0,0.26,,53.3,43.3,10.0,0.26,,
Opponent Total,,,26.5,38,3420.0,90.0,100.0,38.0,418,82.0,245.0,172,22.0,268,1.24,40.0,50.0,-10.0,-0.26,,43.3,53.3,-10.0,-0.26,,
