Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2020-08-09,16:00,Série A,Matchweek 1,Sun,Away,D,1,1,Santos,1.1,1.6,46,,Alerrandro,4-2-3-1,4-3-3,Ricardo Marques Ribeiro,Match Report,
2020-08-12,19:15,Série A,Matchweek 2,Wed,Home,D,1,1,Botafogo (RJ),1.8,0.7,54,,Leo Ortiz,4-2-3-1,4-2-3-1,André Luiz de Freitas Castro,Match Report,
2020-08-16,16:00,Série A,Matchweek 3,Sun,Away,L,1,2,Bahia,1.5,1.2,57,,Leo Ortiz,4-1-4-1,4-2-3-1,Felipe Fernandes de Lima,Match Report,
2020-08-19,19:15,Série A,Matchweek 4,Wed,Home,W,2,1,Fluminense,1.3,1.4,51,,Leo Ortiz,4-3-3,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,
2020-08-23,16:00,Série A,Matchweek 5,Sun,Home,L,1,2,Coritiba,0.9,1.4,47,,Leo Ortiz,4-3-3,4-2-3-1,Gilberto Rodrigues Castro Junior,Match Report,
2020-08-29,21:00,Série A,Matchweek 6,Sat,Away,L,0,3,Fortaleza,0.2,2.0,41,,Ricardo,4-1-4-1,4-2-3-1,Rafael Traci,Match Report,
2020-09-02,20:30,Série A,Matchweek 7,Wed,Away,D,1,1,Ath Paranaense,1.3,1.0,43,,Leo Ortiz,4-2-3-1,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,
2020-09-06,11:00,Série A,Matchweek 8,Sun,Home,L,1,2,Palmeiras,0.8,1.1,38,,Leo Ortiz,4-2-3-1,4-1-4-1,Marcelo de Lima Henrique,Match Report,
2020-09-09,19:15,Série A,Matchweek 9,Wed,Away,D,1,1,São Paulo,1.9,1.4,41,,Leo Ortiz,4-4-2,4-2-3-1,Savio Pereira,Match Report,
2020-09-13,18:00,Série A,Matchweek 10,Sun,Away,L,1,2,Atlético Mineiro,1.2,2.0,37,,Leo Ortiz,5-4-1,3-5-2,Ramon Abatti Abel,Match Report,
2020-09-19,19:00,Série A,Matchweek 11,Sat,Home,W,4,2,Ceará,2.9,0.7,42,,Leo Ortiz,4-3-3,4-2-3-1,Jefferson Ferreira de Moraes,Match Report,
2020-09-27,11:00,Série A,Matchweek 12,Sun,Away,D,1,1,Vasco da Gama,1.8,1.6,42,,Leo Ortiz,4-3-3,4-2-3-1,Rodolpho Toski Marques,Match Report,
2020-10-03,21:00,Série A,Matchweek 13,Sat,Home,D,0,0,Corinthians,0.6,0.4,41,,Leo Ortiz,4-1-4-1,4-2-3-1,Edina Alves Batista,Match Report,
2020-10-08,21:00,Série A,Matchweek 14,Thu,Home,L,0,2,Internacional,0.7,0.7,48,,Leo Ortiz,4-2-3-1,4-1-2-1-2,Felipe Fernandes de Lima,Match Report,
2020-10-11,18:15,Série A,Matchweek 15,Sun,Away,L,1,2,Atl Goianiense,1.6,2.1,48,,Leo Ortiz,4-2-3-1,4-2-3-1,Heber Roberto Lopes,Match Report,
2020-10-15,20:00,Série A,Matchweek 16,Thu,Away,D,1,1,Flamengo,1.0,2.0,34,,Raul,4-2-3-1,4-2-3-1,Daniel Nobre Bins,Match Report,
2020-10-18,20:30,Série A,Matchweek 17,Sun,Home,W,2,0,Sport Recife,1.1,0.1,50,,Leo Ortiz,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,
2020-10-24,17:00,Série A,Matchweek 18,Sat,Home,W,2,0,Goiás,2.1,1.0,53,,Leo Ortiz,4-3-3,4-2-3-1,Ramon Abatti Abel,Match Report,
2020-11-02,20:00,Série A,Matchweek 19,Mon,Away,L,1,2,Grêmio,0.5,2.1,45,,Leo Ortiz,4-3-3,4-2-3-1,Savio Pereira,Match Report,
