Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Cleiton Schwengber,br BRA,GK,23.0,34.0,3,0,0,0,10,0,0,0,0,0,0,0,33,4,1,80.0,Matches
Fabrício Bruno,br BRA,DF,24.0,30.8,4,0,0,21,35,0,23,35,19,0,1,1,161,58,28,67.4,Matches
Aderlan Silva,br BRA,DF,30.0,28.2,7,0,0,52,33,2,113,56,48,0,1,0,148,55,32,63.2,Matches
Artur,br BRA,"FW,MF",22.0,27.7,5,1,0,18,56,1,152,13,4,0,0,0,135,18,44,29.0,Matches
Ytalo,br BRA,FW,33.0,25.6,2,0,0,21,27,4,4,10,17,0,0,0,51,19,46,29.2,Matches
Helinho,br BRA,"FW,MF",20.0,23.2,7,0,0,35,46,2,95,31,16,2,0,0,139,15,24,38.5,Matches
Eric Ramires,br BRA,MF,20.0,23.0,4,1,1,37,25,0,8,13,18,0,0,0,154,8,24,25.0,Matches
Leo Ortiz,br BRA,DF,25.0,22.9,7,0,0,19,12,0,1,54,13,0,0,0,136,33,15,68.8,Matches
Tomás Cuello,ar ARG,"FW,MF",20.0,22.0,2,0,0,41,60,4,116,28,29,0,0,0,136,21,24,46.7,Matches
Jadsom,br BRA,MF,19.0,20.5,14,0,0,45,17,2,4,45,36,0,1,0,143,10,15,40.0,Matches
Natan,br BRA,DF,19.0,19.0,3,0,0,17,6,0,1,22,13,0,0,0,93,23,14,62.2,Matches
Luan Cândido,br BRA,DF,19.0,15.7,1,0,0,36,9,4,32,30,21,0,0,0,55,59,19,75.6,Matches
Bruno Praxedes,br BRA,MF,18.0,13.5,4,0,0,31,43,1,11,9,6,0,0,0,63,7,31,18.4,Matches
Edimar Fraga,br BRA,DF,34.0,13.9,3,0,0,25,12,0,39,19,16,0,0,0,61,23,14,62.2,Matches
Lucas Evangelista,br BRA,MF,25.0,12.2,3,0,0,24,36,0,8,15,14,0,0,0,73,24,15,61.5,Matches
Raul,br BRA,MF,24.0,10.6,1,0,0,23,29,0,2,15,14,0,0,0,103,14,8,63.6,Matches
Weverson,br BRA,"DF,FW",20.0,9.6,2,0,0,14,3,1,27,14,8,0,0,0,39,16,11,59.3,Matches
Pedrinho,br BRA,"MF,FW",21.0,8.3,2,0,0,11,11,2,15,3,7,0,0,0,26,4,9,30.8,Matches
Weverton,br BRA,DF,21.0,7.6,5,0,0,7,6,0,43,13,7,0,0,0,44,5,4,55.6,Matches
Alerrandro,br BRA,FW,21.0,8.6,1,0,0,20,19,7,2,4,6,0,0,0,18,12,31,27.9,Matches
Emiliano Martínez,uy URU,MF,21.0,6.3,1,0,0,12,6,0,1,17,6,0,1,0,44,3,5,37.5,Matches
Claudinho,br BRA,MF,24.0,5.0,0,0,0,4,9,1,38,3,3,0,0,0,21,2,10,16.7,Matches
Gabriel Novaes,br BRA,"FW,MF",21.0,6.0,3,0,0,18,11,0,3,6,4,0,0,0,16,12,12,50.0,Matches
Júlio César,br BRA,GK,36.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,,Matches
Jan Carlos Hurtado,ve VEN,FW,20.0,3.5,2,0,0,11,5,1,2,1,2,0,0,0,10,15,16,48.4,Matches
Leonardo Realpe,ec ECU,DF,19.0,2.9,1,0,0,7,1,0,2,8,1,0,0,0,9,6,8,42.9,Matches
Vitinho,br BRA,MF,22.0,2.1,0,0,0,2,6,0,1,0,0,0,0,0,16,0,2,0.0,Matches
Luciano,br BRA,MF,17.0,2.3,0,0,0,5,2,0,0,2,2,0,1,0,12,4,2,66.7,Matches
Rafael Luiz,br BRA,DF,18.0,1.7,0,0,0,1,2,0,7,2,6,0,0,0,13,4,4,50.0,Matches
Cristiano Japa,br BRA,"MF,FW",20.0,1.6,1,0,0,4,3,0,2,5,2,0,0,0,14,1,1,50.0,Matches
Guilherme,br BRA,"DF,MF",18.0,1.5,0,0,0,2,4,0,7,5,3,0,0,0,12,4,3,57.1,Matches
Leandrinho,br BRA,"FW,MF",22.0,1.3,1,0,0,2,2,0,3,0,1,0,0,0,6,2,4,33.3,Matches
Cesar Haydar,co COL,DF,19.0,1.1,0,0,0,0,2,0,0,1,1,0,0,0,3,2,2,50.0,Matches
Bruninho,br BRA,"MF,FW",17.0,0.7,0,0,0,0,2,0,1,2,0,0,0,0,2,0,0,,Matches
Gonzalo,br BRA,"FW,MF",21.0,0.2,0,0,0,3,1,0,0,0,0,0,0,0,1,3,2,60.0,Matches
Bruno Tubarão,br BRA,FW,25.0,0.2,0,0,0,1,1,1,1,0,2,0,0,0,3,2,0,100.0,Matches
Ricardo,br BRA,MF,26.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Chrigor Moraes,br BRA,"FW,MF",20.0,0.1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,2,33.3,Matches
Ligger,br BRA,FW,32.0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,Matches
Squad Total,,,23.8,38.0,89,2,1,571,554,33,764,481,346,2,5,1,2002,489,482,50.4,
Opponent Total,,,26.9,38.0,95,1,1,582,544,49,778,445,340,3,4,2,2011,482,489,49.6,
