Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Cleiton Schwengber,br BRA,GK,23.0,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fabrício Bruno,br BRA,DF,24.0,33,30,2775.0,30.8,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.7,1.7,1.1,2.8,22.0,107.0,3.0,0.0,0.03,0.03,0.0,0.03,0.06,0.04,0.09,0.06,0.09,Matches
Aderlan Silva,br BRA,DF,30.0,29,29,2538.0,28.2,2.0,4.0,6.0,2.0,0.0,0.0,7.0,0.0,1.1,1.1,3.9,5.1,54.0,110.0,97.0,0.07,0.14,0.21,0.07,0.21,0.04,0.14,0.18,0.04,0.18,Matches
Artur,br BRA,"FW,MF",22.0,30,28,2494.0,27.7,12.0,8.0,20.0,10.0,2.0,2.0,5.0,1.0,8.7,7.1,6.4,13.5,104.0,117.0,226.0,0.43,0.29,0.72,0.36,0.65,0.31,0.23,0.54,0.26,0.48,Matches
Ytalo,br BRA,FW,33.0,30,27,2300.0,25.6,12.0,5.0,17.0,12.0,0.0,0.0,2.0,0.0,8.7,8.7,3.1,11.8,17.0,30.0,109.0,0.47,0.2,0.67,0.47,0.67,0.34,0.12,0.46,0.34,0.46,Matches
Helinho,br BRA,"FW,MF",20.0,33,24,2084.0,23.2,5.0,4.0,9.0,5.0,0.0,1.0,7.0,0.0,4.0,3.2,4.2,7.4,81.0,91.0,177.0,0.22,0.17,0.39,0.22,0.39,0.17,0.18,0.36,0.14,0.32,Matches
Eric Ramires,br BRA,MF,20.0,31,23,2068.0,23.0,2.0,1.0,3.0,2.0,0.0,0.0,4.0,1.0,1.7,1.7,1.2,2.9,32.0,74.0,66.0,0.09,0.04,0.13,0.09,0.13,0.07,0.05,0.13,0.07,0.13,Matches
Leo Ortiz,br BRA,DF,25.0,24,23,2065.0,22.9,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.8,0.8,0.7,1.4,37.0,129.0,4.0,0.0,0.09,0.09,0.0,0.09,0.03,0.03,0.06,0.03,0.06,Matches
Tomás Cuello,ar ARG,"FW,MF",20.0,30,23,1982.0,22.0,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,2.3,2.3,2.3,4.5,81.0,92.0,202.0,0.14,0.09,0.23,0.14,0.23,0.1,0.1,0.21,0.1,0.21,Matches
Jadsom,br BRA,MF,19.0,26,20,1842.0,20.5,1.0,1.0,2.0,1.0,0.0,0.0,14.0,0.0,1.3,1.3,0.6,2.0,14.0,93.0,24.0,0.05,0.05,0.1,0.05,0.1,0.07,0.03,0.1,0.07,0.1,Matches
Natan,br BRA,DF,19.0,24,19,1714.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.1,0.1,12.0,66.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,Matches
Luan Cândido,br BRA,DF,19.0,18,16,1410.0,15.7,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.2,1.2,0.3,1.5,14.0,53.0,44.0,0.19,0.0,0.19,0.19,0.19,0.08,0.02,0.09,0.08,0.09,Matches
Bruno Praxedes,br BRA,MF,18.0,20,16,1215.0,13.5,2.0,3.0,5.0,2.0,0.0,1.0,4.0,0.0,2.2,1.4,1.5,2.9,33.0,64.0,71.0,0.15,0.22,0.37,0.15,0.37,0.16,0.11,0.27,0.11,0.21,Matches
Edimar Fraga,br BRA,DF,34.0,20,14,1247.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.9,1.2,25.0,49.0,46.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09,Matches
Lucas Evangelista,br BRA,MF,25.0,14,13,1095.0,12.2,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,0.7,0.7,0.8,1.5,13.0,63.0,36.0,0.16,0.16,0.33,0.16,0.33,0.06,0.06,0.12,0.06,0.12,Matches
Raul,br BRA,MF,24.0,12,11,951.0,10.6,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.6,0.9,11.0,76.0,11.0,0.0,0.19,0.19,0.0,0.19,0.02,0.06,0.08,0.02,0.08,Matches
Weverson,br BRA,"DF,FW",20.0,17,9,867.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.1,0.5,15.0,36.0,46.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.06,0.04,0.06,Matches
Pedrinho,br BRA,"MF,FW",21.0,17,9,745.0,8.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.9,2.9,0.9,3.8,30.0,23.0,53.0,0.0,0.24,0.24,0.0,0.24,0.35,0.11,0.46,0.35,0.46,Matches
Weverton,br BRA,DF,21.0,11,8,683.0,7.6,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.3,0.3,0.7,1.0,11.0,44.0,35.0,0.13,0.0,0.13,0.13,0.13,0.04,0.09,0.13,0.04,0.13,Matches
Alerrandro,br BRA,FW,21.0,24,7,776.0,8.6,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,2.4,2.4,1.0,3.4,4.0,10.0,34.0,0.46,0.23,0.7,0.46,0.7,0.27,0.12,0.39,0.27,0.39,Matches
Emiliano Martínez,uy URU,MF,21.0,13,6,566.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.5,7.0,32.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.07,0.02,0.07,Matches
Claudinho,br BRA,MF,24.0,5,5,447.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.8,3.1,8.0,30.0,45.0,0.0,0.2,0.2,0.0,0.2,0.26,0.36,0.62,0.26,0.62,Matches
Gabriel Novaes,br BRA,"FW,MF",21.0,16,4,536.0,6.0,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,1.6,1.6,0.6,2.2,12.0,10.0,44.0,0.17,0.5,0.67,0.17,0.67,0.27,0.1,0.37,0.27,0.37,Matches
Júlio César,br BRA,GK,36.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jan Carlos Hurtado,ve VEN,FW,20.0,13,3,316.0,3.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.8,1.8,0.5,2.3,5.0,2.0,17.0,0.28,0.28,0.57,0.28,0.57,0.51,0.15,0.66,0.51,0.66,Matches
