Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Cleiton Schwengber,br BRA,GK,24.0,37.0,1334,1052,1308,27,0,0,1334,0,0,,0,,844,4538,2540,0,0,0,0,0,625,0,Matches
Natan,br BRA,DF,20.0,32.0,1763,219,858,850,66,21,1763,15,11,73.3,3,20.0,1186,8359,5318,41,18,0,7,7,1190,8,Matches
Artur,br BRA,"FW,MF",23.0,31.0,1512,16,149,547,837,106,1512,72,37,51.4,31,43.1,988,5773,2628,74,58,28,74,37,1026,266,Matches
Aderlan Silva,br BRA,DF,31.0,29.7,1938,95,527,832,592,36,1938,37,17,45.9,20,54.1,989,5419,2703,51,45,11,37,18,980,125,Matches
Lucas Evangelista,br BRA,MF,26.0,29.0,1559,56,267,887,420,50,1557,39,27,69.2,11,28.2,947,4561,2190,36,35,3,46,27,1048,81,Matches
Luan Cândido,br BRA,DF,20.0,29.2,1647,100,428,827,407,52,1645,22,10,45.5,9,40.9,787,4024,1935,29,28,1,29,14,813,76,Matches
Raul,br BRA,MF,25.0,27.5,1849,91,543,1151,176,2,1849,28,15,53.6,11,39.3,1236,6389,2971,30,30,1,28,19,1238,20,Matches
Leo Ortiz,br BRA,DF,26.0,21.4,1417,202,686,700,44,12,1417,15,13,86.7,2,13.3,897,5466,3522,26,13,0,10,2,899,4,Matches
Helinho,br BRA,"FW,MF",21.0,19.0,995,31,137,439,436,49,994,58,34,58.6,21,36.2,655,4608,2270,70,65,12,47,23,668,150,Matches
Hyoran,br BRA,MF,28.0,14.2,633,10,54,263,326,43,633,23,6,26.1,15,65.2,400,2589,1209,48,39,8,35,20,416,106,Matches
Marcos Vinicios Sorriso,br BRA,FW,20.0,15.0,673,11,94,237,351,50,673,47,11,23.4,30,63.8,463,2982,1288,35,40,5,44,30,477,150,Matches
Kevin Lomónaco,ar ARG,DF,20.0,12.4,756,79,323,411,31,5,756,4,4,100.0,0,0.0,528,3510,2396,20,17,1,6,3,506,1,Matches
Jadsom,br BRA,MF,20.0,14.1,876,47,234,559,91,1,876,20,12,60.0,7,35.0,560,2587,1100,3,11,0,15,8,552,8,Matches
Eric Ramires,br BRA,"MF,FW",21.0,12.9,695,21,112,396,200,15,695,20,9,45.0,10,50.0,451,2636,1185,30,21,2,27,12,439,38,Matches
Alerrandro,br BRA,FW,22.0,10.3,270,9,21,112,139,49,270,9,5,55.6,4,44.4,160,709,197,5,4,1,27,15,181,55,Matches
Carlos Eduardo,br BRA,"FW,MF",25.0,10.0,322,10,41,137,151,24,322,34,15,44.1,16,47.1,217,1339,525,16,11,4,37,17,211,63,Matches
Leonardo Realpe,ec ECU,DF,20.0,7.4,426,60,228,187,14,3,426,3,3,100.0,0,0.0,286,1643,1046,10,7,0,3,0,255,1,Matches
Bruno Praxedes,br BRA,MF,19.0,6.5,342,3,25,197,126,17,342,15,9,60.0,5,33.3,266,1701,659,16,14,1,9,10,265,39,Matches
Ramon,br BRA,DF,20.0,8.0,543,27,164,248,133,7,543,21,11,52.4,9,42.9,290,1559,737,12,12,0,15,9,273,42,Matches
Ytalo,br BRA,FW,34.0,6.9,142,8,11,68,63,17,142,1,0,0.0,1,100.0,83,322,140,6,5,5,2,1,91,22,Matches
Miguel Silveira,br BRA,"MF,FW",18.0,6.3,273,2,37,116,122,18,273,12,2,16.7,9,75.0,169,970,501,17,10,3,15,10,167,38,Matches
Werik Popó,br BRA,FW,20.0,5.7,163,7,9,84,70,31,163,10,3,30.0,3,30.0,87,434,120,5,2,3,22,17,99,34,Matches
Jan Carlos Hurtado,ve VEN,FW,21.0,5.4,157,2,6,72,82,39,157,6,2,33.3,4,66.7,86,372,118,3,3,1,28,7,97,23,Matches
José Hurtado,ec ECU,DF,20.0,6.6,423,23,103,186,137,6,423,14,8,57.1,6,42.9,221,1608,827,27,20,2,10,2,217,47,Matches
Bruno Tubarão,br BRA,"FW,MF",26.0,5.0,226,2,20,99,113,14,226,12,7,58.3,5,41.7,160,1274,656,28,14,6,5,12,174,37,Matches
Renan Victor,br BRA,DF,19.0,3.2,178,36,109,70,3,0,178,4,2,50.0,2,50.0,110,697,395,1,0,0,4,1,100,0,Matches
Gabriel Novaes,br BRA,"FW,MF",22.0,4.3,125,3,13,51,63,13,125,12,5,41.7,5,41.7,82,619,144,2,7,1,9,5,87,27,Matches
Guilherme,br BRA,DF,19.0,1.0,51,2,13,26,12,1,51,2,2,100.0,0,0.0,29,227,132,4,3,1,2,0,28,3,Matches
Lucão,br BRA,GK,20.0,1.0,45,35,45,0,0,0,45,0,0,,0,,21,116,45,0,0,0,0,0,18,0,Matches
Douglas Mendes,br BRA,DF,17.0,0.8,26,3,14,11,2,0,26,0,0,,0,,12,73,57,1,0,0,0,0,15,2,Matches
Weverson,br BRA,MF,21.0,0.5,18,0,1,7,10,1,18,1,0,0.0,1,100.0,7,36,11,0,2,0,1,2,6,2,Matches
Welliton,br BRA,"MF,FW",21.0,1.1,72,1,4,20,51,4,72,15,7,46.7,7,46.7,53,468,202,10,5,1,6,5,55,18,Matches
Nathan Camargo,br BRA,"MF,FW",16.0,0.8,49,4,15,31,4,0,49,1,0,0.0,1,100.0,26,82,39,0,0,0,4,0,29,2,Matches
Guilherme Santos,br BRA,"FW,MF",20.0,0.8,19,0,2,8,10,1,19,2,0,0.0,2,100.0,12,106,41,2,3,0,0,1,11,4,Matches
Bruninho,br BRA,MF,18.0,0.4,17,0,0,11,6,0,17,2,1,50.0,1,50.0,12,92,45,0,1,0,0,1,11,1,Matches
