Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Cleiton Schwengber,br BRA,GK,26.0,30.0,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,20,1,Matches
Lucas Evangelista,br BRA,MF,28.0,28.2,48,30,21,24,3,20,38,52.6,18,29,12,17,23,71,37,0,Matches
Pedro Henrique,br BRA,DF,28.0,26.4,43,32,34,9,0,22,38,57.9,16,30,18,12,24,67,121,3,Matches
Eduardo Sasha,br BRA,FW,31.0,23.1,9,4,4,3,2,6,12,50.0,6,14,3,11,4,13,20,0,Matches
Juninho Capixaba,br BRA,"DF,MF",26.0,20.8,62,43,35,21,6,32,57,56.1,25,27,8,19,33,95,73,2,Matches
Luan Cândido,br BRA,DF,22.0,21.7,41,28,21,18,2,16,28,57.1,12,27,17,10,32,73,103,1,Matches
Vitinho,br BRA,"FW,MF",24.0,21.3,26,15,8,14,4,14,29,48.3,15,25,2,23,11,37,30,0,Matches
Jadsom,br BRA,"MF,DF",22.0,18.5,67,41,42,19,6,32,61,52.5,29,15,6,9,27,94,42,0,Matches
Lincoln,br BRA,"MF,FW",25.0,17.2,33,21,10,14,9,13,32,40.6,19,22,9,13,10,43,18,1,Matches
Henry Mosquera,co COL,"FW,MF",22.0,21.5,23,11,10,8,5,9,14,64.3,5,9,1,8,9,32,6,0,Matches
Eduardo Santos,br BRA,DF,26.0,19.1,35,27,19,16,0,12,18,66.7,6,25,16,9,19,54,105,1,Matches
Jhonatan Jowjow,br BRA,"MF,FW",21.0,12.9,24,17,7,11,6,13,19,68.4,6,20,4,16,4,28,10,0,Matches
José Hurtado,ec ECU,DF,22.0,14.7,23,15,11,9,3,13,29,44.8,16,11,4,7,19,42,55,1,Matches
Raul,br BRA,MF,27.0,14.5,25,19,11,12,2,15,28,53.6,13,14,5,9,23,48,28,1,Matches
Helinho,br BRA,"FW,MF",23.0,12.2,9,6,2,2,5,1,11,9.1,10,18,0,18,10,19,11,0,Matches
Douglas Mendes,br BRA,DF,19.0,15.0,25,17,12,11,2,11,18,61.1,7,16,9,7,17,42,67,0,Matches
Matheus Fernandes,br BRA,MF,25.0,9.4,39,31,14,21,4,15,22,68.2,7,17,3,14,22,61,21,0,Matches
Nathan Mendes,br BRA,DF,21.0,12.9,25,15,15,7,3,17,26,65.4,9,11,5,6,11,36,27,0,Matches
Eric Ramires,br BRA,MF,23.0,12.3,24,17,11,8,5,12,27,44.4,15,10,2,8,8,32,8,0,Matches
Gustavinho,br BRA,"MF,FW",19.0,10.6,24,9,7,10,7,9,26,34.6,17,14,1,13,4,28,12,0,Matches
Thiago Borbas,uy URU,FW,21.0,10.6,7,4,0,5,2,3,6,50.0,3,8,4,4,2,9,14,0,Matches
Lucas Cunha,br BRA,DF,27.0,8.7,9,7,7,1,1,4,7,57.1,3,9,8,1,4,13,52,0,Matches
Vinicius Mendonça,br BRA,FW,19.0,8.0,18,16,8,6,4,10,20,50.0,10,10,1,9,2,20,7,0,Matches
Guilherme,br BRA,DF,21.0,7.4,16,10,13,3,0,10,15,66.7,5,8,2,6,10,26,33,0,Matches
Lucão,br BRA,GK,22.0,7.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches
Ignacio Laquintana,uy URU,"FW,MF",24.0,3.1,3,1,2,1,0,1,4,25.0,3,1,0,1,3,6,1,0,Matches
Ivan Cavaleiro,pt POR,"FW,MF",30.0,2.1,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,1,1,Matches
Talisson,br BRA,FW,21.0,1.3,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,Matches
Fabrício,br BRA,GK,23.0,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Leonardo Realpe,ec ECU,DF,22.0,1.0,2,2,1,1,0,0,2,0.0,2,3,2,1,4,6,8,0,Matches
Bruninho,br BRA,"FW,MF",20.0,0.9,1,0,0,0,1,1,3,33.3,2,0,0,0,0,1,1,0,Matches
Arthur,br BRA,"FW,MF",20.0,1.7,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,1,0,Matches
Victor Hugo,br BRA,FW,20.0,0.5,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,1,0,Matches
Sergio Palacios,co COL,DF,18.0,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
Everton,br BRA,FW,21.0,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
Juliano,br BRA,FW,15.0,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Chumbinho,br BRA,"MF,FW",20.0,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
Riquelme,br BRA,MF,18.0,0.1,1,0,1,0,0,0,0,,0,1,0,1,0,1,1,0,Matches
Squad Total,,,24.8,38.0,666,440,328,256,82,314,598,52.5,284,399,142,257,336,1002,938,12,
Opponent Total,,,27.7,38.0,622,380,290,258,74,291,624,46.6,333,396,113,283,353,975,799,11,
