Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Cleiton Schwengber,br BRA,GK,26.0,30.0,981,670,307,89,0,4,0,0,0,0,0,0,677,4,0,Matches
Lucas Evangelista,br BRA,MF,28.0,28.2,1012,960,49,20,3,13,35,10,12,8,4,0,835,3,22,Matches
Pedro Henrique,br BRA,DF,28.0,26.4,1255,1193,59,51,1,31,1,1,0,0,0,0,999,3,19,Matches
Eduardo Sasha,br BRA,FW,31.0,23.1,513,488,23,3,3,2,13,3,0,0,0,0,351,2,18,Matches
Juninho Capixaba,br BRA,"DF,MF",26.0,20.8,1136,926,210,39,1,15,43,168,1,0,1,0,853,0,29,Matches
Luan Cândido,br BRA,DF,22.0,21.7,884,771,113,20,0,2,7,93,0,0,0,0,707,0,7,Matches
Vitinho,br BRA,"FW,MF",24.0,21.3,760,634,122,21,3,5,128,33,57,27,11,0,507,4,32,Matches
Jadsom,br BRA,"MF,DF",22.0,18.5,780,695,79,15,1,11,15,64,0,0,0,0,610,6,16,Matches
Lincoln,br BRA,"MF,FW",25.0,17.2,765,629,130,46,9,4,87,11,50,15,31,0,573,6,17,Matches
Henry Mosquera,co COL,"FW,MF",22.0,21.5,490,477,13,1,0,4,40,5,6,0,0,0,380,0,15,Matches
Eduardo Santos,br BRA,DF,26.0,19.1,851,812,39,31,1,3,5,8,0,0,0,0,705,0,15,Matches
Jhonatan Jowjow,br BRA,"MF,FW",21.0,12.9,411,389,21,6,8,7,20,2,6,3,1,1,303,1,10,Matches
José Hurtado,ec ECU,DF,22.0,14.7,722,582,140,5,1,3,56,135,0,0,0,0,523,0,20,Matches
Raul,br BRA,MF,27.0,14.5,686,651,33,29,2,11,2,2,0,0,0,0,571,2,10,Matches
Helinho,br BRA,"FW,MF",23.0,12.2,568,496,69,19,8,8,71,14,35,18,11,0,390,3,15,Matches
Douglas Mendes,br BRA,DF,19.0,15.0,585,512,73,24,2,10,10,49,0,0,0,0,430,0,10,Matches
Matheus Fernandes,br BRA,MF,25.0,9.4,359,341,18,13,2,1,2,4,0,0,0,0,283,0,9,Matches
Nathan Mendes,br BRA,DF,21.0,12.9,681,540,140,6,0,2,17,134,0,0,0,0,518,1,23,Matches
Eric Ramires,br BRA,MF,23.0,12.3,466,445,21,5,1,1,10,4,1,1,0,0,393,0,9,Matches
Gustavinho,br BRA,"MF,FW",19.0,10.6,389,353,35,11,1,2,45,2,21,5,14,0,282,1,10,Matches
Thiago Borbas,uy URU,FW,21.0,10.6,156,153,3,0,0,0,1,1,0,0,0,0,98,0,3,Matches
Lucas Cunha,br BRA,DF,27.0,8.7,319,294,25,16,2,3,0,7,0,0,0,0,258,0,0,Matches
Vinicius Mendonça,br BRA,FW,19.0,8.0,194,191,3,1,1,1,28,2,0,0,0,0,142,0,8,Matches
Guilherme,br BRA,DF,21.0,7.4,331,252,78,4,0,0,31,73,0,0,0,0,218,1,7,Matches
Lucão,br BRA,GK,22.0,7.0,200,116,84,20,0,0,0,0,0,0,0,0,133,0,0,Matches
Ignacio Laquintana,uy URU,"FW,MF",24.0,3.1,78,76,2,0,0,0,6,2,0,0,0,0,53,0,7,Matches
Ivan Cavaleiro,pt POR,"FW,MF",30.0,2.1,73,65,7,5,0,0,11,0,2,0,2,0,47,1,1,Matches
Talisson,br BRA,FW,21.0,1.3,16,16,0,0,0,0,6,0,0,0,0,0,6,0,1,Matches
Fabrício,br BRA,GK,23.0,1.0,21,16,5,0,0,0,0,0,0,0,0,0,16,0,0,Matches
Leonardo Realpe,ec ECU,DF,22.0,1.0,35,33,2,2,0,0,0,0,0,0,0,0,30,0,0,Matches
Bruninho,br BRA,"FW,MF",20.0,0.9,30,29,1,1,0,2,0,0,0,0,0,0,24,0,0,Matches
Arthur,br BRA,"FW,MF",20.0,1.7,31,29,2,0,0,0,0,0,0,0,0,0,24,0,0,Matches
Victor Hugo,br BRA,FW,20.0,0.5,9,9,0,0,0,0,2,0,0,0,0,0,6,0,0,Matches
Sergio Palacios,co COL,DF,18.0,0.3,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
Everton,br BRA,FW,21.0,0.3,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
Juliano,br BRA,FW,15.0,0.3,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
Chumbinho,br BRA,"MF,FW",20.0,0.1,6,5,1,1,0,0,0,0,0,0,0,0,3,0,0,Matches
Riquelme,br BRA,MF,18.0,0.1,5,4,1,1,0,0,0,0,0,0,0,0,3,0,1,Matches
Squad Total,,,24.8,38.0,15812,13866,1908,505,50,145,692,827,191,77,75,1,11963,38,334,
Opponent Total,,,27.7,38.0,17652,15586,2001,517,26,176,814,853,233,75,100,3,13751,65,318,
