Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2016-05-15,11:00,Série A,Matchweek 1,Sun,Home,W,4,1,Vitória,38.0,20038.0,,4-2-3-1,4-2-3-1,Pablo Dos Santos Alves,Match Report,
2016-05-21,18:30,Série A,Matchweek 2,Sat,Away,D,2,2,Fluminense,43.0,3380.0,,4-2-3-1,4-2-3-1,Jailson Macêdo Freitas,Match Report,
2016-05-25,21:45,Série A,Matchweek 3,Wed,Home,W,4,1,Cruzeiro,35.0,16331.0,,4-2-3-1,4-1-2-1-2,Anderson Daronco,Match Report,
2016-05-28,21:00,Série A,Matchweek 4,Sat,Away,D,1,1,Chapecoense,35.0,4734.0,,4-2-3-1,4-3-2-1,Rafael Traci,Match Report,
2016-06-01,21:00,Série A,Matchweek 5,Wed,Home,L,0,1,Sport Recife,52.0,16951.0,,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,
2016-06-04,16:00,Série A,Matchweek 6,Sat,Away,L,0,1,Ath Paranaense,40.0,11863.0,,4-2-3-1,4-4-2,Wagner Reway,Match Report,
2016-06-12,19:00,Série A,Matchweek 7,Sun,Home,L,0,2,Santos,48.0,16464.0,,4-2-3-1,4-2-3-1,Elmo Alves Resende Cunha,Match Report,
2016-06-15,21:00,Série A,Matchweek 8,Wed,Home,W,1,0,Figueirense,53.0,10019.0,,4-2-3-1,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,
2016-06-18,16:00,Série A,Matchweek 9,Sat,Away,L,1,3,Palmeiras,41.0,34162.0,,4-2-3-1,4-2-3-1,Eduardo Tomaz De Aquino Valadão,Match Report,
2016-06-22,21:00,Série A,Matchweek 10,Wed,Home,L,0,1,Flamengo,48.0,12739.0,,4-2-3-1,4-2-3-1,Wagner Reway,Match Report,
2016-06-25,21:00,Série A,Matchweek 11,Sat,Away,L,1,2,Corinthians,38.0,25501.0,,4-2-3-1,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,
2016-06-30,19:30,Série A,Matchweek 12,Thu,Home,L,0,3,Ponte Preta,57.0,8517.0,,4-2-3-1,4-2-3-1,Francisco Carlos do Nascimento,Match Report,
2016-07-03,16:00,Série A,Matchweek 13,Sun,Away,L,1,2,Botafogo (RJ),54.0,5423.0,,4-2-3-1,4-2-3-1,Braulio da Silva Machado,Match Report,
2016-07-10,16:00,Série A,Matchweek 14,Sun,Home,W,1,0,Internacional,48.0,8749.0,,4-2-3-1,4-2-3-1,Sandro Ricci,Match Report,
2016-07-17,11:00,Série A,Matchweek 15,Sun,Away,W,3,0,América (MG),34.0,2404.0,,4-4-2,4-4-2,Grazianni Maciel Rocha,Match Report,
2016-07-23,18:30,Série A,Matchweek 16,Sat,Home,L,0,1,Coritiba,58.0,10021.0,,4-2-3-1,4-1-4-1,Wilton Sampaio,Match Report,
2016-07-30,21:00,Série A,Matchweek 17,Sat,Away,L,0,3,Atlético Mineiro,42.0,16804.0,,4-2-3-1,4-2-2-2,Dewson Fernando Freitas da Silva,Match Report,
2016-08-04,19:30,Série A,Matchweek 18,Thu,Away,D,0,0,Grêmio,39.0,16068.0,,4-2-3-1,4-2-3-1,Luiz Flavio De Oliveira,Match Report,
2016-08-07,16:15,Série A,Matchweek 19,Sun,Home,L,1,2,São Paulo,48.0,12705.0,,4-2-3-1,4-3-2-1,Bruno Arleu de Araujo,Match Report,
2016-08-14,16:00,Série A,Matchweek 20,Sun,Away,D,2,2,Vitória,47.0,6797.0,,4-2-3-1,4-2-3-1,Emerson De Almeida Ferreira,Match Report,
2016-08-21,16:00,Série A,Matchweek 21,Sun,Home,L,0,1,Fluminense,59.0,8279.0,,4-2-3-1,4-2-2-2,Luiz Flavio De Oliveira,Match Report,
2016-08-24,21:45,Sudamericana,Second stage,Wed,Home,D,0,0,br Sport Recife,,5517.0,,,,Julio Bascuñán,Match Report,Leg 1 of 2
2016-08-28,11:00,Série A,Matchweek 22,Sun,Away,L,0,2,Cruzeiro,53.0,46591.0,,4-2-3-1,4-2-3-1,Sandro Ricci,Match Report,
2016-08-31,21:45,Sudamericana,Second stage,Wed,Away,W,1,0,br Sport Recife,,6570.0,,,,Diego Haro,Match Report,Leg 2 of 2; Santa Cruz won
2016-09-07,16:00,Série A,Matchweek 23,Wed,Home,D,2,2,Chapecoense,55.0,12266.0,,4-2-3-1,4-2-3-1,Savio Pereira,Match Report,
2016-09-11,16:00,Série A,Matchweek 24,Sun,Away,L,3,5,Sport Recife,37.0,11688.0,,4-2-3-1,4-2-3-1,Leandro Pedro Vuaden,Match Report,
2016-09-14,21:00,Série A,Matchweek 25,Wed,Home,W,1,0,Ath Paranaense,57.0,2471.0,,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,
2016-09-18,18:30,Série A,Matchweek 26,Sun,Away,L,2,3,Santos,50.0,28700.0,,4-2-3-1,4-2-3-1,Francisco Carlos do Nascimento,Match Report,
2016-09-21,19:45,Sudamericana,Round of 16,Wed,Away,L,0,2,co Independiente,,,,,,Raúl Orozco,Match Report,Leg 1 of 2
2016-09-25,11:00,Série A,Matchweek 27,Sun,Away,L,1,3,Figueirense,66.0,6860.0,,4-1-4-1,4-2-3-1,Paulo Henrique Schleinch Vollkopf,Match Report,
2016-09-28,21:45,Sudamericana,Round of 16,Wed,Home,W,3,1,co Independiente,,,,,,José Argote,Match Report,Leg 2 of 2; Independiente won
2016-10-03,20:00,Série A,Matchweek 28,Mon,Home,L,2,3,Palmeiras,48.0,7189.0,,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,
2016-10-09,17:00,Série A,Matchweek 29,Sun,Away,L,0,3,Flamengo,39.0,23272.0,,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,
2016-10-12,20:45,Série A,Matchweek 30,Wed,Home,L,2,4,Corinthians,45.0,7974.0,,4-2-3-1,4-1-4-1,Grazianni Maciel Rocha,Match Report,
2016-10-16,18:30,Série A,Matchweek 31,Sun,Away,L,0,3,Ponte Preta,60.0,10912.0,,4-2-3-1,4-1-4-1,Ricardo Marques Ribeiro,Match Report,
2016-10-19,20:45,Série A,Matchweek 32,Wed,Home,L,0,1,Botafogo (RJ),59.0,3480.0,,4-2-3-1,4-3-1-2,Braulio da Silva Machado,Match Report,
2016-10-29,18:30,Série A,Matchweek 33,Sat,Away,D,1,1,Internacional,53.0,35376.0,,4-2-3-1,4-2-3-1,Wilton Sampaio,Match Report,
2016-11-06,16:00,Série A,Matchweek 34,Sun,Home,W,1,0,América (MG),55.0,7632.0,,4-2-3-1,4-1-4-1,Luiz Flavio De Oliveira,Match Report,
2016-11-16,21:00,Série A,Matchweek 35,Wed,Away,L,0,1,Coritiba,47.0,8055.0,,4-2-3-1,4-3-3,Jean Pierre Goncalves Lima,Match Report,
