Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Aranha,br BRA,GK,33.0,33,2970.0,90.0,86.8,33.0,33,90.0,33.0,0,,0,1.3,37.0,31.0,6.0,0.18,-0.02,Matches
Arouca,br BRA,"DF,MF",27.0,32,2852.0,89.0,83.4,31.7,32,89.0,30.0,0,,0,1.31,34.0,31.0,3.0,0.09,-0.54,Matches
Lucas Lima,br BRA,"FW,MF",23.0,35,2831.0,81.0,82.8,31.5,32,87.0,26.0,3,13.0,0,1.4,40.0,28.0,12.0,0.38,1.15,Matches
Cicinho,bg BUL,"DF,MF",25.0,33,2806.0,85.0,82.0,31.2,31,89.0,29.0,2,31.0,1,1.24,32.0,31.0,1.0,0.03,-0.85,Matches
David Braz,br BRA,DF,26.0,30,2691.0,90.0,78.7,29.9,30,90.0,29.0,0,,1,1.63,36.0,22.0,14.0,0.47,1.33,Matches
Gabriel Barbosa,br BRA,"FW,MF",17.0,31,2178.0,70.0,63.7,24.2,28,75.0,6.0,3,29.0,2,1.55,32.0,15.0,17.0,0.7,1.43,Matches
Alison,br BRA,MF,20.0,23,1884.0,82.0,55.1,20.9,23,82.0,15.0,0,,2,1.52,26.0,14.0,12.0,0.57,0.87,Matches
Edu Dracena,br BRA,DF,32.0,19,1710.0,90.0,50.0,19.0,19,90.0,19.0,0,,0,1.21,20.0,24.0,-4.0,-0.21,-0.79,Matches
Thiago Ribeiro,br BRA,FW,27.0,21,1503.0,72.0,43.9,16.7,18,78.0,5.0,3,35.0,1,1.29,17.0,15.0,2.0,0.12,-0.11,Matches
Leandro Damião,br BRA,FW,24.0,26,1447.0,56.0,42.3,16.1,18,69.0,3.0,8,25.0,4,1.15,18.0,16.0,2.0,0.12,-0.1,Matches
Robinho,br BRA,"FW,MF",30.0,16,1259.0,79.0,36.8,14.0,16,79.0,10.0,0,,0,1.25,11.0,15.0,-4.0,-0.29,-0.74,Matches
Eugenio Mena,cl CHI,"DF,MF",25.0,15,1313.0,88.0,38.4,14.6,15,88.0,13.0,0,,4,1.13,16.0,16.0,0.0,0.0,-0.3,Matches
Geuvânio,br BRA,"FW,MF",21.0,24,1143.0,48.0,33.4,12.7,11,76.0,4.0,13,24.0,6,1.5,14.0,12.0,2.0,0.16,-0.04,Matches
Caju,br BRA,DF,18.0,11,959.0,87.0,28.0,10.7,11,87.0,9.0,0,,4,1.45,11.0,11.0,0.0,0.0,-0.26,Matches
Rildo,br BRA,"FW,MF",24.0,22,1121.0,51.0,32.8,12.5,10,80.0,4.0,12,27.0,2,1.18,9.0,15.0,-6.0,-0.48,-0.99,Matches
Neto,br BRA,DF,28.0,11,862.0,78.0,25.2,9.6,10,86.0,8.0,1,0.0,12,1.55,11.0,9.0,2.0,0.21,0.03,Matches
Bruno Uvini,br BRA,DF,22.0,11,860.0,78.0,25.1,9.6,10,86.0,8.0,1,5.0,13,0.91,8.0,9.0,-1.0,-0.1,-0.39,Matches
Zeca,br BRA,DF,19.0,15,960.0,64.0,28.1,10.7,9,91.0,9.0,6,24.0,10,1.6,15.0,10.0,5.0,0.47,0.4,Matches
Souza,br BRA,"DF,MF",25.0,18,888.0,49.0,26.0,9.9,9,85.0,7.0,9,13.0,9,1.5,11.0,14.0,-3.0,-0.3,-0.66,Matches
Alan Santos,br BRA,"DF,MF",22.0,15,715.0,48.0,20.9,7.9,8,79.0,4.0,7,12.0,14,1.33,6.0,7.0,-1.0,-0.13,-0.39,Matches
Renato,br BRA,MF,34.0,11,739.0,67.0,21.6,8.2,7,88.0,4.0,4,31.0,10,1.64,9.0,6.0,3.0,0.37,0.23,Matches
Jubal,br BRA,DF,20.0,8,663.0,83.0,19.4,7.4,7,90.0,7.0,1,32.0,8,1.75,9.0,3.0,6.0,0.81,0.78,Matches
Cícero Santos,br BRA,MF,29.0,6,540.0,90.0,15.8,6.0,6,90.0,6.0,0,,0,1.17,6.0,5.0,1.0,0.17,-0.02,Matches
Vladimir,br BRA,GK,24.0,5,450.0,90.0,13.2,5.0,5,90.0,5.0,0,,30,1.67,6.0,6.0,0.0,0.0,-0.21,Matches
Victor Ferraz,br BRA,"DF,MF",26.0,5,306.0,61.0,8.9,3.4,4,73.0,2.0,1,13.0,18,1.8,7.0,2.0,5.0,1.47,1.41,Matches
Emerson Palmieri,it ITA,"DF,MF",19.0,3,224.0,75.0,6.5,2.5,3,75.0,2.0,0,,3,1.67,1.0,0.0,1.0,0.4,0.23,Matches
Jorge Eduardo,br BRA,FW,19.0,8,292.0,37.0,8.5,3.2,2,93.0,2.0,6,18.0,4,1.0,4.0,3.0,1.0,0.31,0.14,Matches
Diego Cardoso,br BRA,FW,19.0,6,223.0,37.0,6.5,2.5,2,74.0,1.0,4,19.0,9,2.17,6.0,0.0,6.0,2.42,2.39,Matches
Serginho,cn CHN,"FW,MF",18.0,5,164.0,33.0,4.8,1.8,2,63.0,0.0,3,13.0,12,1.4,3.0,2.0,1.0,0.55,0.38,Matches
Daniel Guedes,br BRA,DF,19.0,2,158.0,79.0,4.6,1.8,2,79.0,1.0,0,,2,3.0,2.0,0.0,2.0,1.14,1.0,Matches
Patito Rodríguez,ar ARG,"FW,MF",23.0,6,192.0,32.0,5.6,2.1,1,67.0,0.0,5,25.0,8,1.5,3.0,2.0,1.0,0.47,0.3,Matches
Stéfano Yuri,br BRA,FW,19.0,8,165.0,21.0,4.8,1.8,1,76.0,0.0,7,13.0,9,1.13,0.0,2.0,-2.0,-1.09,-1.34,Matches
Leandrinho,br BRA,MF,20.0,8,162.0,20.0,4.7,1.8,1,70.0,0.0,7,13.0,16,1.63,1.0,6.0,-5.0,-2.78,-3.11,Matches
Bruno Peres,br BRA,"DF,MF",23.0,2,112.0,56.0,3.3,1.2,1,67.0,0.0,1,45.0,5,0.5,1.0,0.0,1.0,0.8,0.64,Matches
Victor Andrade,br BRA,"FW,MF",18.0,2,91.0,46.0,2.7,1.0,1,68.0,0.0,1,23.0,3,1.0,0.0,1.0,-1.0,-0.99,-1.21,Matches
Giva,br BRA,FW,21.0,2,45.0,23.0,1.3,0.5,0,,0.0,2,22.0,0,3.0,1.0,0.0,1.0,2.0,1.84,Matches
Nailson,br BRA,DF,19.0,1,45.0,45.0,1.3,0.5,0,,0.0,1,45.0,6,0.0,0.0,2.0,-2.0,-4.0,-4.24,Matches
Thiago Maia,br BRA,MF,16.0,1,12.0,12.0,0.4,0.1,0,,0.0,1,11.0,0,1.0,0.0,1.0,-1.0,-7.5,-7.71,Matches
Paulo Ricardo,br BRA,DF,19.0,1,1.0,1.0,0.0,0.0,0,,0.0,1,0.0,1,3.0,0.0,0.0,0.0,0.0,-0.18,Matches
Anderson Carvalho,br BRA,MF,23.0,0,,,,,0,,0.0,0,,2,,,,,,,Matches
Gabriel Gasparotto,br BRA,GK,20.0,0,,,,,0,,0.0,0,,7,,,,,,,Matches
Gustavo Henrique,br BRA,DF,20.0,0,,,,,0,,0.0,0,,2,,,,,,,Matches
Lucas Otávio,br BRA,MF,19.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Squad Total,,,25.4,38,3420.0,90.0,100.0,38.0,418,84.0,,113,21.0,241,1.39,42.0,35.0,7.0,0.18,,
Opponent Total,,,26.4,38,3420.0,90.0,100.0,38.0,418,84.0,,111,25.0,250,1.39,35.0,42.0,-7.0,-0.18,,
