Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 16_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Renato,br BRA,MF,36.0,37.3,2,14,7,50.0,0.37,0.19,0.14,0.29,,0,0,Matches
Vanderlei,br BRA,GK,31.0,36.9,0,0,0,,0.0,0.0,,,,0,0,Matches
Victor Ferraz,br BRA,"DF,MF",28.0,36.3,1,16,10,62.5,0.44,0.28,0.06,0.1,,0,0,Matches
Vitor Bueno,br BRA,"FW,MF",21.0,28.3,10,72,30,41.7,2.55,1.06,0.11,0.27,,2,2,Matches
Zeca,br BRA,DF,21.0,31.0,3,23,7,30.4,0.74,0.23,0.13,0.43,,0,0,Matches
Thiago Maia,br BRA,MF,18.0,30.0,0,19,4,21.1,0.63,0.13,0.0,0.0,,0,0,Matches
Luiz Felipe,br BRA,DF,22.0,24.8,1,9,6,66.7,0.36,0.24,0.11,0.17,,0,0,Matches
Gustavo Henrique,br BRA,DF,22.0,22.5,1,14,5,35.7,0.62,0.22,0.07,0.2,,0,0,Matches
Lucas Lima,br BRA,"FW,MF",25.0,21.8,2,31,10,32.3,1.42,0.46,0.06,0.2,,0,0,Matches
Jonathan Copete,co COL,"FW,MF",28.0,22.3,10,37,17,45.9,1.66,0.76,0.27,0.59,,0,0,Matches
Ricardo Oliveira,br BRA,FW,35.0,19.2,11,53,25,47.2,2.76,1.3,0.15,0.32,,3,3,Matches
David Braz,br BRA,DF,28.0,19.7,0,8,1,12.5,0.41,0.05,0.0,0.0,,0,0,Matches
Léo Cittadini,br BRA,MF,21.0,11.4,0,7,3,42.9,0.62,0.26,0.0,0.0,,0,0,Matches
Jean Mota,br BRA,"DF,MF",22.0,12.0,2,25,7,28.0,2.09,0.58,0.08,0.29,,0,0,Matches
Gabriel Barbosa,br BRA,"FW,MF",19.0,10.1,5,32,15,46.9,3.17,1.49,0.16,0.33,,0,0,Matches
Rodrigão,br BRA,FW,22.0,8.5,3,27,11,40.7,3.17,1.29,0.11,0.27,,0,0,Matches
Caju,br BRA,DF,20.0,7.4,0,1,0,0.0,0.14,0.0,0.0,,,0,0,Matches
Diederrick Joel,cm CMR,FW,22.0,7.0,2,8,4,50.0,1.15,0.58,0.13,0.25,,1,1,Matches
Yuri Oliveira Lima,br BRA,"DF,MF",21.0,6.9,1,1,1,100.0,0.14,0.14,1.0,1.0,,0,0,Matches
Paulinho,br BRA,"FW,MF",27.0,6.0,2,9,5,55.6,1.49,0.83,0.22,0.4,,0,0,Matches
Fabián Noguera,ar ARG,DF,22.0,3.4,1,3,1,33.3,0.89,0.3,0.33,1.0,,0,0,Matches
Emiliano Vecchio,ar ARG,MF,27.0,2.2,0,4,2,50.0,1.83,0.91,0.0,0.0,,0,0,Matches
Rafael Longuine,br BRA,"FW,MF",25.0,2.0,0,4,1,25.0,1.98,0.49,0.0,0.0,,0,0,Matches
Ronaldo Mendes,br BRA,MF,23.0,1.7,0,4,0,0.0,2.4,0.0,0.0,,,0,0,Matches
Serginho,cn CHN,"FW,MF",20.0,1.6,0,2,0,0.0,1.24,0.0,0.0,,,0,0,Matches
Elano,br BRA,MF,34.0,1.2,0,1,1,100.0,0.8,0.8,0.0,0.0,,0,0,Matches
Daniel Guedes,br BRA,DF,21.0,1.2,0,0,0,,0.0,0.0,,,,0,0,Matches
Vladimir,br BRA,GK,26.0,1.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Matheus Nolasco,br BRA,FW,20.0,0.9,0,1,1,100.0,1.14,1.14,0.0,0.0,,0,0,Matches
Diogo Vitor da Cruz,br BRA,FW,18.0,0.4,0,0,0,,0.0,0.0,,,,0,0,Matches
Lucas Veríssimo,br BRA,DF,20.0,0.3,0,0,0,,0.0,0.0,,,,0,0,Matches
Maxi Rolón,ar ARG,"FW,MF",21.0,0.3,0,0,0,,0.0,0.0,,,,0,0,Matches
Walterson,br BRA,"FW,MF",21.0,0.3,0,0,0,,0.0,0.0,,,,0,0,Matches
Lucas Crispim,br BRA,"DF,MF",21.0,0.2,0,1,0,0.0,4.29,0.0,0.0,,,0,0,Matches
Fernando Medeiros,br BRA,MF,19.0,0.2,0,0,0,,0.0,0.0,,,,0,0,Matches
Arthur,br BRA,"FW,MF",17.0,0.2,0,0,0,,0.0,0.0,,,,0,0,Matches
Edwin Valencia,co COL,"DF,MF",30.0,0.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Alison,br BRA,MF,22.0,0.1,0,1,0,0.0,15.0,0.0,0.0,,,0,0,Matches
Squad Total,,,26.1,38.0,57,427,174,40.7,11.24,4.58,0.12,0.29,,6,6,
Opponent Total,,,26.5,38.0,35,511,173,33.9,13.45,4.55,0.06,0.18,,3,4,
