Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Vanderlei,br BRA,GK,32.0,37.0,2,0,0,3,8,0,0,1,1,0,2,0,Matches
Lucas Veríssimo,br BRA,DF,21.0,34.0,9,0,0,33,21,2,2,75,24,0,2,0,Matches
Bruno Henrique,br BRA,"FW,MF",26.0,27.8,6,1,0,71,83,13,78,25,35,1,1,0,Matches
David Braz,br BRA,DF,29.0,27.1,10,1,1,24,17,2,1,59,29,0,2,0,Matches
Jean Mota,br BRA,"DF,MF",23.0,25.7,5,0,0,22,33,4,163,43,36,0,2,0,Matches
Lucas Lima,br BRA,"FW,MF",26.0,23.3,12,0,0,44,73,2,149,12,23,1,0,0,Matches
Jonathan Copete,co COL,"FW,MF",29.0,22.9,4,0,0,37,32,12,42,18,21,0,0,0,Matches
Victor Ferraz,br BRA,"DF,MF",29.0,23.0,3,0,0,21,15,0,41,25,32,0,0,0,Matches
Ricardo Oliveira,br BRA,FW,36.0,21.2,2,0,0,36,18,16,10,4,6,0,0,0,Matches
Renato,br BRA,MF,37.0,20.9,0,0,0,18,28,0,7,25,16,0,1,0,Matches
Alison,br BRA,MF,23.0,20.3,6,0,0,46,29,0,8,60,55,0,0,1,Matches
Kayke Rodrigues,br BRA,FW,28.0,14.8,0,0,0,25,9,13,14,5,1,0,0,0,Matches
Daniel Guedes,br BRA,DF,22.0,13.5,7,2,2,28,18,0,92,15,23,0,0,0,Matches
Zeca,br BRA,DF,22.0,13.0,2,0,0,9,16,0,29,13,22,0,0,0,Matches
Thiago Maia,br BRA,MF,19.0,11.1,4,0,0,23,10,0,5,29,15,0,0,0,Matches
Emiliano Vecchio,ar ARG,MF,28.0,7.8,3,0,0,7,12,1,14,7,3,0,0,0,Matches
Matheus Jesus,br BRA,MF,19.0,7.3,4,0,0,17,7,0,3,15,13,0,0,0,Matches
Yuri Oliveira Lima,br BRA,"DF,MF",22.0,7.3,4,0,0,16,6,0,2,8,8,0,0,0,Matches
Vitor Bueno,br BRA,"FW,MF",22.0,5.7,2,0,0,6,10,0,18,2,8,0,0,0,Matches
Vladimir Hernández,co COL,"FW,MF",27.0,6.7,1,0,0,7,20,1,18,5,3,0,0,0,Matches
Arthur,br BRA,"FW,MF",18.0,6.1,1,0,0,8,10,2,15,2,5,0,0,0,Matches
Fabián Noguera,ar ARG,DF,23.0,5.7,0,0,0,4,2,0,0,9,6,0,0,0,Matches
Luiz Felipe,br BRA,DF,23.0,6.5,2,0,0,4,5,0,0,11,8,0,0,0,Matches
Thiago Ribeiro,br BRA,FW,30.0,5.5,1,0,0,12,5,4,12,6,6,0,0,0,Matches
Leandro Donizete,br BRA,MF,34.0,4.1,3,0,0,10,8,0,0,14,6,0,1,0,Matches
Léo Cittadini,br BRA,MF,22.0,3.6,0,0,0,5,6,0,2,8,6,0,0,0,Matches
Caju,br BRA,DF,21.0,3.0,0,0,0,4,3,0,11,7,5,0,0,0,Matches
Matheus Ribeiro,br BRA,DF,23.0,2.3,1,0,0,2,0,0,6,2,2,0,0,0,Matches
Serginho,cn CHN,"FW,MF",21.0,2.9,2,0,0,8,4,0,3,1,1,0,0,0,Matches
Gustavo Henrique,br BRA,DF,23.0,1.3,0,0,0,3,2,0,0,4,2,0,0,0,Matches
Orinho,br BRA,DF,21.0,1.1,0,0,0,1,1,0,4,4,2,0,0,0,Matches
João Paulo,br BRA,GK,21.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rafael Longuine,br BRA,"FW,MF",26.0,1.6,1,0,0,5,4,1,3,0,0,0,0,0,Matches
Rodrigão,br BRA,FW,23.0,0.6,0,0,0,2,1,0,0,0,0,0,0,0,Matches
Lucas Crispim,br BRA,"DF,MF",22.0,0.5,0,0,0,2,4,1,3,0,1,0,0,0,Matches
Yuri Alberto,br BRA,FW,15.0,0.5,0,0,0,2,0,1,2,0,0,0,0,0,Matches
Nilmar,br BRA,FW,32.0,0.5,0,0,0,2,2,0,0,0,0,0,0,0,Matches
Emerson,br BRA,DF,18.0,0.4,1,0,0,2,1,0,1,1,1,0,0,0,Matches
Rodrygo,br BRA,"FW,MF",16.0,0.2,0,0,0,1,0,0,3,0,2,0,0,0,Matches
Matheus Oliveira Santos,br BRA,"FW,MF",19.0,0.2,1,0,0,1,0,0,2,0,0,0,0,0,Matches
Cléber,br BRA,DF,26.0,0.1,0,0,0,1,1,0,0,0,1,0,0,0,Matches
Squad Total,,,27.1,38.0,99,4,3,572,524,75,763,515,428,2,11,1,
Opponent Total,,,26.9,38.0,94,4,4,557,543,63,975,586,481,7,2,1,
