Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Vanderlei,br BRA,GK,32.0,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lucas Veríssimo,br BRA,DF,21.0,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruno Henrique,br BRA,"FW,MF",26.0,28,28,2500.0,27.8,8.0,11.0,19.0,8.0,0.0,0.0,6.0,1.0,0.29,0.4,0.68,0.29,0.68,Matches
David Braz,br BRA,DF,29.0,28,28,2437.0,27.1,3.0,2.0,5.0,3.0,0.0,0.0,10.0,1.0,0.11,0.07,0.18,0.11,0.18,Matches
Jean Mota,br BRA,"DF,MF",23.0,30,25,2312.0,25.7,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,0.04,0.12,0.16,0.04,0.16,Matches
Lucas Lima,br BRA,"FW,MF",26.0,25,24,2093.0,23.3,1.0,6.0,7.0,1.0,0.0,0.0,12.0,0.0,0.04,0.26,0.3,0.04,0.3,Matches
Jonathan Copete,co COL,"FW,MF",29.0,29,24,2059.0,22.9,7.0,1.0,8.0,7.0,0.0,0.0,4.0,0.0,0.31,0.04,0.35,0.31,0.35,Matches
Victor Ferraz,br BRA,"DF,MF",29.0,23,23,2069.0,23.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.09,0.04,0.13,0.09,0.13,Matches
Ricardo Oliveira,br BRA,FW,36.0,23,23,1908.0,21.2,8.0,1.0,9.0,8.0,0.0,0.0,2.0,0.0,0.38,0.05,0.42,0.38,0.42,Matches
