Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2018-03-01,17:15,Libertadores,Group stage,Thu,Away,L,0,2,pe Real Garcilaso,60,,Renato,4-2-3-1,4-2-3-1,Gery Vargas,Match Report,
2018-03-15,19:15,Libertadores,Group stage,Thu,Home,W,3,1,uy Nacional,41,,David Braz,4-1-4-1,5-4-1,Ulises Mereles,Match Report,
2018-04-05,21:30,Libertadores,Group stage,Thu,Away,W,1,0,ar Estudiantes–LP,34,,Renato,4-4-2,4-4-2,Roddy Zambrano,Match Report,
2018-04-14,21:00,Série A,Matchweek 1,Sat,Home,W,2,0,Ceará,53,15513.0,David Braz,4-3-3,4-1-4-1,Rodrigo D'Alonso Ferreira,Match Report,
2018-04-21,16:00,Série A,Matchweek 2,Sat,Away,L,0,1,Bahia,46,15588.0,David Braz,4-2-3-1,4-2-3-1,Claudio Francisco Lima e Silva,Match Report,
2018-04-24,21:30,Libertadores,Group stage,Tue,Home,W,2,0,ar Estudiantes–LP,53,,David Braz,4-2-3-1,5-3-2,Eber Aguino,Match Report,
2018-05-01,21:30,Libertadores,Group stage,Tue,Away,L,0,1,uy Nacional,48,,David Braz,4-1-4-1,4-4-1-1,Wilmar Roldán,Match Report,
2018-05-06,19:00,Série A,Matchweek 4,Sun,Away,L,1,5,Grêmio,36,25779.0,David Braz,4-3-3,4-2-3-1,Péricles Bassols Pegado Cortez,Match Report,
2018-05-13,19:00,Série A,Matchweek 5,Sun,Home,W,3,1,Paraná,57,3971.0,Alison,4-1-4-1,4-2-3-1,Wagner Reway,Match Report,
2018-05-20,16:00,Série A,Matchweek 6,Sun,Away,L,0,1,São Paulo,61,40565.0,Renato,4-2-3-1,4-2-3-1,Braulio da Silva Machado,Match Report,
2018-05-24,19:15,Libertadores,Group stage,Thu,Home,D,0,0,pe Real Garcilaso,74,,David Braz,4-2-3-1,5-4-1,Alexis Herrera,Match Report,
2018-05-27,16:00,Série A,Matchweek 7,Sun,Home,L,0,1,Cruzeiro,55,10670.0,Renato,4-3-3,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,
2018-05-31,21:00,Série A,Matchweek 8,Thu,Away,L,0,2,Ath Paranaense,58,8204.0,Renato,4-3-3,3-4-3,Savio Pereira,Match Report,
2018-06-03,16:00,Série A,Matchweek 9,Sun,Home,W,5,2,Vitória,57,3887.0,Renato,4-3-3,4-2-3-1,Rodrigo D'Alonso Ferreira,Match Report,
2018-06-06,21:00,Série A,Matchweek 10,Wed,Away,D,1,1,Corinthians,49,27586.0,Renato,4-3-3,4-3-3,Ricardo Marques Ribeiro,Match Report,
2018-06-10,19:00,Série A,Matchweek 11,Sun,Home,L,1,2,Internacional,61,8124.0,Renato,4-3-3,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,
2018-06-13,19:00,Série A,Matchweek 12,Wed,Away,W,1,0,Fluminense,52,7438.0,David Braz,4-4-2,5-4-1,Rafael Traci,Match Report,
2018-07-19,20:00,Série A,Matchweek 13,Thu,Home,D,1,1,Palmeiras,50,26417.0,David Braz,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,
2018-07-22,19:00,Série A,Matchweek 14,Sun,Away,D,0,0,Chapecoense,49,7100.0,Renato,4-2-3-1,4-1-4-1,Wagner Reway,Match Report,
2018-07-25,21:45,Série A,Matchweek 15,Wed,Home,D,1,1,Flamengo,44,11843.0,Victor Ferraz,4-2-3-1,4-1-4-1,Jailson Macêdo Freitas,Match Report,
2018-07-29,19:00,Série A,Matchweek 16,Sun,Home,L,0,1,América (MG),73,8691.0,David Braz,4-2-3-1,4-2-4-0,Rafael Traci,Match Report,
2018-08-04,16:00,Série A,Matchweek 17,Sat,Away,D,0,0,Botafogo (RJ),54,6940.0,Renato,4-3-3,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,
