Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Eduardo Sasha,br BRA,FW,26.0,32.9,22,18,4,16,2,10,50,20.0,40,25,5,20,15,37,26,1,Matches
Lucas Veríssimo,br BRA,DF,23.0,32.0,63,45,33,29,1,31,51,60.8,20,41,18,23,74,137,158,1,Matches
Éverson,br BRA,GK,28.0,32.0,2,0,2,0,0,2,3,66.7,1,1,0,1,0,2,12,2,Matches
Gustavo Henrique,br BRA,DF,25.0,30.6,27,20,23,3,1,12,30,40.0,18,29,23,6,39,66,139,0,Matches
Diego Pituca,br BRA,MF,26.0,31.0,56,35,27,26,3,21,70,30.0,49,28,8,20,23,79,48,0,Matches
Yeferson Soteldo,ve VEN,FW,21.0,29.9,28,19,7,14,7,7,37,18.9,30,6,0,6,8,36,6,0,Matches
Jorge,br BRA,"DF,MF",22.0,28.4,59,36,29,25,5,22,44,50.0,22,24,6,18,59,118,44,1,Matches
Carlos Sánchez,uy URU,MF,34.0,27.0,43,32,13,23,7,17,66,25.8,49,14,2,12,14,57,11,0,Matches
Victor Ferraz,br BRA,"DF,MF",31.0,21.7,48,32,31,13,4,28,59,47.5,31,25,6,19,24,72,28,0,Matches
Marinho,br BRA,"FW,MF",28.0,18.8,30,22,10,13,7,7,40,17.5,33,15,1,14,5,35,5,0,Matches
Felipe Aguilar,co COL,DF,26.0,15.9,25,17,18,7,0,17,23,73.9,6,28,23,5,28,53,58,2,Matches
Alison,br BRA,MF,25.0,16.6,64,40,35,23,6,24,75,32.0,51,25,8,17,39,103,24,1,Matches
Evandro Goebel,br BRA,MF,32.0,12.2,25,19,12,10,3,11,24,45.8,13,5,2,3,10,35,6,0,Matches
Jean Mota,br BRA,"MF,FW",25.0,14.1,22,14,7,11,4,10,32,31.3,22,12,0,12,7,29,7,0,Matches
Felipe Jonatan,br BRA,"MF,DF",20.0,12.7,19,10,4,11,4,7,19,36.8,12,9,4,5,21,40,14,0,Matches
Derlis González,py PAR,"FW,MF",24.0,9.0,14,10,4,7,3,4,20,20.0,16,3,1,2,5,19,5,0,Matches
Pará,br BRA,DF,32.0,9.0,15,11,7,8,0,9,16,56.3,7,5,3,2,12,27,11,0,Matches
Jean Lucas,br BRA,MF,20.0,6.9,14,9,4,6,4,6,15,40.0,9,7,1,6,14,28,7,0,Matches
Luan Peres Petroni,br BRA,DF,24.0,6.4,11,7,8,3,0,7,12,58.3,5,10,5,5,11,22,29,0,Matches
Vanderlei,br BRA,GK,34.0,6.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,1,Matches
Tailson,br BRA,FW,19.0,5.6,5,4,2,2,1,1,8,12.5,7,3,0,3,4,9,1,0,Matches
Fernando Uribe,co COL,FW,31.0,4.6,3,0,1,1,1,2,9,22.2,7,2,0,2,0,3,1,0,Matches
Rodrygo,br BRA,FW,18.0,4.0,7,5,1,5,1,2,6,33.3,4,2,0,2,3,10,1,0,Matches
Luiz Felipe,br BRA,DF,25.0,3.7,5,3,2,3,0,3,4,75.0,1,6,4,2,2,7,16,0,Matches
Christian Cueva,pe PER,"FW,DF",27.0,1.7,4,4,0,4,0,1,8,12.5,7,1,0,1,1,5,0,0,Matches
Jobson,br BRA,MF,23.0,1.4,6,5,3,2,1,5,11,45.5,6,1,0,1,1,7,3,0,Matches
Jonathan Copete,co COL,FW,31.0,0.5,4,0,1,2,1,1,1,100.0,0,0,0,0,0,4,1,0,Matches
Lucas Venuto,br BRA,"MF,FW",24.0,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Kaio Jorge,br BRA,"FW,MF",17.0,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Sandry,br BRA,MF,16.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.5,38.0,621,417,288,267,66,267,735,36.3,468,327,120,207,419,1040,662,9,
Opponent Total,,,27.6,38.0,618,408,338,217,63,325,723,45.0,398,367,104,263,387,1005,727,17,
