Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Eduardo Sasha,br BRA,FW,26.0,32.9,2,0,0,21,28,11,8,15,18,0,0,0,98,42,100,29.6,Matches
Lucas Veríssimo,br BRA,DF,23.0,32.0,11,2,2,66,18,1,1,74,45,0,0,1,151,151,64,70.2,Matches
Éverson,br BRA,GK,28.0,32.0,1,0,0,1,8,0,0,0,0,0,1,0,26,11,0,100.0,Matches
Gustavo Henrique,br BRA,DF,25.0,30.6,10,2,0,38,23,1,1,39,20,0,0,0,116,100,51,66.2,Matches
Diego Pituca,br BRA,MF,26.0,31.0,8,0,0,56,36,1,13,23,35,0,0,0,207,17,26,39.5,Matches
Yeferson Soteldo,ve VEN,FW,21.0,29.9,12,1,1,24,48,21,78,8,19,0,0,0,114,8,15,34.8,Matches
Jorge,br BRA,"DF,MF",22.0,28.4,4,0,0,31,46,2,35,59,36,0,0,0,155,57,43,57.0,Matches
Carlos Sánchez,uy URU,MF,34.0,27.0,5,0,0,43,72,7,201,14,32,1,0,0,165,16,32,33.3,Matches
Victor Ferraz,br BRA,"DF,MF",31.0,21.7,3,0,0,15,15,2,30,24,32,0,0,0,120,12,28,30.0,Matches
Marinho,br BRA,"FW,MF",28.0,18.8,13,1,1,42,82,7,68,5,22,2,0,0,88,9,35,20.5,Matches
Felipe Aguilar,co COL,DF,26.0,15.9,3,0,0,20,10,0,1,28,17,0,2,0,79,46,16,74.2,Matches
Alison,br BRA,MF,25.0,16.6,8,0,0,45,25,0,4,39,40,0,0,0,115,20,12,62.5,Matches
Evandro Goebel,br BRA,MF,32.0,12.2,2,1,0,35,30,2,4,10,19,2,0,0,75,20,13,60.6,Matches
Jean Mota,br BRA,"MF,FW",25.0,14.1,3,0,0,25,30,1,78,7,14,0,0,0,64,5,18,21.7,Matches
Felipe Jonatan,br BRA,"MF,DF",20.0,12.7,0,0,0,14,12,1,24,21,10,0,0,0,75,13,35,27.1,Matches
Derlis González,py PAR,"FW,MF",24.0,9.0,5,1,0,20,25,10,19,5,10,0,0,0,45,3,6,33.3,Matches
Pará,br BRA,DF,32.0,9.0,3,1,1,14,5,0,7,12,11,0,0,0,36,12,17,41.4,Matches
Jean Lucas,br BRA,MF,20.0,6.9,2,0,0,11,18,0,14,14,9,0,0,0,43,3,13,18.8,Matches
Luan Peres Petroni,br BRA,DF,24.0,6.4,5,1,1,11,4,0,3,11,7,0,0,0,37,10,11,47.6,Matches
Vanderlei,br BRA,GK,34.0,6.0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,,Matches
Tailson,br BRA,FW,19.0,5.6,0,0,0,17,12,4,14,4,4,0,0,0,37,5,7,41.7,Matches
Fernando Uribe,co COL,FW,31.0,4.6,3,0,0,7,2,1,1,0,0,0,0,0,13,16,18,47.1,Matches
Rodrygo,br BRA,FW,18.0,4.0,1,0,0,8,8,1,14,3,5,0,0,0,22,1,3,25.0,Matches
Luiz Felipe,br BRA,DF,25.0,3.7,1,0,0,3,5,0,0,2,3,0,0,0,18,7,6,53.8,Matches
Christian Cueva,pe PER,"FW,DF",27.0,1.7,1,0,0,4,4,0,2,1,4,0,0,0,9,0,0,,Matches
Jobson,br BRA,MF,23.0,1.4,2,0,0,3,4,0,0,1,5,0,0,0,12,3,1,75.0,Matches
Jonathan Copete,co COL,FW,31.0,0.5,0,0,0,1,0,0,2,0,0,0,0,0,2,2,0,100.0,Matches
Lucas Venuto,br BRA,"MF,FW",24.0,0.6,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0.0,Matches
Kaio Jorge,br BRA,"FW,MF",17.0,0.3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Sandry,br BRA,MF,16.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,26.5,38.0,108,10,6,577,573,73,625,419,417,5,3,1,1929,589,572,50.7,
Opponent Total,,,27.6,38.0,111,6,3,608,546,51,613,387,408,2,7,2,1773,572,589,49.3,
