Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Eduardo Sasha,br BRA,FW,26.0,37,2963.0,80.0,86.6,32.9,34,83.0,19.0,3,46.0,0,2.0,56.0,24.0,32.0,0.97,1.96,51.6,30.7,21.0,0.64,0.37,Matches
Lucas Veríssimo,br BRA,DF,23.0,33,2884.0,87.0,84.3,32.0,33,87.0,30.0,0,,1,1.94,54.0,31.0,23.0,0.72,0.05,53.3,34.4,18.9,0.59,0.02,Matches
Éverson,br BRA,GK,28.0,32,2880.0,90.0,84.2,32.0,32,90.0,32.0,0,,6,1.97,53.0,27.0,26.0,0.81,0.65,53.3,30.1,23.2,0.72,0.87,Matches
Gustavo Henrique,br BRA,DF,25.0,32,2755.0,86.0,80.6,30.6,32,86.0,29.0,0,,1,2.0,48.0,22.0,26.0,0.85,0.71,49.0,28.6,20.5,0.67,0.42,Matches
Diego Pituca,br BRA,MF,26.0,35,2791.0,80.0,81.6,31.0,31,88.0,28.0,4,17.0,0,1.94,49.0,30.0,19.0,0.61,-0.53,50.8,35.0,15.8,0.51,-0.43,Matches
Yeferson Soteldo,ve VEN,FW,21.0,32,2689.0,84.0,78.6,29.9,31,86.0,21.0,1,32.0,0,1.94,51.0,30.0,21.0,0.7,-0.04,50.3,33.1,17.2,0.58,-0.05,Matches
Jorge,br BRA,"DF,MF",22.0,29,2559.0,88.0,74.8,28.4,28,90.0,28.0,1,38.0,5,2.07,48.0,21.0,27.0,0.95,0.95,45.9,28.8,17.1,0.6,0.05,Matches
Carlos Sánchez,uy URU,MF,34.0,34,2434.0,72.0,71.2,27.0,27,84.0,18.0,7,22.0,2,2.0,48.0,26.0,22.0,0.81,0.36,49.0,28.8,20.2,0.75,0.56,Matches
Victor Ferraz,br BRA,"DF,MF",31.0,25,1949.0,78.0,57.0,21.7,21,87.0,19.0,4,31.0,9,2.16,39.0,14.0,25.0,1.15,1.03,37.4,22.5,14.8,0.69,0.23,Matches
Marinho,br BRA,"FW,MF",28.0,27,1691.0,63.0,49.4,18.8,18,81.0,10.0,9,25.0,1,2.0,35.0,15.0,20.0,1.06,0.7,33.9,15.2,18.7,1.0,0.81,Matches
Felipe Aguilar,co COL,DF,26.0,17,1433.0,84.0,41.9,15.9,17,84.0,13.0,0,,20,2.0,20.0,15.0,5.0,0.31,-0.68,25.9,20.4,5.5,0.34,-0.42,Matches
Alison,br BRA,MF,25.0,23,1490.0,65.0,43.6,16.6,15,83.0,9.0,8,30.0,12,1.87,23.0,19.0,4.0,0.24,-0.83,27.2,18.1,9.0,0.54,-0.07,Matches
Evandro Goebel,br BRA,MF,32.0,18,1095.0,61.0,32.0,12.2,14,71.0,4.0,4,27.0,6,1.72,22.0,8.0,14.0,1.15,0.65,20.4,10.9,9.5,0.78,0.29,Matches
Jean Mota,br BRA,"MF,FW",25.0,27,1272.0,47.0,37.2,14.1,13,77.0,5.0,14,20.0,10,1.93,17.0,9.0,8.0,0.57,-0.23,22.0,14.2,7.8,0.55,-0.06,Matches
Felipe Jonatan,br BRA,"MF,DF",20.0,26,1144.0,44.0,33.5,12.7,12,73.0,5.0,14,19.0,9,1.88,21.0,15.0,6.0,0.47,-0.36,21.8,16.3,5.5,0.43,-0.23,Matches
Derlis González,py PAR,"FW,MF",24.0,16,808.0,51.0,23.6,9.0,9,77.0,4.0,7,16.0,9,1.69,13.0,16.0,-3.0,-0.33,-1.37,14.9,15.1,-0.2,-0.03,-0.8,Matches
Pará,br BRA,DF,32.0,11,812.0,74.0,23.7,9.0,8,90.0,7.0,3,30.0,11,1.82,17.0,7.0,10.0,1.11,0.52,15.5,6.8,8.7,0.96,0.49,Matches
Jean Lucas,br BRA,MF,20.0,9,625.0,69.0,18.3,6.9,8,75.0,3.0,1,29.0,0,2.22,11.0,4.0,7.0,1.01,0.36,11.0,7.0,4.0,0.57,-0.02,Matches
Luan Peres Petroni,br BRA,DF,24.0,9,577.0,64.0,16.9,6.4,8,72.0,3.0,1,1.0,14,1.44,5.0,6.0,-1.0,-0.16,-1.04,6.3,5.4,0.9,0.15,-0.53,Matches
Vanderlei,br BRA,GK,34.0,6,540.0,90.0,15.8,6.0,6,90.0,6.0,0,,32,1.83,7.0,6.0,1.0,0.17,-0.65,8.8,9.7,-0.9,-0.15,-0.87,Matches
Tailson,br BRA,FW,19.0,11,508.0,46.0,14.9,5.6,6,70.0,1.0,5,17.0,7,2.18,6.0,1.0,5.0,0.89,0.21,6.1,4.9,1.3,0.22,-0.43,Matches
Fernando Uribe,co COL,FW,31.0,10,418.0,42.0,12.2,4.6,5,65.0,1.0,5,19.0,15,1.91,7.0,6.0,1.0,0.22,-0.56,7.6,4.9,2.7,0.59,0.0,Matches
Rodrygo,br BRA,FW,18.0,4,360.0,90.0,10.5,4.0,4,90.0,4.0,0,,2,2.0,5.0,1.0,4.0,1.0,0.32,7.2,4.1,3.1,0.77,0.21,Matches
Luiz Felipe,br BRA,DF,25.0,8,333.0,42.0,9.7,3.7,3,79.0,1.0,5,19.0,29,1.63,2.0,4.0,-2.0,-0.54,-1.39,4.7,5.8,-1.1,-0.31,-0.99,Matches
Christian Cueva,pe PER,"FW,DF",27.0,5,152.0,30.0,4.4,1.7,1,61.0,0.0,4,23.0,2,1.0,0.0,2.0,-2.0,-1.18,-1.98,1.6,2.0,-0.4,-0.23,-0.86,Matches
Jobson,br BRA,MF,23.0,4,122.0,31.0,3.6,1.4,1,48.0,0.0,3,25.0,27,2.5,3.0,1.0,2.0,1.48,0.79,2.9,0.8,2.0,1.51,0.96,Matches
