Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Felipe Jonatan,br BRA,DF,21.0,31.7,2,33,8,24.2,1.04,0.25,0.06,0.25,22.5,2,0,0,1.2,1.2,0.04,0.8,0.8,Matches
Luan Peres Petroni,br BRA,DF,25.0,27.6,0,9,3,33.3,0.33,0.11,0.0,0.0,22.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Diego Pituca,br BRA,MF,27.0,25.3,1,22,6,27.3,0.87,0.24,0.05,0.17,22.7,0,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches
João Paulo,br BRA,GK,24.0,25.6,0,1,0,0.0,0.04,0.0,0.0,,26.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Marinho,br BRA,"FW,MF",29.0,23.8,17,88,32,36.4,3.7,1.34,0.13,0.34,23.5,23,6,6,11.2,6.5,0.07,5.8,4.5,Matches
Pará,br BRA,DF,33.0,23.6,0,14,2,14.3,0.59,0.08,0.0,0.0,21.7,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
Lucas Braga,br BRA,"FW,MF",23.0,22.9,2,15,6,40.0,0.65,0.26,0.13,0.33,14.4,0,0,0,2.4,2.4,0.16,-0.4,-0.4,Matches
Kaio Jorge,br BRA,FW,18.0,21.0,4,31,6,19.4,1.47,0.29,0.13,0.67,15.9,1,0,0,5.4,5.4,0.17,-1.4,-1.4,Matches
Yeferson Soteldo,ve VEN,"FW,MF",22.0,21.1,4,31,13,41.9,1.47,0.62,0.06,0.15,19.3,3,2,2,5.3,3.7,0.13,-1.3,-1.7,Matches
Alison,br BRA,"MF,DF",26.0,16.8,0,2,2,100.0,0.12,0.12,0.0,0.0,20.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Lucas Veríssimo,br BRA,DF,24.0,15.3,1,12,5,41.7,0.79,0.33,0.08,0.2,13.2,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches
Arthur,br BRA,"MF,FW",21.0,13.6,2,19,13,68.4,1.4,0.96,0.05,0.08,19.2,0,1,1,2.1,1.3,0.07,-0.1,-0.3,Matches
Mádson,br BRA,DF,28.0,15.4,5,13,7,53.8,0.84,0.45,0.31,0.57,10.4,0,1,1,3.8,3.1,0.24,1.2,0.9,Matches
Jobson,br BRA,MF,24.0,12.8,2,9,3,33.3,0.7,0.23,0.22,0.67,29.2,1,0,0,0.4,0.4,0.04,1.6,1.6,Matches
Jean Mota,br BRA,MF,26.0,12.3,1,26,9,34.6,2.11,0.73,0.04,0.11,23.0,2,0,1,3.4,2.6,0.1,-2.4,-1.6,Matches
Sandry,br BRA,MF,17.0,12.3,0,7,0,0.0,0.57,0.0,0.0,,23.6,1,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Laércio,br BRA,DF,26.0,11.0,0,12,4,33.3,1.09,0.36,0.0,0.0,9.0,0,0,0,1.4,1.4,0.12,-1.4,-1.4,Matches
Luiz Felipe,br BRA,DF,26.0,10.0,0,2,1,50.0,0.2,0.1,0.0,0.0,9.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Carlos Sánchez,uy URU,MF,35.0,8.5,0,11,3,27.3,1.3,0.35,0.0,0.0,23.8,4,0,1,1.8,1.1,0.1,-1.8,-1.1,Matches
John,br BRA,GK,23.0,9.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alex,br BRA,DF,20.0,8.1,0,1,1,100.0,0.12,0.12,0.0,0.0,13.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Vinicius,br BRA,MF,20.0,7.8,0,3,2,66.7,0.39,0.26,0.0,0.0,15.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Marcos Leonardo,br BRA,"FW,MF",16.0,6.3,4,13,5,38.5,2.05,0.79,0.23,0.6,13.6,0,1,1,4.0,3.3,0.25,0.0,-0.3,Matches
Wagner,br BRA,DF,20.0,5.5,0,4,3,75.0,0.72,0.54,0.0,0.0,13.6,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Vladimir,br BRA,GK,30.0,3.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ivonei,br BRA,MF,17.0,3.4,1,7,2,28.6,2.09,0.6,0.14,0.5,23.3,1,0,0,0.3,0.3,0.04,0.7,0.7,Matches
Raniel,br BRA,FW,23.0,2.7,0,4,2,50.0,1.49,0.75,0.0,0.0,15.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Bruninho,br BRA,FW,20.0,4.8,3,20,7,35.0,4.2,1.47,0.15,0.43,12.3,0,0,0,2.5,2.5,0.13,0.5,0.5,Matches
Tailson,br BRA,"MF,FW",20.0,4.4,0,2,1,50.0,0.45,0.23,0.0,0.0,20.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Guilherme Nunes,br BRA,MF,21.0,2.3,0,1,0,0.0,0.43,0.0,0.0,,32.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Fernando Pileggi,br BRA,DF,20.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lucas Lourenço,br BRA,"MF,FW",19.0,4.0,0,8,1,12.5,2.01,0.25,0.0,0.0,24.3,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Ângelo,br BRA,"MF,FW",15.0,1.8,0,1,0,0.0,0.57,0.0,0.0,,27.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Gabriel Pirani,br BRA,FW,17.0,0.5,0,1,0,0.0,2.0,0.0,0.0,,21.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Tim Wellington,br BRA,DF,18.0,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Renyer,br BRA,FW,16.0,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Fernando Uribe,co COL,FW,32.0,0.3,0,1,1,100.0,3.6,3.6,0.0,0.0,9.6,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Anderson Ceará,br BRA,FW,20.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Allanzinho,br BRA,MF,19.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Derick Fernando,br BRA,DF,17.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,24.6,38.0,49,423,148,35.0,11.13,3.89,0.09,0.26,19.8,39,11,13,50.9,40.9,0.1,-1.9,-2.9,
Opponent Total,,,26.6,38.0,51,480,152,31.7,12.63,4.0,0.09,0.27,19.7,26,10,10,56.7,48.9,0.11,-5.7,-7.9,
