Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2021-03-09,19:15,Libertadores,Second qualifying stage,Tue,Home,W,2,1,ve Deportivo Lara,0.7,1.2,68,,Alison,4-2-3-1,5-4-1,Andrés Matonte,Match Report,Leg 1 of 2
2021-03-16,18:15,Libertadores,Second qualifying stage,Tue,Away,D,1,1,ve Deportivo Lara,0.4,0.6,65,,Alison,4-2-3-1,5-3-2,Víctor Carrillo,Match Report,Leg 2 of 2; Santos won
2021-04-06,21:30,Libertadores,Third qualifying stage,Tue,Away,W,3,1,ar San Lorenzo,2.1,2.3,59,,Alison,4-2-3-1,4-2-3-1,Wilmar Roldán,Match Report,Leg 1 of 2
2021-04-13,21:30,Libertadores,Third qualifying stage,Tue,Home,D,2,2,ar San Lorenzo,1.0,1.9,56,,Alison,4-2-3-1,4-1-4-1,Esteban Ostojich,Match Report,Leg 2 of 2; Santos won
2021-04-20,19:15,Libertadores,Group stage,Tue,Home,L,0,2,ec Barcelona,0.4,1.9,66,,Alison,4-2-3-1,4-2-3-1,Andrés Matonte,Match Report,
2021-04-27,21:30,Libertadores,Group stage,Tue,Away,L,0,2,ar Boca Juniors,0.4,1.4,57,,Alison,4-3-3,4-3-3,Jesús Valenzuela,Match Report,
2021-05-04,19:15,Libertadores,Group stage,Tue,Home,W,5,0,bo The Strongest,2.2,0.4,55,,Pará,4-3-3,4-2-3-1,Cristián Garay,Match Report,
2021-05-11,19:15,Libertadores,Group stage,Tue,Home,W,1,0,ar Boca Juniors,0.5,0.7,41,,Pará,4-2-3-1,4-3-3,Christian Ferreyra,Match Report,
2021-05-18,18:15,Libertadores,Group stage,Tue,Away,L,1,2,bo The Strongest,0.8,2.4,63,,Alison,4-2-3-1,5-3-2,Diego Haro,Match Report,
2021-05-26,19:00,Libertadores,Group stage,Wed,Away,L,1,3,ec Barcelona,1.2,1.1,61,,Pará,4-2-3-1,4-1-3-2,Andrés Rojas,Match Report,
2021-05-29,20:00,Série A,Matchweek 1,Sat,Away,L,0,3,Bahia,0.5,1.1,65,,Alison,4-3-3,4-3-3,Bruno Arleu de Araujo,Match Report,
2021-06-05,21:00,Série A,Matchweek 2,Sat,Home,W,3,1,Ceará,1.9,1.0,57,,Alison,4-2-3-1,4-4-2,Jean Pierre Goncalves Lima,Match Report,
2021-06-12,19:00,Série A,Matchweek 3,Sat,Home,D,0,0,Juventude,0.9,0.1,74,,Alison,4-3-3,4-4-2,Alexandre Vargas Tavares de Jesus,Match Report,
2021-06-17,19:00,Série A,Matchweek 4,Thu,Away,L,0,1,Fluminense,1.1,1.0,70,,Alison,4-2-3-1,4-3-3,Paulo Roberto Alves Júnior,Match Report,
2021-06-20,18:15,Série A,Matchweek 5,Sun,Home,W,2,0,São Paulo,2.0,0.4,39,,Pará,4-2-3-1,3-1-4-2,Savio Pereira,Match Report,
2021-06-24,21:30,Série A,Matchweek 6,Thu,Away,D,2,2,Grêmio,0.9,2.2,53,,Alison,4-2-3-1,4-2-3-1,Caio Max Augusto Vieira,Match Report,
