Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
João Paulo,br BRA,GK,26.0,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,,0,1.24,44.0,41.0,3.0,0.08,0.08,45.7,47.6,-1.9,-0.05,-0.1,Matches
Marcos Leonardo,br BRA,FW,18.0,35,2882.0,82.0,84.3,32.0,34,84.0,22,1,27.0,0,1.26,35.0,36.0,-1.0,-0.03,-0.7,35.6,40.1,-4.4,-0.14,-0.58,Matches
Eduardo Gabriel,br BRA,DF,25.0,33,2969.0,90.0,86.8,33.0,33,90.0,32,0,,2,1.39,41.0,33.0,8.0,0.24,1.24,40.9,41.8,-0.9,-0.03,0.15,Matches
Rodrigo Fernández,uy URU,MF,26.0,29,2309.0,80.0,67.5,25.7,28,82.0,16,1,12.0,1,1.34,31.0,25.0,6.0,0.23,0.48,35.1,29.9,5.2,0.2,0.76,Matches
Vinícius Zanocelo,br BRA,MF,21.0,28,2004.0,72.0,58.6,22.3,26,75.0,5,2,22.0,5,1.45,26.0,24.0,2.0,0.09,0.03,27.5,29.4,-1.9,-0.08,-0.09,Matches
Mádson,br BRA,DF,30.0,27,2139.0,79.0,62.5,23.8,25,82.0,17,2,46.0,0,1.3,28.0,23.0,5.0,0.21,0.35,29.7,30.4,-0.7,-0.03,0.05,Matches
Felipe Jonatan,br BRA,DF,23.0,26,2071.0,80.0,60.6,23.0,24,84.0,19,2,22.0,9,1.31,30.0,23.0,7.0,0.3,0.57,24.0,27.4,-3.3,-0.15,-0.25,Matches
Maicon,br BRA,DF,33.0,23,1918.0,83.0,56.1,21.3,23,83.0,20,0,,1,1.22,18.0,23.0,-5.0,-0.23,-0.71,27.0,26.0,1.0,0.05,0.21,Matches
Lucas Braga,br BRA,"FW,MF",25.0,33,2078.0,63.0,60.8,23.1,22,82.0,13,11,26.0,1,1.3,29.0,23.0,6.0,0.26,0.46,28.8,27.8,1.0,0.04,0.23,Matches
