Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
João Paulo,br BRA,GK,27.0,35.7,1011,860,1001,11,0,0,1011,1,1,100.0,0,0.0,461,2631,1564,0,0,0,1,0,294,0,Matches
Joaquim,br BRA,DF,24.0,30.3,1585,251,852,649,95,62,1585,18,10,55.6,6,33.3,786,4010,2062,8,12,1,15,3,863,8,Matches
Marcos Leonardo,br BRA,FW,19.0,28.8,703,32,56,286,367,112,699,53,20,37.7,25,47.2,404,2166,970,41,21,18,63,35,510,147,Matches
Lucas Lima,br BRA,"MF,FW",32.0,24.5,1378,15,162,697,547,35,1378,42,22,52.4,16,38.1,773,4858,2497,65,51,10,34,19,840,84,Matches
Messias,br BRA,DF,28.0,26.6,1145,219,688,431,29,22,1145,0,0,,0,,528,1841,722,1,2,0,7,1,598,4,Matches
Rodrigo Fernández,uy URU,MF,27.0,22.4,1119,48,276,723,136,8,1119,22,9,40.9,11,50.0,634,3375,1795,18,17,2,22,11,634,8,Matches
Lucas Braga,br BRA,"DF,FW",26.0,22.1,869,25,179,402,304,29,869,70,23,32.9,37,52.9,450,3521,2026,64,38,13,33,12,491,88,Matches
Jean Lucas,br BRA,MF,24.0,20.1,1200,23,173,654,391,34,1200,59,30,50.8,21,35.6,669,4150,1828,37,36,10,50,31,784,64,Matches
Dodi,br BRA,MF,26.0,19.1,715,40,202,419,111,15,715,31,11,35.5,10,32.3,391,2250,1076,19,15,1,21,11,382,18,Matches
Stiven Mendoza,co COL,"FW,MF",30.0,18.6,862,10,115,356,403,71,860,75,32,42.7,31,41.3,585,3443,2004,79,41,24,42,32,626,158,Matches
Dodô,br BRA,DF,30.0,15.8,985,56,293,510,195,18,985,11,6,54.5,5,45.5,513,2930,1667,26,25,1,16,6,555,42,Matches
Yeferson Soteldo,ve VEN,"FW,MF",25.0,17.3,812,5,53,336,439,68,812,127,64,50.4,49,38.6,608,5728,3209,122,71,41,36,49,629,156,Matches
Tomás Rincón,ve VEN,MF,35.0,13.2,711,29,181,426,109,15,711,9,6,66.7,3,33.3,406,1951,899,9,9,1,7,11,446,15,Matches
João Othavio Basso,br BRA,DF,26.0,12.8,777,86,389,351,41,13,777,4,4,100.0,0,0.0,439,2590,1610,10,7,1,4,1,483,2,Matches
Gabriel Inocêncio,br BRA,DF,28.0,14.2,931,55,301,442,199,11,931,53,24,45.3,26,49.1,446,2664,1265,24,17,3,26,16,485,46,Matches
Kevyson,br BRA,DF,18.0,10.8,575,19,158,257,167,8,575,45,20,44.4,17,37.8,283,1879,876,34,21,2,11,8,320,62,Matches
João Lucas,br BRA,DF,24.0,9.0,513,26,153,218,147,8,513,9,2,22.2,5,55.6,255,1328,710,15,14,1,8,8,263,40,Matches
Nonato,br BRA,MF,24.0,7.3,341,4,61,180,109,11,341,16,6,37.5,8,50.0,189,1166,524,9,12,2,7,4,215,17,Matches
Lucas,br BRA,DF,21.0,6.8,419,26,145,188,90,6,419,14,7,50.0,4,28.6,189,1139,642,14,7,1,5,4,218,23,Matches
Nathan,br BRA,DF,21.0,5.5,283,13,88,131,69,4,283,26,16,61.5,8,30.8,146,829,436,16,10,0,6,6,141,24,Matches
Julio Furch,ar ARG,"FW,MF",33.0,6.8,278,10,17,126,142,45,278,12,7,58.3,5,41.7,151,532,205,5,10,1,20,6,206,49,Matches
Ângelo,br BRA,"FW,MF",18.0,6.0,281,0,41,135,117,10,281,52,28,53.8,21,40.4,193,1615,797,26,18,4,24,14,200,38,Matches
Alex,br BRA,DF,23.0,5.1,291,26,150,126,18,9,291,2,2,100.0,0,0.0,193,1086,622,3,1,0,4,2,212,0,Matches
Deivid Washington,br BRA,FW,17.0,4.7,145,5,13,72,64,20,145,20,9,45.0,9,45.0,77,550,275,11,9,6,13,8,90,13,Matches
Guilherme Camacho,br BRA,MF,32.0,5.0,311,18,82,195,36,1,311,5,4,80.0,1,20.0,145,671,291,0,4,0,1,2,185,3,Matches
Maximiliano Silvera,uy URU,"MF,FW",25.0,5.0,198,2,22,79,103,24,198,18,5,27.8,10,55.6,112,626,214,10,10,3,17,9,129,36,Matches
Eduardo Gabriel,br BRA,DF,26.0,3.0,149,24,86,55,9,9,149,1,1,100.0,0,0.0,70,301,131,1,0,0,1,0,79,1,Matches
Daniel Ruiz Rivera,co COL,"FW,MF",21.0,2.7,137,0,22,50,68,6,137,13,6,46.2,7,53.8,81,476,225,5,3,2,5,5,91,15,Matches
Vladimir,br BRA,GK,33.0,2.3,57,53,57,0,0,0,57,0,0,,0,,34,127,70,0,0,0,0,0,17,0,Matches
Sandry,br BRA,MF,20.0,2.1,124,4,29,72,24,1,124,1,1,100.0,0,0.0,72,315,120,0,0,0,4,4,84,3,Matches
Alison,br BRA,MF,29.0,1.5,83,10,28,52,3,0,83,2,1,50.0,1,50.0,38,213,80,3,2,0,4,2,45,1,Matches
Luan Dias,br BRA,"MF,FW",25.0,2.1,84,0,15,43,29,1,84,5,4,80.0,1,20.0,46,373,172,7,2,1,3,3,51,3,Matches
Júnior Caiçara,br BRA,DF,33.0,1.9,155,9,40,69,48,1,155,2,0,0.0,2,100.0,87,491,308,6,10,0,2,0,101,10,Matches
Lucas Barbosa,br BRA,"FW,MF",21.0,1.1,70,4,24,38,12,1,70,4,2,50.0,2,50.0,33,180,90,4,3,0,2,2,31,4,Matches
Felipe Jonatan,br BRA,DF,24.0,1.0,84,1,19,45,24,0,84,3,2,66.7,1,33.3,54,215,139,3,3,0,0,0,56,5,Matches
Alfredo Morelos,co COL,"FW,MF",26.0,0.9,50,0,3,29,18,4,50,0,0,,0,,28,103,48,1,0,1,2,2,43,6,Matches
Bruno Mezenga,br BRA,"FW,MF",34.0,1.9,98,1,11,53,34,8,98,1,1,100.0,0,0.0,38,179,66,2,2,0,6,3,66,7,Matches
Weslley Patati,br BRA,"FW,MF",19.0,1.5,109,1,11,42,57,10,109,15,5,33.3,10,66.7,80,579,221,9,8,5,7,5,77,20,Matches
Maicon,br BRA,DF,34.0,0.5,24,5,20,4,1,1,24,0,0,,0,,12,70,54,0,0,0,0,0,14,0,Matches
Ed Carlos,br BRA,"MF,FW",21.0,0.4,45,1,12,17,16,0,45,0,0,,0,,27,121,46,0,0,0,1,2,35,1,Matches
Miguel Terceros,bo BOL,"MF,FW",18.0,0.4,24,0,6,12,7,0,24,0,0,,0,,16,86,41,1,2,0,1,0,16,0,Matches
Jair Paula,br BRA,DF,17.0,0.4,20,2,6,14,0,0,20,1,1,100.0,0,0.0,14,71,54,1,0,0,0,0,12,0,Matches
Vinicius,br BRA,MF,23.0,0.3,7,0,1,5,1,0,7,0,0,,0,,6,12,4,0,0,0,1,1,6,0,Matches
Cadu,br BRA,DF,20.0,0.2,11,0,0,10,1,0,11,0,0,,0,,5,15,8,0,1,0,0,0,8,0,Matches
Ivonei,br BRA,MF,20.0,0.0,3,0,0,3,0,0,3,0,0,,0,,1,5,0,0,0,0,0,0,3,1,Matches
Luiz Felipe,br BRA,DF,29.0,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.5,38.0,19772,2018,6241,9013,4780,701,19766,842,392,46.6,352,41.8,10768,63461,32663,709,514,155,532,338,11634,1222,
Opponent Total,,,27.6,38.0,23508,2190,6656,11419,5680,768,23502,838,412,49.2,342,40.8,13618,69865,37258,640,522,123,553,338,15445,1504,
