Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 16_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Denis,br BRA,GK,28.0,36.4,0,0,0,,0.0,0.0,,,,0,0,Matches
Maicon,br BRA,DF,27.0,31.7,2,28,10,35.7,0.88,0.32,0.07,0.2,,0,0,Matches
Thiago Mendes,br BRA,"DF,MF",23.0,29.7,2,42,10,23.8,1.41,0.34,0.05,0.2,,0,0,Matches
Christian Cueva,pe PER,MF,24.0,22.4,7,39,19,48.7,1.74,0.85,0.05,0.11,,5,6,Matches
Kelvin,br BRA,"FW,MF",22.0,20.6,1,33,13,39.4,1.6,0.63,0.03,0.08,,0,0,Matches
Andrés Chávez,ar ARG,"FW,MF",24.0,18.9,9,67,33,49.3,3.54,1.75,0.13,0.27,,0,1,Matches
Eugenio Mena,cl CHI,"DF,MF",27.0,18.9,0,4,2,50.0,0.21,0.11,0.0,0.0,,0,0,Matches
Rodrigo Caio,br BRA,"DF,MF",22.0,18.6,1,15,4,26.7,0.81,0.22,0.07,0.25,,0,0,Matches
João Schmidt,br BRA,MF,22.0,19.0,1,17,6,35.3,0.89,0.32,0.06,0.17,,0,0,Matches
Hudson,br BRA,MF,28.0,16.6,0,16,5,31.3,0.97,0.3,0.0,0.0,,0,0,Matches
Wesley,br BRA,MF,28.0,15.8,1,20,6,30.0,1.27,0.38,0.05,0.17,,0,0,Matches
Julio Buffarini,ar ARG,"DF,MF",27.0,16.0,0,12,3,25.0,0.75,0.19,0.0,0.0,,0,0,Matches
Bruno Vieira,br BRA,DF,30.0,14.3,0,1,0,0.0,0.07,0.0,0.0,,,0,0,Matches
Matheus Reis,br BRA,"DF,MF",20.0,12.8,0,3,2,66.7,0.23,0.16,0.0,0.0,,0,0,Matches
Ricardo Centurión,ar ARG,"FW,MF",23.0,12.5,0,26,7,26.9,2.09,0.56,0.0,0.0,,0,0,Matches
Diego Lugano,uy URU,DF,35.0,13.0,2,8,2,25.0,0.62,0.15,0.25,1.0,,0,0,Matches
Michel Bastos,br BRA,"DF,MF",32.0,10.7,0,18,8,44.4,1.68,0.74,0.0,0.0,,0,0,Matches
Lyanco,br BRA,DF,18.0,10.7,1,3,2,66.7,0.28,0.19,0.33,0.5,,0,0,Matches
Alan Kardec,br BRA,FW,27.0,9.5,3,14,5,35.7,1.47,0.53,0.21,0.6,,0,0,Matches
Luiz Araújo,br BRA,"FW,MF",19.0,8.7,2,25,12,48.0,2.86,1.37,0.08,0.17,,0,0,Matches
Carlinhos,br BRA,DF,29.0,6.9,0,10,0,0.0,1.45,0.0,0.0,,,0,0,Matches
David Neres,br BRA,"FW,MF",18.0,6.9,3,18,11,61.1,2.63,1.6,0.17,0.27,,0,0,Matches
Ytalo,br BRA,"FW,MF",28.0,6.1,1,18,7,38.9,2.96,1.15,0.06,0.14,,0,0,Matches
Ganso,br BRA,MF,26.0,5.7,1,9,4,44.4,1.58,0.7,0.11,0.25,,0,0,Matches
Auro,br BRA,"DF,MF",20.0,4.3,0,2,1,50.0,0.46,0.23,0.0,0.0,,0,0,Matches
Jonathan Calleri,ar ARG,FW,22.0,3.9,3,12,5,41.7,3.09,1.29,0.25,0.6,,0,0,Matches
Robson,br BRA,"FW,MF",24.0,3.2,0,10,2,20.0,3.11,0.62,0.0,0.0,,0,0,Matches
Artur,br BRA,MF,19.0,3.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Lucão,br BRA,DF,19.0,3.0,0,1,0,0.0,0.33,0.0,0.0,,,0,0,Matches
Gilberto,br BRA,FW,26.0,2.6,2,10,6,60.0,3.83,2.3,0.2,0.33,,0,0,Matches
Pedro Bortoluzo,br BRA,FW,19.0,2.5,0,3,1,33.3,1.22,0.41,0.0,0.0,,0,0,Matches
Mateus Caramelo,br BRA,DF,21.0,2.3,0,2,0,0.0,0.86,0.0,0.0,,,0,0,Matches
Lucas Fernandes,br BRA,MF,18.0,2.3,1,6,5,83.3,2.6,2.16,0.17,0.2,,0,0,Matches
Renan Ribeiro,br BRA,GK,25.0,1.5,0,0,0,,0.0,0.0,,,,0,0,Matches
Wellington Martins,br BRA,MF,25.0,1.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Wilder Guisao,co COL,"FW,MF",24.0,0.8,0,0,0,,0.0,0.0,,,,0,0,Matches
Matheus Banguelê,br BRA,MF,19.0,0.7,0,0,0,,0.0,0.0,,,,0,0,Matches
Daniel,br BRA,MF,22.0,0.9,0,2,0,0.0,2.17,0.0,0.0,,,0,0,Matches
Rogério,br BRA,"FW,MF",25.0,0.8,1,5,1,20.0,6.25,1.25,0.2,1.0,,0,0,Matches
Jean Carlos Vicente,br BRA,"FW,MF",23.0,0.8,0,3,2,66.7,3.91,2.61,0.0,0.0,,0,0,Matches
Léo,br BRA,GK,25.0,0.2,0,0,0,,0.0,0.0,,,,0,0,Matches
Squad Total,,,25.6,38.0,44,502,194,38.6,13.21,5.11,0.08,0.2,,5,7,
Opponent Total,,,26.9,38.0,33,440,144,32.7,11.58,3.79,0.07,0.21,,3,6,
