Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Denis,br BRA,GK,28.0,37,36,3272.0,36.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Maicon,br BRA,DF,27.0,32,32,2853.0,31.7,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.06,0.03,0.09,0.06,0.09,Matches
Thiago Mendes,br BRA,"DF,MF",23.0,32,31,2672.0,29.7,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,0.07,0.03,0.1,0.07,0.1,Matches
Christian Cueva,pe PER,MF,24.0,24,23,2015.0,22.4,7.0,5.0,12.0,2.0,5.0,6.0,9.0,1.0,0.31,0.22,0.54,0.09,0.31,Matches
Kelvin,br BRA,"FW,MF",22.0,27,22,1855.0,20.6,1.0,5.0,6.0,1.0,0.0,0.0,2.0,0.0,0.05,0.24,0.29,0.05,0.29,Matches
Andrés Chávez,ar ARG,"FW,MF",24.0,21,19,1701.0,18.9,9.0,2.0,11.0,9.0,0.0,1.0,4.0,0.0,0.48,0.11,0.58,0.48,0.58,Matches
Eugenio Mena,cl CHI,"DF,MF",27.0,20,19,1699.0,18.9,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.05,0.05,0.0,0.05,Matches
Rodrigo Caio,br BRA,"DF,MF",22.0,20,19,1674.0,18.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
João Schmidt,br BRA,MF,22.0,22,18,1710.0,19.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.05,0.11,0.16,0.05,0.16,Matches
Hudson,br BRA,MF,28.0,19,17,1492.0,16.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Wesley,br BRA,MF,28.0,21,17,1421.0,15.8,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Julio Buffarini,ar ARG,"DF,MF",27.0,17,16,1440.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruno Vieira,br BRA,DF,30.0,16,15,1283.0,14.3,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches
Matheus Reis,br BRA,"DF,MF",20.0,15,14,1150.0,12.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.08,0.08,0.0,0.08,Matches
Ricardo Centurión,ar ARG,"FW,MF",23.0,15,14,1122.0,12.5,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.0,0.24,Matches
Diego Lugano,uy URU,DF,35.0,13,13,1169.0,13.0,2.0,0.0,2.0,2.0,0.0,0.0,8.0,1.0,0.15,0.0,0.15,0.15,0.15,Matches
Michel Bastos,br BRA,"DF,MF",32.0,14,11,967.0,10.7,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.19,0.19,0.0,0.19,Matches
Lyanco,br BRA,DF,18.0,12,10,963.0,10.7,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches
Alan Kardec,br BRA,FW,27.0,12,9,856.0,9.5,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.32,0.0,0.32,0.32,0.32,Matches
Luiz Araújo,br BRA,"FW,MF",19.0,22,7,786.0,8.7,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,0.23,0.34,0.57,0.23,0.57,Matches
Carlinhos,br BRA,DF,29.0,13,7,621.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
David Neres,br BRA,"FW,MF",18.0,8,7,617.0,6.9,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.44,0.0,0.44,0.44,0.44,Matches
Ytalo,br BRA,"FW,MF",28.0,12,6,548.0,6.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches
Ganso,br BRA,MF,26.0,7,5,513.0,5.7,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.18,0.35,0.53,0.18,0.53,Matches
Auro,br BRA,"DF,MF",20.0,6,5,389.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jonathan Calleri,ar ARG,FW,22.0,5,4,349.0,3.9,3.0,0.0,3.0,3.0,0.0,0.0,5.0,1.0,0.77,0.0,0.77,0.77,0.77,Matches
Robson,br BRA,"FW,MF",24.0,7,3,289.0,3.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.31,0.31,0.0,0.31,Matches
Artur,br BRA,MF,19.0,4,3,276.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lucão,br BRA,DF,19.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gilberto,br BRA,FW,26.0,8,2,235.0,2.6,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.77,0.0,0.77,0.77,0.77,Matches
Pedro Bortoluzo,br BRA,FW,19.0,10,2,222.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mateus Caramelo,br BRA,DF,21.0,4,2,210.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lucas Fernandes,br BRA,MF,18.0,5,2,208.0,2.3,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.43,0.43,0.87,0.43,0.87,Matches
Renan Ribeiro,br BRA,GK,25.0,2,2,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Wellington Martins,br BRA,MF,25.0,3,1,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Wilder Guisao,co COL,"FW,MF",24.0,1,1,70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matheus Banguelê,br BRA,MF,19.0,1,1,64.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Daniel,br BRA,MF,22.0,6,0,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rogério,br BRA,"FW,MF",25.0,5,0,72.0,0.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.25,0.0,1.25,1.25,1.25,Matches
Jean Carlos Vicente,br BRA,"FW,MF",23.0,3,0,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Léo,br BRA,GK,25.0,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Felipe Araruna,br BRA,MF,19.0,0,0,,,,,,,,,,,,,,,,Matches
Caique,br BRA,DF,17.0,0,0,,,,,,,,,,,,,,,,Matches
Douglas,br BRA,DF,25.0,0,0,,,,,,,,,,,,,,,,Matches
Lucas Kal,br BRA,"DF,MF",19.0,0,0,,,,,,,,,,,,,,,,Matches
Júnior Tavares,br BRA,"DF,MF",19.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,25.6,38,418,3420.0,38.0,44.0,32.0,76.0,39.0,5.0,7.0,95.0,5.0,1.16,0.84,2.0,1.03,1.87,
Opponent Total,,,26.9,38,418,3420.0,38.0,33.0,24.0,57.0,30.0,3.0,6.0,76.0,3.0,0.87,0.63,1.5,0.79,1.42,
