Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Diego Souza,br BRA,"FW,MF",32.0,29.1,0,1,0,50,44,15,14,4,10,1,0,0,Matches
Reinaldo,br BRA,"DF,MF",28.0,30.4,6,0,0,51,37,3,124,37,45,0,0,0,Matches
Hudson,br BRA,MF,30.0,28.6,10,0,0,63,39,4,18,60,71,0,1,0,Matches
Nenê,br BRA,"FW,MF",36.0,27.3,8,0,0,30,71,11,246,12,15,0,0,0,Matches
Sidão,br BRA,GK,35.0,28.0,3,0,0,0,1,0,0,1,0,0,0,0,Matches
Bruno Fabiano Alves,br BRA,DF,26.0,27.5,9,0,0,50,17,6,0,53,28,0,0,0,Matches
Jucilei,br BRA,MF,29.0,27.1,5,0,0,46,40,0,7,66,48,0,0,0,Matches
Robert Arboleda,ec ECU,DF,26.0,25.9,7,0,0,32,27,5,1,36,25,1,0,0,Matches
Éverton,br BRA,MF,29.0,24.3,7,0,0,40,52,13,112,10,18,2,0,0,Matches
Anderson Martins,br BRA,DF,30.0,22.0,9,2,2,29,9,0,0,45,28,0,2,1,Matches
Joao Rojas,ec ECU,"FW,MF",28.0,16.3,4,0,0,20,32,4,56,10,25,0,0,0,Matches
Liziero,br BRA,MF,19.0,16.8,5,0,0,31,30,1,19,28,25,0,0,0,Matches
Bruno Peres,br BRA,"DF,MF",27.0,14.3,5,0,0,27,17,0,41,25,30,0,0,0,Matches
Éder Militão,br BRA,"DF,MF",20.0,12.4,6,0,0,24,15,0,32,26,36,0,0,0,Matches
Edimar Fraga,br BRA,"DF,MF",31.0,10.6,2,0,0,16,12,0,10,22,13,0,0,0,Matches
Jean,br BRA,GK,22.0,10.0,2,1,0,0,3,0,0,1,0,0,0,0,Matches
Felipe Araruna,br BRA,MF,21.0,7.2,2,1,1,9,10,0,13,22,5,0,0,0,Matches
Santiago Tréllez,co COL,FW,28.0,8.3,2,0,0,40,13,2,4,5,2,0,0,0,Matches
Régis,br BRA,DF,28.0,7.0,3,0,0,11,5,0,32,16,12,0,0,1,Matches
Luan Silva,br BRA,MF,18.0,4.6,1,0,0,13,5,1,2,8,10,0,0,0,Matches
Rodrigo Caio,br BRA,"DF,MF",24.0,4.6,2,0,0,7,4,1,0,8,4,0,0,0,Matches
Petros,br BRA,MF,28.0,4.7,0,0,0,12,7,1,1,10,13,0,0,0,Matches
Marcos Guilherme,br BRA,"FW,MF",22.0,4.5,0,0,0,7,6,2,9,3,5,0,0,0,Matches
Gonzalo Carneiro,uy URU,FW,22.0,4.4,2,0,0,12,6,3,4,3,4,0,0,0,Matches
Helinho,br BRA,"FW,MF",17.0,4.0,0,0,0,7,8,0,9,5,10,0,0,0,Matches
Lucas Fernandes,br BRA,MF,20.0,3.0,2,1,1,9,6,0,16,2,7,0,0,0,Matches
Shaylon,br BRA,"FW,MF",20.0,4.4,1,0,0,9,3,2,16,6,8,0,0,0,Matches
Everton Felipe,br BRA,MF,20.0,2.4,0,0,0,6,7,2,8,2,3,0,0,0,Matches
Christian Cueva,pe PER,MF,26.0,2.0,0,0,0,1,6,1,5,3,3,0,0,0,Matches
Brenner,br BRA,FW,18.0,2.2,0,0,0,3,4,3,2,2,3,0,0,0,Matches
Valdívia,br BRA,MF,23.0,1.4,0,0,0,4,6,0,5,5,3,0,0,0,Matches
Antony,br BRA,"FW,MF",17.0,0.5,1,0,0,1,1,0,4,1,0,0,0,0,Matches
Júnior Tavares,br BRA,"DF,MF",21.0,0.4,1,0,0,1,2,0,2,1,1,0,0,0,Matches
Igor Gomes,br BRA,MF,18.0,0.4,0,0,0,2,1,0,2,0,0,0,0,0,Matches
Paulinho Bóia,br BRA,"FW,MF",19.0,0.3,0,0,0,2,3,0,4,0,0,0,0,0,Matches
Caique,br BRA,DF,19.0,0.2,0,0,0,1,1,0,1,0,0,0,0,0,Matches
Pedro Bortoluzo,br BRA,FW,21.0,0.2,0,0,0,3,0,0,0,0,0,0,0,0,Matches
Lucas Kal,br BRA,"DF,MF",21.0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,Matches
Squad Total,,,28.3,38.0,105,6,4,669,550,80,819,538,511,4,3,2,
Opponent Total,,,27.1,38.0,97,4,1,586,622,59,730,529,451,3,4,1,
