Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Diego Souza,br BRA,"FW,MF",32.0,32,32,2617.0,29.1,12.0,3.0,15.0,12.0,0.0,0.0,0.0,1.0,0.41,0.1,0.52,0.41,0.52,Matches
Reinaldo,br BRA,"DF,MF",28.0,31,31,2732.0,30.4,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,0.07,0.07,0.13,0.07,0.13,Matches
Hudson,br BRA,MF,30.0,31,30,2577.0,28.6,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Nenê,br BRA,"FW,MF",36.0,35,29,2461.0,27.3,8.0,4.0,12.0,5.0,3.0,4.0,8.0,0.0,0.29,0.15,0.44,0.18,0.33,Matches
Sidão,br BRA,GK,35.0,28,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruno Fabiano Alves,br BRA,DF,26.0,28,28,2475.0,27.5,2.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Jucilei,br BRA,MF,29.0,28,28,2435.0,27.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Robert Arboleda,ec ECU,DF,26.0,26,26,2334.0,25.9,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches
Éverton,br BRA,MF,29.0,27,25,2184.0,24.3,5.0,6.0,11.0,5.0,0.0,0.0,7.0,0.0,0.21,0.25,0.45,0.21,0.45,Matches
Anderson Martins,br BRA,DF,30.0,23,23,1978.0,22.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,2.0,0.05,0.0,0.05,0.05,0.05,Matches
