Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Tiago Volpi,br BRA,GK,28.0,37.0,1,0,0,0,9,0,0,3,2,0,0,0,31,10,1,90.9,Matches
Reinaldo,br BRA,DF,29.0,34.6,8,0,0,51,41,1,152,33,39,1,1,0,173,33,26,55.9,Matches
Tchê Tchê,br BRA,MF,26.0,34.5,7,0,0,44,47,1,23,30,32,0,0,0,159,14,38,26.9,Matches
Bruno Fabiano Alves,br BRA,DF,27.0,32.5,6,0,0,48,25,1,1,36,26,0,0,0,119,116,66,63.7,Matches
Robert Arboleda,ec ECU,DF,27.0,28.5,6,0,0,36,24,2,0,25,30,0,1,0,120,123,52,70.3,Matches
Antony,br BRA,"MF,FW",18.0,26.4,5,1,1,24,80,1,63,20,28,0,1,0,164,14,25,35.9,Matches
Dani Alves,br BRA,"MF,DF",35.0,19.5,4,0,0,56,46,5,125,9,38,0,0,0,130,20,33,37.7,Matches
Vitor Bueno,br BRA,"MF,FW",24.0,18.3,2,0,0,20,35,0,22,12,20,1,0,0,106,24,48,33.3,Matches
Luan Silva,br BRA,MF,19.0,17.8,4,0,0,29,7,0,1,13,24,0,0,0,102,24,21,53.3,Matches
Alexandre Pato,br BRA,FW,29.0,15.9,2,0,0,18,28,13,13,5,8,0,0,0,51,8,22,26.7,Matches
Liziero,br BRA,MF,20.0,13.2,2,0,0,22,18,0,4,12,18,0,0,0,95,9,9,50.0,Matches
Juanfran,es ESP,DF,34.0,12.9,2,0,0,24,5,0,22,9,18,0,0,0,58,11,11,50.0,Matches
Hernanes,br BRA,MF,33.0,13.8,4,0,0,25,23,1,46,9,11,0,0,0,76,25,23,52.1,Matches
Igor Vinícius de Souza,br BRA,DF,21.0,13.3,3,2,0,33,18,0,29,24,21,0,0,0,81,19,13,59.4,Matches
Pablo,br BRA,FW,26.0,11.4,3,0,0,28,11,11,1,2,2,0,0,0,26,15,43,25.9,Matches
Éverton,br BRA,"FW,MF",30.0,11.8,3,0,0,32,23,6,22,3,8,0,0,0,50,13,16,44.8,Matches
Igor Gomes,br BRA,"MF,FW",19.0,15.1,3,0,0,21,29,1,26,10,11,0,0,0,83,14,24,36.8,Matches
Hudson,br BRA,"MF,DF",31.0,11.7,3,0,0,26,11,1,15,14,14,0,1,0,63,28,18,60.9,Matches
Jonas,br BRA,"FW,MF",19.0,10.5,1,1,0,22,22,4,24,3,20,0,0,0,36,10,26,27.8,Matches
Anderson Martins,br BRA,DF,31.0,10.0,5,0,0,13,1,0,1,14,10,0,0,0,50,26,15,63.4,Matches
Raniel,br BRA,FW,22.0,8.9,2,1,0,22,22,9,2,5,3,0,0,1,18,13,35,27.1,Matches
Walce Costa,br BRA,DF,19.0,4.0,0,0,0,2,0,0,0,7,3,0,0,0,16,11,7,61.1,Matches
Jucilei,br BRA,MF,30.0,2.4,0,0,0,3,5,0,0,6,3,0,0,0,17,1,0,100.0,Matches
Léo Pelé,br BRA,DF,22.0,3.1,2,0,0,3,2,0,11,3,3,0,0,0,9,7,4,63.6,Matches
Helinho,br BRA,"FW,MF",18.0,2.0,3,1,1,11,8,1,5,3,3,0,0,0,10,0,1,0.0,Matches
Gabriel Sara,br BRA,MF,19.0,1.9,1,0,0,6,2,1,1,0,3,0,0,0,8,4,6,40.0,Matches
Marcos Calazans,br BRA,FW,22.0,1.6,1,0,0,7,4,0,7,0,4,0,0,0,8,0,3,0.0,Matches
Lucas Perri,br BRA,GK,21.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Juan Santos,br BRA,FW,16.0,0.6,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
Everton Felipe,br BRA,"FW,MF",21.0,0.9,1,0,0,2,2,0,5,0,0,0,0,0,7,1,2,33.3,Matches
Nenê,br BRA,MF,37.0,0.5,0,0,0,0,1,0,5,1,1,0,0,0,6,1,1,50.0,Matches
Diego,br BRA,DF,19.0,0.4,0,0,0,0,0,0,0,3,0,0,0,0,0,2,2,50.0,Matches
Willian Farias,br BRA,MF,29.0,0.2,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,100.0,Matches
Fabinho,br BRA,DF,19.0,0.2,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,100.0,Matches
Brenner,br BRA,FW,19.0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,Matches
Danilo,br BRA,MF,19.0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0.0,Matches
Squad Total,,,26.5,38.0,85,6,2,633,550,59,628,314,405,2,4,1,1876,600,594,50.3,
Opponent Total,,,27.5,38.0,87,1,0,590,593,45,620,388,408,3,4,0,1823,594,600,49.7,
