Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Tiago Volpi,br BRA,GK,28.0,37.0,773,1073,72.0,21982,15136,119,119,100.0,404,407,99.3,249,541,46.0,0,0.4,0.0,-0.4,3,10,1,0,1,Matches
Reinaldo,br BRA,DF,29.0,34.6,1344,1813,74.1,23529,9640,646,727,88.9,513,662,77.5,156,324,48.1,1,4.2,4.7,-3.2,48,120,33,13,147,Matches
Tchê Tchê,br BRA,MF,26.0,34.5,1526,1723,88.6,22759,6247,852,913,93.3,532,577,92.2,78,123,63.4,0,1.8,2.1,-1.8,41,149,20,2,162,Matches
Bruno Fabiano Alves,br BRA,DF,27.0,32.5,1212,1412,85.8,21374,7718,510,550,92.7,587,654,89.8,92,164,56.1,1,1.1,0.4,-0.1,9,62,0,0,89,Matches
Robert Arboleda,ec ECU,DF,27.0,28.5,1180,1393,84.7,21329,8066,474,523,90.6,554,636,87.1,117,171,68.4,1,0.7,0.7,0.3,8,66,0,0,84,Matches
Antony,br BRA,"MF,FW",18.0,26.4,1093,1358,80.5,13957,3321,702,778,90.2,269,345,78.0,38,89,42.7,6,4.1,3.8,1.9,38,67,32,6,105,Matches
Dani Alves,br BRA,"MF,DF",35.0,19.5,1187,1491,79.6,17652,6290,693,763,90.8,333,407,81.8,98,191,51.3,3,4.6,4.6,-1.6,62,129,33,6,145,Matches
Vitor Bueno,br BRA,"MF,FW",24.0,18.3,567,706,80.3,8114,1897,327,380,86.1,166,198,83.8,32,56,57.1,1,1.9,1.4,-0.9,18,46,15,3,65,Matches
Luan Silva,br BRA,MF,19.0,17.8,875,1002,87.3,13894,4178,423,468,90.4,360,398,90.5,52,68,76.5,0,0.8,0.6,-0.8,7,61,5,0,61,Matches
Alexandre Pato,br BRA,FW,29.0,15.9,269,361,74.5,3639,1233,160,200,80.0,74,91,81.3,13,19,68.4,0,2.7,2.0,-2.7,20,23,19,3,42,Matches
Liziero,br BRA,MF,20.0,13.2,739,836,88.4,11208,2503,402,434,92.6,242,258,93.8,51,73,69.9,1,1.4,1.0,-0.4,14,70,14,0,79,Matches
Juanfran,es ESP,DF,34.0,12.9,549,655,83.8,7796,2762,339,373,90.9,170,204,83.3,23,32,71.9,2,1.1,1.0,0.9,9,30,6,3,49,Matches
Hernanes,br BRA,MF,33.0,13.8,449,563,79.8,6541,2224,249,281,88.6,141,167,84.4,31,59,52.5,4,1.1,2.1,2.9,24,55,13,3,82,Matches
Igor Vinícius de Souza,br BRA,DF,21.0,13.3,667,798,83.6,9623,3189,404,430,94.0,210,259,81.1,32,59,54.2,2,1.3,1.3,0.7,12,28,13,6,58,Matches
Pablo,br BRA,FW,26.0,11.4,157,213,73.7,2088,336,89,107,83.2,49,67,73.1,5,6,83.3,1,0.6,0.6,0.4,11,8,4,0,16,Matches
Éverton,br BRA,"FW,MF",30.0,11.8,252,348,72.4,3941,1050,123,147,83.7,99,132,75.0,16,31,51.6,2,1.5,1.5,0.5,15,20,11,4,34,Matches
Igor Gomes,br BRA,"MF,FW",19.0,15.1,606,745,81.3,8672,2021,352,404,87.1,188,224,83.9,32,47,68.1,2,1.2,2.4,0.8,16,41,19,3,73,Matches
Hudson,br BRA,"MF,DF",31.0,11.7,527,635,83.0,8652,2676,272,296,91.9,182,218,83.5,51,77,66.2,1,0.7,0.6,0.3,9,38,8,3,60,Matches
Jonas,br BRA,"FW,MF",19.0,10.5,209,286,73.1,2839,630,134,161,83.2,57,82,69.5,8,18,44.4,1,0.9,0.7,0.1,17,9,6,2,14,Matches
Anderson Martins,br BRA,DF,31.0,10.0,420,481,87.3,8106,2490,142,153,92.8,216,239,90.4,49,68,72.1,0,0.0,0.1,0.0,0,16,1,0,27,Matches
Raniel,br BRA,FW,22.0,8.9,89,129,69.0,1097,249,60,78,76.9,18,24,75.0,2,8,25.0,1,0.9,0.4,0.1,8,8,5,0,10,Matches
Walce Costa,br BRA,DF,19.0,4.0,203,236,86.0,4027,1697,74,82,90.2,101,110,91.8,27,41,65.9,0,0.0,0.1,0.0,1,11,0,0,15,Matches
Jucilei,br BRA,MF,30.0,2.4,184,197,93.4,3398,1269,74,78,94.9,91,96,94.8,19,22,86.4,0,0.1,0.1,-0.1,4,20,1,0,24,Matches
Léo Pelé,br BRA,DF,22.0,3.1,118,154,76.6,1623,517,73,77,94.8,29,46,63.0,7,16,43.8,0,0.3,0.3,-0.3,3,10,3,3,9,Matches
Helinho,br BRA,"FW,MF",18.0,2.0,85,103,82.5,998,309,55,60,91.7,15,17,88.2,3,8,37.5,0,0.3,0.2,-0.3,1,9,2,2,10,Matches
Gabriel Sara,br BRA,MF,19.0,1.9,74,98,75.5,1026,258,43,54,79.6,22,27,81.5,3,4,75.0,1,0.6,0.1,0.4,5,8,3,0,14,Matches
Marcos Calazans,br BRA,FW,22.0,1.6,66,82,80.5,939,363,43,50,86.0,15,19,78.9,5,5,100.0,0,0.1,0.1,-0.1,3,7,1,0,10,Matches
Lucas Perri,br BRA,GK,21.0,1.0,22,33,66.7,495,305,9,9,100.0,9,9,100.0,4,15,26.7,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Juan Santos,br BRA,FW,16.0,0.6,6,6,100.0,89,8,3,3,100.0,3,3,100.0,0,0,,0,0.1,0.1,-0.1,1,0,1,0,1,Matches
Everton Felipe,br BRA,"FW,MF",21.0,0.9,36,51,70.6,442,103,29,32,90.6,4,8,50.0,2,6,33.3,0,0.0,0.1,0.0,0,5,1,1,4,Matches
Nenê,br BRA,MF,37.0,0.5,13,23,56.5,198,62,10,11,90.9,2,5,40.0,1,6,16.7,1,0.1,0.0,0.9,1,0,0,0,2,Matches
Diego,br BRA,DF,19.0,0.4,10,10,100.0,141,36,6,6,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Willian Farias,br BRA,MF,29.0,0.2,3,5,60.0,36,26,2,2,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Fabinho,br BRA,DF,19.0,0.2,6,9,66.7,71,10,5,6,83.3,1,2,50.0,0,0,,0,0.1,0.0,-0.1,2,0,0,0,1,Matches
Brenner,br BRA,FW,19.0,0.1,4,5,80.0,51,1,3,3,100.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Danilo,br BRA,MF,19.0,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,26.5,38.0,15520,19033,81.5,252326,88820,7901,8758,90.2,5661,6597,85.8,1297,2349,55.2,32,34.7,32.9,-2.7,410,1126,270,63,1494,
Opponent Total,,,27.5,38.0,13406,16927,79.2,242871,87477,5708,6486,88.0,5713,6662,85.8,1537,2787,55.1,16,30.3,23.7,-14.3,350,1018,237,64,1371,
