Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Tiago Volpi,br BRA,GK,28.0,37.0,1144,943,1133,11,0,0,1144,4,4,100.0,0,0.0,621,3870,2770,0,0,0,1,1,457,0,Matches
Reinaldo,br BRA,DF,29.0,34.6,2198,86,507,1033,686,70,2194,80,40,50.0,40,50.0,1075,6799,3978,97,71,12,39,27,1141,140,Matches
Tchê Tchê,br BRA,MF,26.0,34.5,1989,41,310,1225,483,36,1989,58,46,79.3,12,20.7,1382,8232,4506,66,78,4,41,28,1549,70,Matches
Bruno Fabiano Alves,br BRA,DF,27.0,32.5,1711,202,823,840,62,32,1711,12,10,83.3,2,16.7,940,5461,3649,24,20,1,12,3,1079,4,Matches
Robert Arboleda,ec ECU,DF,27.0,28.5,1704,196,810,830,73,40,1704,9,7,77.8,2,22.2,901,4426,2863,11,13,0,11,7,1038,5,Matches
Antony,br BRA,"MF,FW",18.0,26.4,1702,13,187,794,754,83,1702,110,70,63.6,40,36.4,1168,7628,4106,128,93,38,73,29,1325,241,Matches
Dani Alves,br BRA,"MF,DF",35.0,19.5,1697,27,220,922,581,36,1697,53,36,67.9,17,32.1,983,4895,2865,59,56,8,34,36,1224,99,Matches
Vitor Bueno,br BRA,"MF,FW",24.0,18.3,915,18,104,491,336,50,915,54,31,57.4,23,42.6,624,4361,1740,56,41,13,40,23,704,108,Matches
Luan Silva,br BRA,MF,19.0,17.8,1154,53,289,783,92,7,1154,16,13,81.3,3,18.8,640,3101,1888,13,13,2,13,8,786,13,Matches
Alexandre Pato,br BRA,FW,29.0,15.9,555,8,38,227,300,64,555,71,35,49.3,36,50.7,358,2337,1177,36,32,15,49,25,430,105,Matches
Liziero,br BRA,MF,20.0,13.2,976,24,147,625,218,18,976,30,20,66.7,10,33.3,626,3081,1485,27,24,5,29,17,757,49,Matches
Juanfran,es ESP,DF,34.0,12.9,750,43,203,378,177,9,750,12,3,25.0,9,75.0,353,1583,834,20,12,0,7,7,430,61,Matches
Hernanes,br BRA,MF,33.0,13.8,729,15,88,393,256,27,729,47,33,70.2,14,29.8,454,2836,1557,50,34,11,38,22,503,48,Matches
Igor Vinícius de Souza,br BRA,DF,21.0,13.3,965,40,237,487,264,21,965,29,20,69.0,9,31.0,565,3737,2001,51,45,6,19,12,590,68,Matches
Pablo,br BRA,FW,26.0,11.4,313,13,28,128,159,51,313,16,7,43.8,9,56.3,179,625,265,8,8,3,20,9,238,58,Matches
Éverton,br BRA,"FW,MF",30.0,11.8,451,1,45,232,183,32,451,26,17,65.4,9,34.6,300,2655,1429,50,34,5,26,10,312,66,Matches
Igor Gomes,br BRA,"MF,FW",19.0,15.1,875,10,100,441,348,34,875,30,22,73.3,8,26.7,582,3153,1491,35,47,1,33,33,703,94,Matches
Hudson,br BRA,"MF,DF",31.0,11.7,770,43,198,425,150,9,770,13,8,61.5,5,38.5,407,1754,912,10,6,2,8,4,442,24,Matches
Jonas,br BRA,"FW,MF",19.0,10.5,458,7,53,184,231,39,458,51,26,51.0,25,49.0,317,2558,1404,53,33,14,37,20,338,110,Matches
Anderson Martins,br BRA,DF,31.0,10.0,581,72,305,266,18,3,581,4,4,100.0,0,0.0,329,2149,1316,6,7,0,2,2,354,0,Matches
Raniel,br BRA,FW,22.0,8.9,218,16,29,92,102,27,218,11,6,54.5,5,45.5,143,638,272,10,9,4,23,18,159,33,Matches
Walce Costa,br BRA,DF,19.0,4.0,276,30,110,162,6,0,276,1,0,0.0,1,100.0,160,886,505,1,2,0,1,0,181,1,Matches
Jucilei,br BRA,MF,30.0,2.4,210,9,58,142,11,0,210,1,1,100.0,0,0.0,141,754,377,1,4,0,1,2,176,3,Matches
Léo Pelé,br BRA,DF,22.0,3.1,182,14,42,80,62,5,182,8,5,62.5,3,37.5,98,530,277,6,6,1,1,5,115,24,Matches
Helinho,br BRA,"FW,MF",18.0,2.0,142,0,6,71,67,3,142,15,10,66.7,5,33.3,99,625,288,7,7,2,8,4,113,20,Matches
Gabriel Sara,br BRA,MF,19.0,1.9,124,4,15,65,46,5,124,1,0,0.0,1,100.0,73,385,216,6,6,1,5,1,88,7,Matches
Marcos Calazans,br BRA,FW,22.0,1.6,103,3,18,44,43,0,103,6,1,16.7,5,83.3,70,524,282,5,7,0,2,6,77,12,Matches
Lucas Perri,br BRA,GK,21.0,1.0,35,29,35,0,0,0,35,0,0,,0,,12,58,41,0,0,0,0,0,9,0,Matches
Juan Santos,br BRA,FW,16.0,0.6,10,2,2,3,5,4,10,0,0,,0,,4,13,6,0,0,0,0,0,6,2,Matches
Everton Felipe,br BRA,"FW,MF",21.0,0.9,64,0,8,30,27,1,64,3,1,33.3,2,66.7,45,323,155,2,6,0,4,3,51,9,Matches
Nenê,br BRA,MF,37.0,0.5,27,2,7,11,10,1,27,1,1,100.0,0,0.0,14,134,66,2,1,0,0,1,16,5,Matches
Diego,br BRA,DF,19.0,0.4,17,6,9,8,0,0,17,0,0,,0,,11,79,10,0,0,0,0,0,10,0,Matches
Willian Farias,br BRA,MF,29.0,0.2,7,2,4,3,0,0,7,0,0,,0,,0,0,0,0,0,0,0,0,1,0,Matches
Fabinho,br BRA,DF,19.0,0.2,17,0,1,7,10,1,17,2,0,0.0,2,100.0,13,54,13,0,0,0,3,0,13,1,Matches
Brenner,br BRA,FW,19.0,0.1,5,0,1,1,3,0,5,0,0,,0,,2,3,2,0,0,0,0,0,3,0,Matches
Danilo,br BRA,MF,19.0,0.1,3,0,2,2,0,0,3,2,1,50.0,1,50.0,1,26,21,1,0,0,0,0,0,0,Matches
Squad Total,,,26.5,38.0,23077,1972,6172,11436,5763,708,23073,776,478,61.6,298,38.4,13690,80273,44767,841,715,148,580,363,15418,1480,
Opponent Total,,,27.5,38.0,20997,2104,6041,10730,4454,584,20993,574,319,55.6,255,44.4,12015,64469,34509,619,494,100,550,380,13302,1353,
