Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Tiago Volpi,br BRA,GK,28.0,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Reinaldo,br BRA,DF,29.0,35,35,3112.0,34.6,5.0,1.0,6.0,2.0,3.0,4.0,8.0,0.0,6.7,3.5,4.2,7.8,97.0,147.0,140.0,0.14,0.03,0.17,0.06,0.09,0.19,0.12,0.32,0.1,0.22,Matches
Tchê Tchê,br BRA,MF,26.0,35,35,3104.0,34.5,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,3.1,3.1,1.8,4.9,66.0,162.0,70.0,0.03,0.0,0.03,0.03,0.03,0.09,0.05,0.14,0.09,0.14,Matches
Bruno Fabiano Alves,br BRA,DF,27.0,33,33,2925.0,32.5,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.6,1.6,1.1,2.7,24.0,89.0,4.0,0.03,0.03,0.06,0.03,0.06,0.05,0.03,0.09,0.05,0.08,Matches
Robert Arboleda,ec ECU,DF,27.0,29,29,2564.0,28.5,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.9,1.9,0.7,2.6,11.0,84.0,5.0,0.04,0.04,0.07,0.04,0.07,0.07,0.03,0.09,0.07,0.09,Matches
Antony,br BRA,"MF,FW",18.0,29,27,2379.0,26.4,4.0,6.0,10.0,4.0,0.0,0.0,5.0,1.0,4.9,4.9,4.1,9.0,128.0,105.0,241.0,0.15,0.23,0.38,0.15,0.38,0.19,0.16,0.34,0.19,0.34,Matches
Dani Alves,br BRA,"MF,DF",35.0,20,20,1754.0,19.5,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,2.4,2.4,4.6,7.1,59.0,145.0,99.0,0.1,0.15,0.26,0.1,0.26,0.12,0.24,0.36,0.12,0.36,Matches
Vitor Bueno,br BRA,"MF,FW",24.0,28,18,1650.0,18.3,6.0,1.0,7.0,6.0,0.0,0.0,2.0,0.0,5.0,5.0,1.9,6.9,56.0,65.0,108.0,0.33,0.05,0.38,0.33,0.38,0.27,0.1,0.38,0.27,0.38,Matches
Luan Silva,br BRA,MF,19.0,23,18,1606.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.8,1.2,13.0,61.0,13.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,Matches
Alexandre Pato,br BRA,FW,29.0,20,18,1434.0,15.9,5.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,3.7,3.7,2.7,6.4,36.0,42.0,105.0,0.31,0.0,0.31,0.31,0.31,0.23,0.17,0.4,0.23,0.4,Matches
Liziero,br BRA,MF,20.0,21,16,1189.0,13.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,1.4,2.0,27.0,79.0,49.0,0.0,0.08,0.08,0.0,0.08,0.05,0.1,0.15,0.05,0.15,Matches
Juanfran,es ESP,DF,34.0,17,14,1159.0,12.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.1,1.1,20.0,49.0,61.0,0.0,0.16,0.16,0.0,0.16,0.0,0.08,0.08,0.0,0.08,Matches
Hernanes,br BRA,MF,33.0,25,13,1242.0,13.8,2.0,4.0,6.0,2.0,0.0,0.0,4.0,0.0,2.6,2.6,1.1,3.7,50.0,82.0,48.0,0.14,0.29,0.43,0.14,0.43,0.19,0.08,0.27,0.19,0.27,Matches
Igor Vinícius de Souza,br BRA,DF,21.0,19,13,1195.0,13.3,1.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0,0.5,0.5,1.3,1.8,51.0,58.0,68.0,0.08,0.15,0.23,0.08,0.23,0.04,0.1,0.14,0.04,0.14,Matches
Pablo,br BRA,FW,26.0,13,13,1026.0,11.4,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,3.0,3.0,0.6,3.6,8.0,16.0,58.0,0.26,0.09,0.35,0.26,0.35,0.26,0.05,0.31,0.26,0.31,Matches
Éverton,br BRA,"FW,MF",30.0,16,12,1060.0,11.8,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,1.5,2.2,50.0,34.0,66.0,0.08,0.17,0.25,0.08,0.25,0.07,0.12,0.19,0.07,0.19,Matches
Igor Gomes,br BRA,"MF,FW",19.0,27,11,1356.0,15.1,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,2.8,2.8,1.2,4.0,35.0,73.0,94.0,0.13,0.13,0.27,0.13,0.27,0.18,0.08,0.27,0.18,0.27,Matches
Hudson,br BRA,"MF,DF",31.0,16,11,1049.0,11.7,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,0.7,1.1,10.0,60.0,24.0,0.09,0.09,0.17,0.09,0.17,0.03,0.06,0.09,0.03,0.09,Matches
Jonas,br BRA,"FW,MF",19.0,17,11,947.0,10.5,3.0,1.0,4.0,3.0,0.0,0.0,1.0,1.0,1.5,1.5,0.9,2.4,53.0,14.0,110.0,0.29,0.1,0.38,0.29,0.38,0.14,0.09,0.23,0.14,0.23,Matches
Anderson Martins,br BRA,DF,31.0,11,10,896.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.0,0.1,6.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Raniel,br BRA,FW,22.0,14,8,803.0,8.9,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,2.4,2.4,0.9,3.2,10.0,10.0,33.0,0.11,0.11,0.22,0.11,0.22,0.27,0.1,0.36,0.27,0.36,Matches
Walce Costa,br BRA,DF,19.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Jucilei,br BRA,MF,30.0,4,4,219.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches
Léo Pelé,br BRA,DF,22.0,5,3,283.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.3,0.4,6.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.11,0.03,0.11,Matches
