Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Tiago Volpi,br BRA,GK,29.0,38,38,3420.0,38.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,Matches
Reinaldo,br BRA,DF,30.0,35,34,3022.0,33.6,6.0,6.0,12.0,1.0,5.0,5.0,5.0,1.0,5.3,1.4,7.3,8.7,94.0,192.0,227.0,0.18,0.18,0.36,0.03,0.21,0.16,0.22,0.38,0.04,0.26,Matches
Dani Alves,br BRA,"MF,FW",36.0,30,30,2688.0,29.9,1.0,3.0,4.0,1.0,0.0,0.0,10.0,0.0,2.8,2.8,4.6,7.4,73.0,269.0,112.0,0.03,0.1,0.13,0.03,0.13,0.09,0.15,0.25,0.09,0.25,Matches
Luciano,br BRA,FW,26.0,31,29,2492.0,27.7,18.0,3.0,21.0,17.0,1.0,2.0,5.0,0.0,10.4,8.8,2.6,11.4,39.0,96.0,140.0,0.65,0.11,0.76,0.61,0.72,0.37,0.1,0.47,0.32,0.41,Matches
Igor Gomes,br BRA,"MF,FW",20.0,37,29,2391.0,26.6,3.0,3.0,6.0,3.0,0.0,0.0,4.0,0.0,1.9,1.9,3.2,5.1,44.0,98.0,185.0,0.11,0.11,0.23,0.11,0.23,0.07,0.12,0.19,0.07,0.19,Matches
Gabriel Sara,br BRA,"MF,FW",20.0,33,29,2280.0,25.3,5.0,4.0,9.0,5.0,0.0,0.0,5.0,0.0,4.5,4.5,4.8,9.2,56.0,119.0,205.0,0.2,0.16,0.36,0.2,0.36,0.18,0.19,0.36,0.18,0.36,Matches
Tchê Tchê,br BRA,MF,27.0,34,26,2395.0,26.6,4.0,2.0,6.0,4.0,0.0,0.0,6.0,1.0,2.1,2.1,1.6,3.7,44.0,141.0,71.0,0.15,0.08,0.23,0.15,0.23,0.08,0.06,0.14,0.08,0.14,Matches
Bruno Fabiano Alves,br BRA,DF,28.0,28,26,2184.0,24.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,0.1,0.5,22.0,96.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Luan Silva,br BRA,MF,20.0,30,24,2103.0,23.4,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.9,0.9,0.5,1.4,36.0,114.0,24.0,0.0,0.04,0.04,0.0,0.04,0.04,0.02,0.06,0.04,0.06,Matches
Juanfran,es ESP,DF,35.0,23,22,1670.0,18.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,2.5,3.2,26.0,73.0,150.0,0.0,0.05,0.05,0.0,0.05,0.04,0.13,0.17,0.04,0.17,Matches
