Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Tiago Volpi,br BRA,GK,30.0,38.0,1247,884,352,126,0,21,0,0,0,0,0,0,866,11,1,Matches
Miranda,br BRA,DF,36.0,26.9,1656,1566,86,58,0,3,1,2,0,0,0,0,1476,4,11,Matches
Reinaldo,br BRA,"DF,FW",31.0,26.0,1504,1091,403,60,0,13,207,266,77,29,44,0,1072,10,40,Matches
Léo Pelé,br BRA,DF,24.0,28.3,1625,1556,64,35,1,0,20,29,0,0,0,0,1373,5,14,Matches
Emiliano Rigoni,ar ARG,"FW,MF",27.0,22.9,713,600,110,28,4,6,140,12,57,32,20,0,476,3,23,Matches
Igor Gomes,br BRA,MF,21.0,22.7,1009,936,68,16,4,8,70,19,33,15,13,0,787,5,20,Matches
Gabriel Sara,br BRA,MF,21.0,22.6,964,940,16,6,4,5,54,9,1,1,0,0,735,8,24,Matches
Rodrigo Nestor,br BRA,MF,20.0,21.4,1172,1121,44,30,2,9,33,6,8,5,1,0,989,7,19,Matches
Liziero,br BRA,MF,22.0,22.9,1326,1308,15,13,3,10,6,2,0,0,0,0,1166,3,17,Matches
Luciano,br BRA,"FW,MF",27.0,17.0,496,467,25,4,4,6,6,7,0,0,0,0,407,4,18,Matches
Igor Vinícius de Souza,br BRA,"DF,FW",23.0,18.6,1084,903,178,12,1,3,64,165,1,0,0,0,868,3,28,Matches
Bruno Fabiano Alves,br BRA,DF,29.0,18.4,990,938,51,40,0,3,2,8,0,0,0,0,876,1,10,Matches
Robert Arboleda,ec ECU,DF,29.0,17.0,902,859,41,37,0,3,2,1,0,0,0,0,760,2,5,Matches
Luan Silva,br BRA,MF,21.0,13.1,723,700,21,18,0,0,1,2,1,1,0,0,635,2,2,Matches
Welington,br BRA,"DF,FW",19.0,11.6,600,465,132,11,0,1,77,121,0,0,0,0,424,3,20,Matches
Jonathan Calleri,ar ARG,FW,27.0,9.6,197,176,20,0,0,1,15,0,1,0,1,0,124,1,8,Matches
Pablo,br BRA,FW,28.0,7.5,155,144,11,0,0,0,1,0,0,0,0,0,111,0,5,Matches
Éder,it ITA,FW,34.0,7.2,99,91,7,1,3,1,8,0,0,0,0,0,66,1,3,Matches
Martín Benítez,ar ARG,"MF,FW",26.0,9.6,482,410,68,34,3,4,40,12,20,13,5,0,325,4,9,Matches
Vitor Bueno,br BRA,"FW,MF",26.0,8.0,215,205,9,1,3,2,12,2,0,0,0,0,158,1,3,Matches
Diego,br BRA,DF,21.0,7.4,436,424,10,7,0,4,5,3,0,0,0,0,351,2,3,Matches
Antonio Galeano,py PAR,"DF,FW",20.0,7.3,318,266,52,4,1,1,18,48,0,0,0,0,245,0,5,Matches
Luis Manuel Orejuela,co COL,DF,25.0,4.0,231,192,39,4,0,2,13,35,0,0,0,0,174,0,7,Matches
Marquinhos,br BRA,"FW,MF",17.0,7.7,234,220,13,4,0,2,28,4,0,0,0,0,164,1,14,Matches
Joao Rojas,ec ECU,FW,31.0,6.2,157,151,5,0,0,0,12,4,1,0,1,0,116,1,9,Matches
Dani Alves,br BRA,"DF,FW",37.0,5.5,403,329,71,14,1,1,39,43,14,4,10,0,321,3,12,Matches
Gabriel Neves,uy URU,MF,23.0,4.4,325,316,9,8,0,3,3,1,0,0,0,0,274,0,5,Matches
Talles Costa,br BRA,MF,18.0,2.0,114,112,2,1,2,0,2,1,0,0,0,0,90,0,4,Matches
Shaylon,br BRA,"MF,DF",23.0,1.4,71,68,3,1,0,2,3,2,0,0,0,0,59,0,1,Matches
Juan Santos,br BRA,FW,18.0,1.4,40,39,1,0,0,0,1,0,0,0,0,0,31,0,0,Matches
Bruno Nascimento,br BRA,DF,23.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.5,38.0,19489,17478,1926,573,36,114,883,804,214,100,95,0,15519,85,340,
Opponent Total,,,26.9,38.0,15293,13270,1972,694,33,200,610,732,171,75,59,0,11512,51,294,
