Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Tiago Volpi,br BRA,GK,30.0,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Miranda,br BRA,DF,36.0,26.9,0,7,2,28.6,0.26,0.07,0.0,0.0,10.6,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Reinaldo,br BRA,"DF,FW",31.0,26.0,2,22,9,40.9,0.85,0.35,0.0,0.0,23.7,3,2,2,2.6,1.0,0.05,-0.6,-1.0,Matches
Léo Pelé,br BRA,DF,24.0,28.3,0,6,2,33.3,0.21,0.07,0.0,0.0,7.3,0,0,0,0.7,0.7,0.12,-0.7,-0.7,Matches
Emiliano Rigoni,ar ARG,"FW,MF",27.0,22.9,4,62,18,29.0,2.71,0.79,0.06,0.22,19.3,7,0,0,7.1,7.1,0.11,-3.1,-3.1,Matches
Igor Gomes,br BRA,MF,21.0,22.7,2,30,9,30.0,1.32,0.4,0.07,0.22,23.2,1,0,0,2.2,2.2,0.07,-0.2,-0.2,Matches
Gabriel Sara,br BRA,MF,21.0,22.6,4,54,15,27.8,2.39,0.66,0.07,0.27,19.3,2,0,0,4.6,4.6,0.09,-0.6,-0.6,Matches
Rodrigo Nestor,br BRA,MF,20.0,21.4,0,25,7,28.0,1.17,0.33,0.0,0.0,25.6,0,0,0,1.3,1.3,0.05,-1.3,-1.3,Matches
Liziero,br BRA,MF,22.0,22.9,1,13,5,38.5,0.57,0.22,0.08,0.2,25.4,0,0,0,0.8,0.8,0.06,0.2,0.2,Matches
Luciano,br BRA,"FW,MF",27.0,17.0,4,34,17,50.0,2.0,1.0,0.12,0.24,14.6,0,0,0,4.2,4.2,0.13,-0.2,-0.2,Matches
Igor Vinícius de Souza,br BRA,"DF,FW",23.0,18.6,0,10,4,40.0,0.54,0.21,0.0,0.0,20.6,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
Bruno Fabiano Alves,br BRA,DF,29.0,18.4,0,7,1,14.3,0.38,0.05,0.0,0.0,8.4,0,0,0,0.9,0.9,0.13,-0.9,-0.9,Matches
Robert Arboleda,ec ECU,DF,29.0,17.0,1,10,3,30.0,0.59,0.18,0.1,0.33,16.0,0,0,0,1.0,1.0,0.1,0.0,0.0,Matches
Luan Silva,br BRA,MF,21.0,13.1,0,9,1,11.1,0.68,0.08,0.0,0.0,24.6,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Welington,br BRA,"DF,FW",19.0,11.6,0,6,1,16.7,0.52,0.09,0.0,0.0,19.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Jonathan Calleri,ar ARG,FW,27.0,9.6,5,28,10,35.7,2.91,1.04,0.14,0.4,13.6,0,1,1,4.6,3.8,0.14,0.4,0.2,Matches
Pablo,br BRA,FW,28.0,7.5,3,17,6,35.3,2.28,0.8,0.12,0.33,14.6,0,1,1,3.7,2.9,0.17,-0.7,-0.9,Matches
Éder,it ITA,FW,34.0,7.2,1,14,5,35.7,1.95,0.7,0.07,0.2,14.9,1,0,0,2.1,2.1,0.15,-1.1,-1.1,Matches
Martín Benítez,ar ARG,"MF,FW",26.0,9.6,2,22,9,40.9,2.3,0.94,0.09,0.22,25.4,1,0,0,1.4,1.4,0.07,0.6,0.6,Matches
Vitor Bueno,br BRA,"FW,MF",26.0,8.0,1,24,8,33.3,2.99,1.0,0.04,0.13,17.6,1,0,0,2.4,2.4,0.1,-1.4,-1.4,Matches
Diego,br BRA,DF,21.0,7.4,0,5,1,20.0,0.68,0.14,0.0,0.0,11.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Antonio Galeano,py PAR,"DF,FW",20.0,7.3,0,7,3,42.9,0.95,0.41,0.0,0.0,12.9,0,0,0,1.3,1.3,0.18,-1.3,-1.3,Matches
Luis Manuel Orejuela,co COL,DF,25.0,4.0,0,1,0,0.0,0.25,0.0,0.0,,11.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Marquinhos,br BRA,"FW,MF",17.0,7.7,0,17,9,52.9,2.21,1.17,0.0,0.0,16.7,0,0,0,1.3,1.3,0.08,-1.3,-1.3,Matches
Joao Rojas,ec ECU,FW,31.0,6.2,0,6,2,33.3,0.97,0.32,0.0,0.0,16.2,0,0,0,1.3,1.3,0.21,-1.3,-1.3,Matches
Dani Alves,br BRA,"DF,FW",37.0,5.5,0,3,0,0.0,0.55,0.0,0.0,,17.0,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches
Gabriel Neves,uy URU,MF,23.0,4.4,0,1,0,0.0,0.23,0.0,0.0,,11.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Talles Costa,br BRA,MF,18.0,2.0,0,2,0,0.0,1.02,0.0,0.0,,19.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Shaylon,br BRA,"MF,DF",23.0,1.4,0,3,1,33.3,2.09,0.7,0.0,0.0,27.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Juan Santos,br BRA,FW,18.0,1.4,0,2,0,0.0,1.44,0.0,0.0,,17.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Bruno Nascimento,br BRA,DF,23.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,26.5,38.0,30,447,148,33.1,11.76,3.89,0.06,0.18,18.7,16,4,4,45.5,42.4,0.1,-15.5,-16.4,
Opponent Total,,,26.9,38.0,38,411,149,36.3,10.82,3.92,0.09,0.26,20.2,24,0,1,41.6,40.9,0.1,-3.6,-2.9,
