Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Jonathan Calleri,ar ARG,FW,28.0,31.3,20,12,1,9,10,8,19,42.1,11,18,2,16,5,25,48,0,Matches
Rafinha,br BRA,DF,36.0,28.5,60,34,31,24,5,34,54,63.0,20,17,4,13,32,92,55,0,Matches
Léo Pelé,br BRA,DF,25.0,27.6,23,15,6,17,0,13,19,68.4,6,16,10,6,15,38,68,2,Matches
Rodrigo Nestor,br BRA,MF,21.0,23.6,34,19,13,16,5,14,39,35.9,25,18,3,15,26,60,12,0,Matches
Luciano,br BRA,FW,28.0,22.6,17,9,4,10,3,8,25,32.0,17,23,4,19,7,24,11,0,Matches
Patrick,br BRA,"MF,FW",29.0,21.8,64,36,31,18,15,28,57,49.1,29,31,2,29,13,77,14,0,Matches
Igor Gomes,br BRA,MF,22.0,22.9,26,13,10,12,4,8,25,32.0,17,12,2,10,18,44,12,0,Matches
Pablo Maia,br BRA,MF,20.0,22.8,41,19,24,17,0,20,44,45.5,24,36,9,27,21,62,29,1,Matches
Jandrei,br BRA,GK,28.0,18.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,1,Matches
Diego,br BRA,DF,22.0,19.1,36,25,23,11,2,15,27,55.6,12,19,10,9,24,60,63,0,Matches
Reinaldo,br BRA,"DF,FW",32.0,16.3,16,12,7,7,2,7,16,43.8,9,15,2,13,10,26,22,0,Matches
Welington,br BRA,"DF,FW",20.0,18.6,34,21,20,9,5,14,35,40.0,21,15,1,14,15,49,36,0,Matches
Felipe Alves Raymundo,br BRA,GK,33.0,17.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,1,Matches
Miranda,br BRA,DF,37.0,12.8,18,15,16,2,0,11,18,61.1,7,17,9,8,13,31,67,0,Matches
Igor Vinícius de Souza,br BRA,"DF,FW",24.0,12.9,42,24,20,15,7,18,37,48.6,19,11,3,8,12,54,13,0,Matches
Luizão,br BRA,DF,19.0,11.0,14,10,10,3,1,8,17,47.1,9,18,7,11,10,24,54,0,Matches
Alisson,br BRA,"MF,FW",28.0,10.5,15,9,4,9,2,10,22,45.5,12,10,1,9,5,20,8,0,Matches
