Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Igor Vinícius de Souza,br BRA,DF,26.0,27.4,69,2.52,50,14,1,2,2,0,5,0.18,5,0,0,0,0,0,Matches
Luciano,br BRA,"MF,FW",30.0,25.6,60,2.34,40,1,2,11,4,2,10,0.39,6,0,0,2,1,1,Matches
Lucas Moura,br BRA,"FW,MF",31.0,25.0,103,4.13,73,6,10,6,8,0,12,0.48,8,1,2,0,1,0,Matches
Robert Arboleda,ec ECU,DF,32.0,25.1,19,0.76,14,0,0,3,0,2,3,0.12,2,0,0,1,0,0,Matches
Rafael Pires,br BRA,GK,34.0,25.0,1,0.04,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alan Franco,ar ARG,DF,27.0,24.3,17,0.7,16,0,0,1,0,0,2,0.08,2,0,0,0,0,0,Matches
Luiz Gustavo,br BRA,MF,36.0,23.8,35,1.47,29,0,0,3,1,2,2,0.08,2,0,0,0,0,0,Matches
Jonathan Calleri,ar ARG,FW,30.0,22.7,48,2.11,33,0,4,7,3,1,11,0.48,6,0,1,3,1,0,Matches
Welington,br BRA,DF,22.0,18.9,37,1.96,25,8,2,2,0,0,2,0.11,1,1,0,0,0,0,Matches
Alisson,br BRA,MF,30.0,17.9,43,2.41,37,0,2,1,2,1,6,0.34,5,0,1,0,0,0,Matches
André Silva,br BRA,FW,26.0,17.1,36,2.11,24,0,4,5,1,2,3,0.18,2,0,1,0,0,0,Matches
Ferreira,br BRA,"FW,MF",26.0,13.7,69,5.04,39,13,8,2,6,1,2,0.15,0,0,1,0,1,0,Matches
Damián Bobadilla,py PAR,MF,22.0,11.5,20,1.75,18,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Jandrei,br BRA,GK,30.0,13.0,3,0.23,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
José Sabino,br BRA,DF,27.0,10.8,10,0.93,9,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Wellington Rato,br BRA,"FW,MF",31.0,11.7,46,3.94,34,10,0,2,0,0,9,0.77,5,3,0,1,0,0,Matches
Rodrigo Nestor,br BRA,"MF,FW",23.0,10.9,37,3.36,24,6,1,4,1,1,3,0.27,3,0,0,0,0,0,Matches
Marcos Antônio,br BRA,MF,23.0,9.4,21,2.24,20,1,0,0,0,0,1,0.11,1,0,0,0,0,0,Matches
Nahuel Ferraresi,ve VEN,DF,25.0,10.0,14,1.4,10,1,1,2,0,0,3,0.3,2,0,1,0,0,0,Matches
Diego,br BRA,DF,24.0,9.9,10,1.01,9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Michel Araujo,uy URU,"DF,FW",27.0,9.5,26,2.73,16,3,6,1,0,0,1,0.11,1,0,0,0,0,0,Matches
Ruan,br BRA,DF,24.0,8.0,3,0.38,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rafinha,br BRA,DF,38.0,5.8,9,1.56,5,3,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Erick,br BRA,"FW,MF",26.0,7.2,40,5.57,28,6,3,0,3,0,3,0.42,3,0,0,0,0,0,Matches
Patryck,br BRA,DF,21.0,6.8,7,1.02,7,0,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches
William Gomes,br BRA,"FW,MF",17.0,5.5,19,3.45,6,2,7,2,0,2,2,0.36,1,0,0,0,0,1,Matches
Giuliano Galoppo,ar ARG,MF,24.0,4.3,11,2.53,8,0,1,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Juan Santos,br BRA,"FW,MF",21.0,2.9,7,2.4,5,0,0,1,1,0,1,0.34,1,0,0,0,0,0,Matches
Pablo Maia,br BRA,MF,22.0,2.9,5,1.74,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jamal Lewis,nir NIR,DF,26.0,2.4,5,2.11,4,0,1,0,0,0,1,0.42,1,0,0,0,0,0,Matches
João Moreira,pt POR,"DF,MF",19.0,2.2,2,0.92,2,0,0,0,0,0,1,0.46,1,0,0,0,0,0,Matches
Santiago Longo,ar ARG,MF,25.0,1.9,1,0.53,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Liziero,br BRA,"MF,DF",25.0,3.4,6,1.78,6,0,0,0,0,0,2,0.59,2,0,0,0,0,0,Matches
Rodrigo,br BRA,MF,19.0,0.8,1,1.27,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
James Rodríguez,co COL,MF,32.0,0.4,2,4.74,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Henrique,br BRA,FW,17.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ryan Francisco,br BRA,FW,17.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Igor,br BRA,DF,16.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,28.5,38.0,842,22.16,605,77,55,58,32,15,86,2.26,61,5,7,7,4,2,
Opponent Total,,,27.7,38.0,773,20.34,542,70,48,52,41,20,64,1.68,40,4,4,10,3,3,
