Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Samuel Xavier,br BRA,DF,25.0,35,3102.0,89.0,90.7,34.5,35,89.0,33.0,0,,0,1.26,43.0,49.0,-6.0,-0.17,-0.17,Matches
Magrão,br BRA,GK,38.0,34,3008.0,88.0,88.0,33.4,34,88.0,33.0,0,,0,1.38,45.0,45.0,0.0,0.0,1.31,Matches
Diego Souza,br BRA,"FW,MF",30.0,34,2903.0,85.0,84.9,32.3,34,85.0,28.0,0,,0,1.32,43.0,46.0,-3.0,-0.09,0.43,Matches
Francisco Rithely,br BRA,MF,25.0,33,2904.0,88.0,84.9,32.3,33,88.0,31.0,0,,0,1.3,43.0,48.0,-5.0,-0.15,0.02,Matches
Everton Felipe,br BRA,MF,18.0,36,2467.0,69.0,72.1,27.4,33,71.0,10.0,3,41.0,0,1.31,39.0,39.0,0.0,0.0,0.57,Matches
Matheus Ferraz,br BRA,DF,30.0,32,2846.0,89.0,83.2,31.6,32,89.0,31.0,0,,3,1.34,45.0,46.0,-1.0,-0.03,0.75,Matches
Gabriel Xavier,br BRA,"FW,MF",22.0,28,2061.0,74.0,60.3,22.9,25,79.0,13.0,3,25.0,5,0.82,26.0,35.0,-9.0,-0.39,-0.59,Matches
Renê,br BRA,DF,23.0,23,1940.0,84.0,56.7,21.6,22,87.0,18.0,1,17.0,14,1.13,26.0,29.0,-3.0,-0.14,0.04,Matches
Rogério,br BRA,"FW,MF",25.0,26,1861.0,72.0,54.4,20.7,22,80.0,8.0,4,26.0,0,1.38,24.0,25.0,-1.0,-0.05,0.24,Matches
Rodney Wallace,cr CRC,"DF,MF",27.0,24,1837.0,77.0,53.7,20.4,21,86.0,16.0,3,11.0,3,1.21,26.0,31.0,-5.0,-0.24,-0.19,Matches
Durval,br BRA,DF,35.0,20,1800.0,90.0,52.6,20.0,20,90.0,20.0,0,,15,0.9,27.0,35.0,-8.0,-0.4,-0.51,Matches
Ronaldo Alves,br BRA,DF,26.0,20,1793.0,90.0,52.4,19.9,20,90.0,19.0,0,,5,1.6,25.0,23.0,2.0,0.1,0.54,Matches
Edmilson,br BRA,FW,33.0,22,1335.0,61.0,39.0,14.8,16,75.0,1.0,6,23.0,13,1.23,24.0,24.0,0.0,0.0,0.26,Matches
Serginho,br BRA,MF,29.0,17,1254.0,74.0,36.7,13.9,15,80.0,8.0,2,25.0,11,1.35,20.0,22.0,-2.0,-0.14,0.02,Matches
Paulo Roberto,br BRA,MF,28.0,14,1003.0,72.0,29.3,11.1,12,81.0,9.0,2,19.0,4,1.43,6.0,15.0,-9.0,-0.81,-0.92,Matches
Luis Carlos Ruiz,co COL,FW,29.0,12,779.0,65.0,22.8,8.7,8,81.0,4.0,4,32.0,1,1.17,12.0,11.0,1.0,0.12,0.35,Matches
Neto Moura,br BRA,MF,19.0,12,607.0,51.0,17.7,6.7,7,73.0,3.0,5,20.0,16,1.5,8.0,10.0,-2.0,-0.3,-0.17,Matches
Ronaldo Henrique,br BRA,MF,21.0,10,553.0,55.0,16.2,6.1,6,78.0,3.0,4,21.0,14,1.3,9.0,11.0,-2.0,-0.33,-0.2,Matches
Agenor Detofol,br BRA,GK,26.0,5,410.0,82.0,12.0,4.6,4,90.0,4.0,1,49.0,28,0.0,4.0,10.0,-6.0,-1.32,-1.32,Matches
Mark González,cl CHI,"FW,MF",31.0,8,334.0,42.0,9.8,3.7,4,71.0,1.0,4,13.0,5,1.25,3.0,6.0,-3.0,-0.81,-0.72,Matches
Vinícius Araújo,br BRA,FW,22.0,16,490.0,31.0,14.3,5.4,3,69.0,0.0,13,22.0,15,1.0,9.0,8.0,1.0,0.18,0.4,Matches
Rodrigo Mancha,br BRA,"DF,MF",29.0,14,480.0,34.0,14.0,5.3,3,89.0,2.0,11,19.0,11,1.86,12.0,9.0,3.0,0.56,0.84,Matches
Oswaldo Henríquez,co COL,DF,26.0,4,303.0,76.0,8.9,3.4,3,90.0,3.0,1,32.0,12,0.25,1.0,4.0,-3.0,-0.89,-0.8,Matches
Apodi,br BRA,"DF,MF",29.0,15,475.0,32.0,13.9,5.3,2,77.0,0.0,13,25.0,7,1.6,8.0,3.0,5.0,0.95,1.28,Matches
Reinaldo Lenis,co COL,"FW,MF",23.0,15,409.0,27.0,12.0,4.5,2,71.0,0.0,13,21.0,19,0.8,4.0,9.0,-5.0,-1.1,-1.07,Matches
Luiz Antônio,br BRA,"DF,MF",24.0,4,119.0,30.0,3.5,1.3,1,72.0,0.0,3,16.0,10,0.5,0.0,1.0,-1.0,-0.76,-0.62,Matches
Oswaldo,br BRA,DF,23.0,2,97.0,49.0,2.8,1.1,1,91.0,1.0,1,6.0,8,1.5,0.0,2.0,-2.0,-1.86,-1.75,Matches
Túlio de Melo,br BRA,FW,31.0,11,164.0,15.0,4.8,1.8,0,,0.0,11,14.0,13,0.64,2.0,2.0,0.0,0.0,0.17,Matches
Clayton,br BRA,MF,24.0,4,27.0,7.0,0.8,0.3,0,,0.0,4,6.0,13,1.5,1.0,1.0,0.0,0.0,0.16,Matches
Mansur,br BRA,DF,22.0,1,10.0,10.0,0.3,0.1,0,,0.0,1,9.0,18,3.0,0.0,0.0,0.0,0.0,0.16,Matches
Adryelson,br BRA,DF,17.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Alison Araçoiaba,br BRA,MF,17.0,0,,,,,0,,0.0,0,,3,,,,,,,Matches
Luiz Carlos Oliveira de Bitencourt,br BRA,GK,27.0,0,,,,,0,,0.0,0,,7,,,,,,,Matches
Evandro,br BRA,DF,19.0,0,,,,,0,,0.0,0,,4,,,,,,,Matches
Lucas,br BRA,GK,18.0,0,,,,,0,,0.0,0,,9,,,,,,,Matches
Wallace Lucas,br BRA,FW,18.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Fabio Matos,br BRA,MF,20.0,0,,,,,0,,0.0,0,,3,,,,,,,Matches
Pablo Pardal,br BRA,MF,16.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Thallyson,br BRA,MF,19.0,0,,,,,0,,0.0,0,,4,,,,,,,Matches
Squad Total,,,27.8,38,3420.0,90.0,100.0,38.0,418,84.0,,113,21.0,296,1.24,49.0,55.0,-6.0,-0.16,,
Opponent Total,,,26.4,38,3420.0,90.0,100.0,38.0,418,84.0,,113,24.0,288,1.55,55.0,49.0,6.0,0.16,,
