Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Magrão,br BRA,GK,39.0,34.7,0,0,0,0,3,0,0,3,2,0,0,0,Matches
André,br BRA,FW,26.0,34.2,6,0,0,63,60,30,14,12,14,1,0,0,Matches
Patrick,br BRA,"FW,MF",24.0,28.9,5,1,0,50,55,0,36,49,81,0,1,0,Matches
Francisco Rithely,br BRA,MF,26.0,28.8,6,0,0,58,31,2,17,86,58,0,1,0,Matches
Diego Souza,br BRA,"FW,MF",31.0,25.4,10,1,0,45,59,6,71,9,10,2,0,0,Matches
Ronaldo Alves,br BRA,DF,27.0,25.0,6,0,0,27,42,2,2,58,31,0,0,0,Matches
Durval,br BRA,DF,36.0,23.0,5,0,0,21,16,2,1,41,21,0,0,0,Matches
Oswaldo Henríquez,co COL,DF,27.0,23.0,7,0,0,33,12,0,1,53,21,0,0,0,Matches
Eugenio Mena,cl CHI,"DF,MF",28.0,20.7,8,1,1,38,24,8,120,33,31,0,0,0,Matches
Samuel Xavier,br BRA,DF,26.0,21.7,7,0,0,32,34,1,100,47,34,1,1,0,Matches
Osvaldo,br BRA,"FW,MF",29.0,19.7,4,0,0,18,35,4,140,13,10,0,0,0,Matches
Sander,br BRA,DF,26.0,19.3,4,0,0,50,31,1,53,58,42,0,0,0,Matches
Everton Felipe,br BRA,MF,19.0,14.6,2,0,0,30,24,2,131,14,12,0,0,0,Matches
Anselmo de Moraes,br BRA,MF,27.0,15.1,5,1,0,38,12,1,5,36,50,0,0,0,Matches
Raul Prata,br BRA,DF,29.0,13.6,2,0,0,23,13,0,46,65,13,0,0,0,Matches
Rogério,br BRA,"FW,MF",26.0,12.5,0,0,0,15,47,1,63,15,12,1,0,0,Matches
Wesley,br BRA,MF,29.0,6.9,2,0,0,8,13,1,30,6,8,0,0,0,Matches
Reinaldo Lenis,co COL,"FW,MF",24.0,8.3,3,0,0,15,22,1,30,10,16,0,0,0,Matches
Marquinhos,br BRA,"DF,FW",27.0,5.2,0,0,0,7,5,2,50,5,0,0,0,0,Matches
Thomas Jaguaribe,br BRA,"FW,MF",23.0,4.9,1,0,0,14,16,1,12,3,14,0,0,0,Matches
Thallyson,br BRA,MF,20.0,4.7,3,0,0,16,7,1,10,7,9,0,0,0,Matches
Rodrigo,br BRA,MF,22.0,3.6,1,0,0,7,5,0,1,10,9,0,0,0,Matches
Fabrício,br BRA,MF,18.0,3.3,1,0,0,3,3,1,25,10,2,0,0,0,Matches
Agenor Detofol,br BRA,GK,27.0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Matheus Ferraz,br BRA,DF,31.0,3.0,1,0,0,6,1,0,0,14,3,0,1,0,Matches
Edimar Ribeiro da Costa Junior,,FW,17.0,4.4,1,0,0,14,5,4,8,5,5,0,0,0,Matches
Evandro,br BRA,DF,20.0,2.3,0,0,0,10,3,0,3,7,4,0,1,0,Matches
Neto Moura,br BRA,MF,20.0,1.6,0,0,0,5,2,0,0,4,3,0,0,0,Matches
Igor Ribeiro,br BRA,DF,27.0,1.2,0,0,0,2,2,0,1,4,1,0,0,0,Matches
Patrick,br BRA,MF,17.0,1.0,0,0,0,2,1,0,1,5,3,0,0,0,Matches
Neris,br BRA,DF,24.0,0.8,1,0,0,1,1,0,0,1,0,0,0,0,Matches
Ronaldo Henrique,br BRA,MF,22.0,0.5,0,0,0,3,1,0,0,2,1,0,0,0,Matches
Leandro Pereira,br BRA,FW,25.0,0.5,0,0,0,0,1,0,0,0,1,1,0,0,Matches
Wildson Índio,br BRA,FW,19.0,0.3,0,0,0,0,1,0,1,0,1,0,0,0,Matches
Bruno Xavier,br BRA,MF,20.0,0.2,0,0,0,0,0,0,1,0,0,0,0,0,Matches
Squad Total,,,28.3,38.0,91,4,1,654,587,71,973,685,522,6,5,0,
Opponent Total,,,26.7,38.0,85,3,1,636,623,65,604,633,549,4,9,1,
