Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Magrão,br BRA,GK,39.0,35,3125.0,89.0,91.4,34.7,35,89.0,34.0,0,,0,1.2,39.0,54.0,-15.0,-0.43,-1.35,Matches
André,br BRA,FW,26.0,35,3082.0,88.0,90.1,34.2,35,88.0,30.0,0,,0,1.14,41.0,52.0,-11.0,-0.32,-0.05,Matches
Patrick,br BRA,"FW,MF",24.0,31,2600.0,84.0,76.0,28.9,30,85.0,24.0,1,45.0,0,1.29,36.0,41.0,-5.0,-0.17,0.6,Matches
Francisco Rithely,br BRA,MF,26.0,32,2596.0,81.0,75.9,28.8,29,87.0,24.0,3,24.0,1,1.09,34.0,44.0,-10.0,-0.35,-0.13,Matches
Diego Souza,br BRA,"FW,MF",31.0,27,2284.0,85.0,66.8,25.4,26,86.0,23.0,1,45.0,0,1.19,30.0,40.0,-10.0,-0.39,-0.24,Matches
Ronaldo Alves,br BRA,DF,27.0,25,2250.0,90.0,65.8,25.0,25,90.0,25.0,0,,5,1.2,30.0,33.0,-3.0,-0.12,0.57,Matches
Durval,br BRA,DF,36.0,23,2070.0,90.0,60.5,23.0,23,90.0,23.0,0,,12,1.17,28.0,35.0,-7.0,-0.3,0.03,Matches
Oswaldo Henríquez,co COL,DF,27.0,23,2070.0,90.0,60.5,23.0,23,90.0,23.0,0,,10,1.26,29.0,34.0,-5.0,-0.22,0.25,Matches
Eugenio Mena,cl CHI,"DF,MF",28.0,23,1866.0,81.0,54.6,20.7,23,81.0,14.0,0,,0,1.39,30.0,27.0,3.0,0.14,1.01,Matches
Samuel Xavier,br BRA,DF,26.0,24,1956.0,82.0,57.2,21.7,22,86.0,18.0,2,29.0,9,0.96,27.0,39.0,-12.0,-0.55,-0.55,Matches
Osvaldo,br BRA,"FW,MF",29.0,28,1769.0,63.0,51.7,19.7,22,72.0,6.0,6,31.0,2,1.1,23.0,28.0,-5.0,-0.25,0.13,Matches
Sander,br BRA,DF,26.0,23,1735.0,75.0,50.7,19.3,20,83.0,16.0,3,27.0,9,1.35,21.0,31.0,-10.0,-0.52,-0.41,Matches
Everton Felipe,br BRA,MF,19.0,19,1318.0,69.0,38.5,14.6,17,72.0,5.0,2,45.0,4,1.47,19.0,22.0,-3.0,-0.2,0.18,Matches
Anselmo de Moraes,br BRA,MF,27.0,21,1362.0,65.0,39.8,15.1,16,77.0,9.0,5,27.0,1,1.05,15.0,24.0,-9.0,-0.59,-0.46,Matches
Raul Prata,br BRA,DF,29.0,15,1222.0,81.0,35.7,13.6,14,86.0,12.0,1,20.0,17,1.73,14.0,15.0,-1.0,-0.07,0.38,Matches
Rogério,br BRA,"FW,MF",26.0,27,1129.0,42.0,33.0,12.5,11,64.0,1.0,16,27.0,3,1.11,19.0,21.0,-2.0,-0.16,0.23,Matches
Wesley,br BRA,MF,29.0,9,625.0,69.0,18.3,6.9,9,69.0,4.0,0,,2,0.67,2.0,13.0,-11.0,-1.58,-1.55,Matches
Reinaldo Lenis,co COL,"FW,MF",24.0,19,749.0,39.0,21.9,8.3,6,73.0,2.0,13,24.0,12,1.21,13.0,14.0,-1.0,-0.12,0.25,Matches
Marquinhos,br BRA,"DF,FW",27.0,9,468.0,52.0,13.7,5.2,4,76.0,0.0,5,33.0,4,1.33,7.0,6.0,1.0,0.19,0.59,Matches
Thomas Jaguaribe,br BRA,"FW,MF",23.0,13,441.0,34.0,12.9,4.9,3,66.0,0.0,10,24.0,19,0.77,6.0,3.0,3.0,0.61,1.07,Matches
