Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Magrão,br BRA,GK,39.0,35,35,3125.0,34.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
André,br BRA,FW,26.0,35,35,3082.0,34.2,16.0,1.0,17.0,14.0,2.0,2.0,6.0,0.0,0.47,0.03,0.5,0.41,0.44,Matches
Patrick,br BRA,"FW,MF",24.0,31,30,2600.0,28.9,3.0,0.0,3.0,3.0,0.0,0.0,5.0,1.0,0.1,0.0,0.1,0.1,0.1,Matches
Francisco Rithely,br BRA,MF,26.0,32,29,2596.0,28.8,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,0.03,0.07,0.1,0.03,0.1,Matches
Diego Souza,br BRA,"FW,MF",31.0,27,26,2284.0,25.4,11.0,3.0,14.0,7.0,4.0,4.0,10.0,1.0,0.43,0.12,0.55,0.28,0.39,Matches
Ronaldo Alves,br BRA,DF,27.0,25,25,2250.0,25.0,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches
Durval,br BRA,DF,36.0,23,23,2070.0,23.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Oswaldo Henríquez,co COL,DF,27.0,23,23,2070.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Eugenio Mena,cl CHI,"DF,MF",28.0,23,23,1866.0,20.7,1.0,5.0,6.0,1.0,0.0,0.0,8.0,1.0,0.05,0.24,0.29,0.05,0.29,Matches
Samuel Xavier,br BRA,DF,26.0,24,22,1956.0,21.7,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches
Osvaldo,br BRA,"FW,MF",29.0,28,22,1769.0,19.7,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,0.15,0.1,0.25,0.15,0.25,Matches
Sander,br BRA,DF,26.0,23,20,1735.0,19.3,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches
Everton Felipe,br BRA,MF,19.0,19,17,1318.0,14.6,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.07,0.14,0.2,0.07,0.2,Matches
Anselmo de Moraes,br BRA,MF,27.0,21,16,1362.0,15.1,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.07,0.07,0.0,0.07,Matches
Raul Prata,br BRA,DF,29.0,15,14,1222.0,13.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Rogério,br BRA,"FW,MF",26.0,27,11,1129.0,12.5,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.16,0.24,0.4,0.16,0.4,Matches
Wesley,br BRA,MF,29.0,9,9,625.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Reinaldo Lenis,co COL,"FW,MF",24.0,19,6,749.0,8.3,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,0.24,0.36,0.6,0.24,0.6,Matches
Marquinhos,br BRA,"DF,FW",27.0,9,4,468.0,5.2,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.19,0.19,0.38,0.19,0.38,Matches
Thomas Jaguaribe,br BRA,"FW,MF",23.0,13,3,441.0,4.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.41,0.2,0.41,Matches
Thallyson,br BRA,MF,20.0,15,3,419.0,4.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.21,0.0,0.21,0.21,0.21,Matches
Rodrigo,br BRA,MF,22.0,8,3,328.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fabrício,br BRA,MF,18.0,7,3,299.0,3.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.3,0.0,0.3,Matches
Agenor Detofol,br BRA,GK,27.0,4,3,295.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matheus Ferraz,br BRA,DF,31.0,3,3,270.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.33,0.0,0.33,0.33,0.33,Matches
Edimar Ribeiro da Costa Junior,,FW,17.0,13,2,393.0,4.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.23,0.23,0.0,0.23,Matches
Evandro,br BRA,DF,20.0,3,2,210.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Neto Moura,br BRA,MF,20.0,2,2,143.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Igor Ribeiro,br BRA,DF,27.0,2,1,111.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Patrick,br BRA,MF,17.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Neris,br BRA,DF,24.0,1,1,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ronaldo Henrique,br BRA,MF,22.0,1,1,44.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Leandro Pereira,br BRA,FW,25.0,2,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Wildson Índio,br BRA,FW,19.0,3,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruno Xavier,br BRA,MF,20.0,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Adryelson,br BRA,DF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Elias,br BRA,DF,17.0,0,0,,,,,,,,,,,,,,,,Matches
Paulo Henrique,br BRA,FW,27.0,0,0,,,,,,,,,,,,,,,,Matches
Mailson,br BRA,GK,20.0,0,0,,,,,,,,,,,,,,,,Matches
Fabio Matos,br BRA,MF,21.0,0,0,,,,,,,,,,,,,,,,Matches
