Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2018-04-15,11:00,Série A,Matchweek 1,Sun,Away,L,0,3,América (MG),61,8304,Anselmo de Moraes,4-3-2-1,4-1-4-1,Savio Pereira,Match Report,
2018-04-23,20:00,Série A,Matchweek 2,Mon,Home,D,1,1,Botafogo (RJ),51,7083,Anselmo de Moraes,4-2-3-1,4-1-4-1,Rafael Traci,Match Report,
2018-04-29,16:00,Série A,Matchweek 3,Sun,Away,W,2,1,Paraná,30,7604,Anselmo de Moraes,4-2-3-1,4-2-3-1,Daniel Nobre Bins,Match Report,
2018-05-06,19:00,Série A,Matchweek 4,Sun,Home,W,2,0,Bahia,47,15165,Anselmo de Moraes,4-1-4-1,4-2-3-1,Grazianni Maciel Rocha,Match Report,
2018-05-13,11:00,Série A,Matchweek 5,Sun,Away,L,0,2,Cruzeiro,44,20095,Anselmo de Moraes,4-1-4-1,4-2-3-1,Bruno Arleu de Araujo,Match Report,
2018-05-20,16:00,Série A,Matchweek 6,Sun,Home,D,1,1,Corinthians,44,28942,Anselmo de Moraes,4-2-3-1,4-2-3-1,Wilton Sampaio,Match Report,
2018-05-26,19:00,Série A,Matchweek 7,Sat,Away,W,3,2,Palmeiras,39,25947,Anselmo de Moraes,4-1-4-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,
2018-05-30,19:30,Série A,Matchweek 8,Wed,Home,W,3,2,Atlético Mineiro,41,15605,Anselmo de Moraes,4-2-3-1,4-1-4-1,Wagner do Nascimento Magalhaes,Match Report,
2018-06-02,16:00,Série A,Matchweek 9,Sat,Away,D,0,0,Internacional,45,28320,Magrão,4-2-3-1,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,
2018-06-06,21:00,Série A,Matchweek 10,Wed,Home,W,1,0,Ath Paranaense,33,13349,Magrão,4-2-3-1,3-4-3,Igor Junior Benevenuto,Match Report,
2018-06-09,19:00,Série A,Matchweek 11,Sat,Away,L,2,3,Vasco da Gama,59,8418,Magrão,4-2-3-1,4-2-3-1,Savio Pereira,Match Report,
2018-06-13,19:30,Série A,Matchweek 12,Wed,Home,D,0,0,Grêmio,52,14430,Fellipe Bastos,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,
2018-07-18,19:30,Série A,Matchweek 13,Wed,Away,L,0,1,Ceará,66,15197,Magrão,4-2-3-1,4-2-3-1,Grazianni Maciel Rocha,Match Report,
2018-07-22,16:00,Série A,Matchweek 14,Sun,Home,L,1,2,Fluminense,56,11119,Magrão,4-1-4-1,4-3-2-1,Braulio da Silva Machado,Match Report,
2018-07-26,19:30,Série A,Matchweek 15,Thu,Away,L,0,1,Vitória,50,5706,Magrão,4-2-3-1,4-2-3-1,Vinicius Gonçalves Dias Araujo,Match Report,
2018-07-29,16:00,Série A,Matchweek 16,Sun,Away,L,1,4,Flamengo,43,58817,Magrão,4-2-3-1,4-1-4-1,Marcelo Aparecido Ribeiro De Souza,Match Report,
2018-08-05,19:00,Série A,Matchweek 17,Sun,Home,D,1,1,Chapecoense,63,6787,Magrão,4-2-3-1,4-1-4-1,Ricardo Marques Ribeiro,Match Report,
2018-08-12,16:00,Série A,Matchweek 18,Sun,Home,L,1,3,São Paulo,45,16050,Magrão,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,
2018-08-18,16:00,Série A,Matchweek 19,Sat,Away,L,0,3,Santos,47,17047,Magrão,4-2-3-1,4-3-3,Dewson Fernando Freitas da Silva,Match Report,
2018-08-22,21:00,Série A,Matchweek 20,Wed,Home,L,0,2,América (MG),53,16425,Magrão,4-2-3-1,4-1-2-1-2,Jailson Macêdo Freitas,Match Report,
2018-08-25,21:00,Série A,Matchweek 21,Sat,Away,L,0,2,Botafogo (RJ),57,6031,Ernando,4-2-3-1,4-2-3-1,Savio Pereira,Match Report,
2018-09-02,16:00,Série A,Matchweek 22,Sun,Home,W,1,0,Paraná,51,13966,Magrão,4-2-3-1,4-1-4-1,Emerson De Almeida Ferreira,Match Report,
2018-09-05,19:30,Série A,Matchweek 23,Wed,Away,L,0,2,Bahia,52,13816,Magrão,4-4-2,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,
2018-09-08,16:00,Série A,Matchweek 24,Sat,Home,D,0,0,Cruzeiro,54,9525,Magrão,4-2-3-1,4-2-3-1,Vinicius Gonçalves Dias Araujo,Match Report,
2018-09-16,19:00,Série A,Matchweek 25,Sun,Away,L,1,2,Corinthians,30,20901,Magrão,4-2-3-1,4-2-3-1,Rodrigo D'Alonso Ferreira,Match Report,
2018-09-23,18:00,Série A,Matchweek 26,Sun,Home,L,0,1,Palmeiras,52,18681,Magrão,4-2-3-1,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,
2018-09-30,16:00,Série A,Matchweek 27,Sun,Away,L,2,5,Atlético Mineiro,38,21654,Magrão,4-2-3-1,4-3-3,Leandro Bizzio Marinho,Match Report,
2018-10-05,19:00,Série A,Matchweek 28,Fri,Home,W,2,1,Internacional,43,9979,Marlone,4-2-3-1,4-3-3,André Luiz de Freitas Castro,Match Report,
2018-10-14,19:00,Série A,Matchweek 29,Sun,Away,L,0,4,Ath Paranaense,31,9139,Michel Bastos,4-2-3-1,4-2-3-1,Wagner Reway,Match Report,
2018-10-20,19:00,Série A,Matchweek 30,Sat,Home,W,2,1,Vasco da Gama,49,13860,Gabriel,4-2-3-1,4-3-2-1,Wilton Sampaio,Match Report,
2018-10-27,17:30,Série A,Matchweek 31,Sat,Away,W,4,3,Grêmio,32,12165,Sander,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,
2018-11-05,19:00,Série A,Matchweek 32,Mon,Home,W,1,0,Ceará,51,25002,Michel Bastos,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,
2018-11-11,19:00,Série A,Matchweek 33,Sun,Away,D,0,0,Fluminense,39,12256,Michel Bastos,4-2-3-1,4-2-3-1,Flavio Rodrigues De Souza,Match Report,
2018-11-14,20:45,Série A,Matchweek 34,Wed,Home,D,0,0,Vitória,55,22652,Hernane,4-2-3-1,4-1-4-1,Anderson Daronco,Match Report,
2018-11-18,16:00,Série A,Matchweek 35,Sun,Home,L,0,1,Flamengo,58,26005,Gabriel,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,
2018-11-22,21:00,Série A,Matchweek 36,Thu,Away,L,1,2,Chapecoense,64,12384,Ronaldo Alves,4-2-3-1,4-1-3-2,Leandro Pedro Vuaden,Match Report,
2018-11-26,20:00,Série A,Matchweek 37,Mon,Away,D,0,0,São Paulo,31,15235,Michel Bastos,4-2-3-1,4-2-3-1,André Luiz de Freitas Castro,Match Report,
2018-12-02,16:00,Série A,Matchweek 38,Sun,Home,W,2,1,Santos,49,23451,Fellipe Bastos,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,
