Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Ernando,br BRA,DF,29.0,32,32,2793.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gabriel,br BRA,"FW,MF",28.0,33,31,2706.0,30.1,5.0,3.0,8.0,5.0,0.0,1.0,4.0,0.0,0.17,0.1,0.27,0.17,0.27,Matches
Sander,br BRA,DF,27.0,28,27,2475.0,27.5,0.0,3.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches
Ronaldo Alves,br BRA,DF,28.0,29,27,2426.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Magrão,br BRA,GK,40.0,24,24,2160.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marlone,br BRA,MF,25.0,30,22,1928.0,21.4,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,0.09,0.19,0.28,0.09,0.28,Matches
Rogério,br BRA,"FW,MF",27.0,28,21,1766.0,19.6,3.0,0.0,3.0,3.0,0.0,0.0,3.0,1.0,0.15,0.0,0.15,0.15,0.15,Matches
Fellipe Bastos,br BRA,MF,27.0,29,20,1908.0,21.2,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.05,0.05,0.09,0.05,0.09,Matches
Raul Prata,br BRA,DF,30.0,21,18,1698.0,18.9,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.05,0.05,0.0,0.05,Matches
