Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Patric Cabral Lalau,br BRA,DF,30.0,36.0,43,24,25,12,6,27,57,47.4,30,23,8,15,44,87,102,1,Matches
Adryelson,br BRA,DF,21.0,35.7,19,13,19,0,0,11,23,47.8,12,52,38,14,71,90,206,1,Matches
Iago Maidana,br BRA,DF,23.0,33.4,23,13,13,10,0,9,20,45.0,11,35,24,11,58,81,164,1,Matches
Luan Polli,br BRA,GK,26.0,31.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,17,3,Matches
Marquinhos,br BRA,"FW,MF",23.0,23.4,31,24,15,14,2,12,45,26.7,33,21,1,20,18,49,12,0,Matches
Thiago Neves,br BRA,"MF,FW",34.0,22.8,10,9,4,4,2,3,16,18.8,13,11,1,10,13,23,11,0,Matches
Marcão Silva,br BRA,MF,29.0,21.4,35,23,16,18,1,19,42,45.2,23,32,7,25,30,65,40,0,Matches
Ricardinho,br BRA,MF,30.0,18.2,39,23,16,19,4,14,38,36.8,24,16,6,10,11,50,8,0,Matches
Betinho,br BRA,MF,27.0,17.2,52,30,21,27,4,21,66,31.8,45,21,7,14,27,79,21,0,Matches
Lucas Mugni,ar ARG,"MF,FW",28.0,17.1,60,30,33,21,6,16,53,30.2,37,30,5,25,10,70,11,1,Matches
Júnior Tavares,br BRA,DF,23.0,14.2,17,12,13,2,2,6,16,37.5,10,4,2,2,19,36,31,1,Matches
Dalberto,br BRA,FW,25.0,14.0,11,5,2,6,3,4,25,16.0,21,12,2,10,4,15,8,0,Matches
Sander,br BRA,"DF,MF",29.0,14.5,37,24,23,13,1,14,37,37.8,23,21,12,9,45,82,34,1,Matches
Ronaldo Henrique,br BRA,MF,25.0,11.1,15,7,6,8,1,5,18,27.8,13,15,6,9,19,34,16,0,Matches
Jonathan David Gómez,ar ARG,"MF,FW",30.0,10.9,18,7,5,11,2,4,24,16.7,20,6,1,5,6,24,5,0,Matches
Leandro Barcia,uy URU,"FW,MF",27.0,11.4,26,18,9,13,4,13,46,28.3,33,8,2,6,7,33,7,0,Matches
Élton Rodrigues Brandão,br BRA,FW,34.0,7.2,3,1,0,2,1,1,2,50.0,1,3,1,2,2,5,9,0,Matches
Luciano Juba,br BRA,DF,20.0,10.9,10,3,8,2,0,7,30,23.3,23,16,4,12,23,33,40,0,Matches
Hernane,br BRA,FW,33.0,8.0,8,3,2,5,1,3,12,25.0,9,6,0,6,7,15,5,0,Matches
Chico,br BRA,DF,21.0,7.2,8,6,5,2,1,2,6,33.3,4,4,3,1,19,27,41,0,Matches
Raul Prata,br BRA,"DF,FW",32.0,7.1,6,4,6,0,0,4,13,30.8,9,3,1,2,11,17,33,0,Matches
Mailson,br BRA,GK,23.0,7.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,Matches
Rafael Thyere,br BRA,DF,26.0,6.9,7,4,4,3,0,4,6,66.7,2,7,5,2,8,15,59,0,Matches
Ewerton,br BRA,"MF,DF",19.0,5.0,6,3,5,1,0,1,3,33.3,2,3,0,3,6,12,5,0,Matches
Márcio Araújo,br BRA,MF,35.0,4.8,11,4,7,2,2,6,11,54.5,5,4,0,4,6,17,3,1,Matches
Willian Farias,br BRA,MF,30.0,3.8,3,2,1,2,0,2,8,25.0,6,1,0,1,5,8,3,1,Matches
Lucas Venuto,br BRA,FW,25.0,3.2,0,0,0,0,0,0,3,0.0,3,4,0,4,2,2,0,0,Matches
Rafael Luiz,br BRA,FW,17.0,1.3,4,2,2,2,0,3,7,42.9,4,4,0,4,1,5,1,0,Matches
Bruninho,br BRA,"MF,FW",19.0,3.9,8,8,3,4,1,2,11,18.2,9,3,1,2,3,11,1,0,Matches
Mikael,br BRA,"FW,MF",20.0,3.4,4,1,0,4,0,0,2,0.0,2,2,0,2,0,4,3,0,Matches
Rogério,br BRA,FW,29.0,2.1,2,1,1,1,0,1,3,33.3,2,1,0,1,3,5,5,0,Matches
Ronaldo,br BRA,FW,28.0,0.7,1,1,1,0,0,0,3,0.0,3,2,1,1,0,1,0,0,Matches
Gustavo,br BRA,"FW,MF",17.0,0.5,0,0,0,0,0,0,2,0.0,2,1,0,1,3,3,1,0,Matches
Maxwell Silva,br BRA,FW,20.0,0.5,3,1,0,3,0,2,3,66.7,1,0,0,0,2,5,2,0,Matches
João Igor,br BRA,MF,23.0,0.5,0,0,0,0,0,0,3,0.0,3,1,0,1,2,2,1,0,Matches
Marcos Serrato,br BRA,MF,25.0,0.3,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,Matches
Philip,br BRA,"MF,FW",28.0,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Pedrão,br BRA,FW,20.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,27.0,38.0,521,307,265,212,44,216,658,32.8,442,372,138,234,486,1007,909,11,
Opponent Total,,,26.6,38.0,542,337,265,202,75,228,502,45.4,274,418,104,314,398,940,637,4,
