Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Mailson,br BRA,GK,24.0,37,3330.0,90.0,97.4,37.0,37,90.0,37.0,0,,1,1.0,23.0,36.0,-13.0,-0.35,-0.35,37.7,49.9,-12.2,-0.33,-1.68,Matches
José Sabino,br BRA,DF,24.0,36,3195.0,89.0,93.4,35.5,36,89.0,35.0,0,,1,1.03,23.0,33.0,-10.0,-0.28,0.92,34.9,47.7,-12.8,-0.36,-1.17,Matches
Marcão Silva,br BRA,MF,30.0,34,3033.0,89.0,88.7,33.7,34,89.0,32.0,0,,1,0.97,21.0,32.0,-11.0,-0.33,0.14,32.3,43.7,-11.4,-0.34,-0.48,Matches
Rafael Thyere,br BRA,DF,27.0,32,2795.0,87.0,81.7,31.1,32,87.0,29.0,0,,1,1.13,23.0,30.0,-7.0,-0.23,0.64,33.4,39.6,-6.2,-0.2,0.47,Matches
José Welison,br BRA,MF,25.0,31,2453.0,79.0,71.7,27.3,28,85.0,19.0,3,23.0,3,1.1,16.0,24.0,-8.0,-0.29,0.17,29.3,34.9,-5.5,-0.2,0.29,Matches
Sander,br BRA,DF,30.0,25,2055.0,82.0,60.1,22.8,24,85.0,20.0,1,21.0,2,0.96,13.0,26.0,-13.0,-0.57,-0.57,24.8,30.0,-5.2,-0.23,0.15,Matches
Mikael,br BRA,FW,21.0,33,1951.0,59.0,57.0,21.7,24,77.0,12.0,9,11.0,0,1.06,16.0,22.0,-6.0,-0.28,0.15,24.6,27.3,-2.6,-0.12,0.38,Matches
Hayner,br BRA,DF,25.0,24,1803.0,75.0,52.7,20.0,21,84.0,16.0,3,10.0,10,0.75,7.0,18.0,-11.0,-0.55,-0.44,18.0,27.6,-9.6,-0.48,-0.42,Matches
Gustavo,br BRA,"MF,FW",18.0,27,1636.0,61.0,47.8,18.2,21,70.0,1.0,6,28.0,6,1.19,9.0,12.0,-3.0,-0.17,0.34,20.0,22.6,-2.7,-0.15,0.26,Matches
