Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Mailson,br BRA,GK,24.0,37.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
José Sabino,br BRA,DF,24.0,35.5,0,30,5,16.7,0.85,0.14,0.0,0.0,17.1,0,0,0,2.4,2.4,0.08,-2.4,-2.4,Matches
Marcão Silva,br BRA,MF,30.0,33.7,1,14,6,42.9,0.42,0.18,0.07,0.17,16.3,0,0,0,1.7,1.7,0.12,-0.7,-0.7,Matches
Rafael Thyere,br BRA,DF,27.0,31.1,0,6,2,33.3,0.19,0.06,0.0,0.0,10.4,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
José Welison,br BRA,MF,25.0,27.3,2,45,11,24.4,1.65,0.4,0.04,0.18,24.2,4,0,0,3.7,3.7,0.09,-1.7,-1.7,Matches
Sander,br BRA,DF,30.0,22.8,1,15,4,26.7,0.66,0.18,0.07,0.25,23.0,1,0,0,1.0,1.0,0.07,0.0,0.0,Matches
Mikael,br BRA,FW,21.0,21.7,8,79,26,32.9,3.64,1.2,0.09,0.27,18.4,6,1,1,8.6,7.8,0.1,-0.6,-0.8,Matches
Hayner,br BRA,DF,25.0,20.0,0,7,3,42.9,0.35,0.15,0.0,0.0,23.3,0,0,0,0.9,0.9,0.12,-0.9,-0.9,Matches
Gustavo,br BRA,"MF,FW",18.0,18.2,2,47,15,31.9,2.59,0.83,0.04,0.13,22.7,0,0,0,3.1,3.1,0.07,-1.1,-1.1,Matches
Paulinho Moccelin,br BRA,"FW,MF",26.0,19.3,3,24,7,29.2,1.24,0.36,0.13,0.43,21.4,0,0,0,1.8,1.8,0.08,1.2,1.2,Matches
Ewerton,br BRA,DF,20.0,16.0,0,10,2,20.0,0.62,0.12,0.0,0.0,25.6,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
Hernanes,br BRA,MF,35.0,12.8,0,31,13,41.9,2.43,1.02,0.0,0.0,27.6,8,0,0,1.8,1.8,0.06,-1.8,-1.8,Matches
André,br BRA,FW,30.0,15.1,2,27,4,14.8,1.78,0.26,0.04,0.25,18.3,1,1,1,2.9,2.1,0.08,-0.9,-1.1,Matches
Everaldo,br BRA,"FW,MF",26.0,11.3,0,15,4,26.7,1.33,0.35,0.0,0.0,23.8,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
Everton Felipe,br BRA,"MF,FW",23.0,12.4,0,13,2,15.4,1.05,0.16,0.0,0.0,28.6,0,0,1,1.2,0.4,0.03,-1.2,-0.4,Matches
Chico,br BRA,DF,22.0,11.8,1,9,1,11.1,0.76,0.08,0.11,1.0,17.0,0,0,0,0.5,0.5,0.06,0.5,0.5,Matches
