Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Martín Silva,uy URU,GK,33.0,35.0,3,0,0,0,5,0,0,3,2,0,0,0,Matches
Jean,br BRA,MF,22.0,29.4,10,0,0,67,40,0,1,89,96,0,2,0,Matches
Mateus Vital,br BRA,"FW,MF",18.0,26.0,2,0,0,20,57,2,58,16,22,0,0,0,Matches
Nenê,br BRA,"FW,MF",35.0,26.5,6,0,0,30,82,8,232,14,28,0,0,0,Matches
Breno Borges,br BRA,DF,27.0,24.1,7,1,0,22,18,0,1,46,16,0,0,0,Matches
Wellington Martins,br BRA,MF,26.0,23.2,12,0,0,52,19,1,3,26,21,0,1,0,Matches
Gilberto,br BRA,"DF,MF",23.0,21.4,6,0,0,36,36,2,88,49,53,0,2,0,Matches
Yago Pikachu,br BRA,"DF,FW",24.0,20.3,2,0,0,22,38,4,64,30,16,0,0,0,Matches
Paulão,br BRA,DF,30.0,22.7,5,0,0,35,12,3,3,45,14,0,0,0,Matches
Henrique,br BRA,DF,22.0,19.8,3,0,0,32,34,2,68,38,39,0,0,0,Matches
Mádson,br BRA,"DF,MF",25.0,17.6,3,0,0,14,26,1,50,39,12,1,0,0,Matches
Ramon Motta,br BRA,DF,28.0,16.3,1,0,0,21,50,0,45,39,24,0,0,0,Matches
Andrés Ríos,ar ARG,"FW,MF",27.0,14.7,4,1,1,44,25,5,5,6,12,0,0,0,Matches
Anderson Martins,br BRA,DF,29.0,12.5,2,0,0,13,4,0,2,25,14,0,1,0,Matches
Paulinho,br BRA,"FW,MF",16.0,12.0,2,0,0,11,14,3,12,8,23,0,0,0,Matches
Rafael Marques,br BRA,DF,33.0,11.5,3,0,0,13,6,2,2,26,11,0,1,0,Matches
Wágner,br BRA,MF,32.0,11.1,2,0,0,17,19,3,21,14,13,0,0,0,Matches
Luís Fabiano,br BRA,FW,36.0,11.0,6,0,0,26,24,7,1,1,7,0,0,0,Matches
Douglas Luiz,br BRA,MF,18.0,11.0,3,0,0,20,25,0,28,14,20,0,0,0,Matches
Bruno Paulista,br BRA,MF,21.0,5.2,7,0,0,12,16,1,4,14,14,0,0,0,Matches
Thalles,br BRA,FW,21.0,7.1,5,0,0,15,14,1,3,4,2,0,0,0,Matches
Damián Escudero,ar ARG,MF,29.0,4.9,2,0,0,5,5,0,11,8,2,0,0,0,Matches
Paulo Vitor,br BRA,FW,17.0,5.6,2,0,0,13,12,0,24,1,9,0,0,0,Matches
Kelvin,br BRA,"FW,MF",23.0,3.1,0,0,0,3,8,3,5,2,2,0,0,0,Matches
Jomar,br BRA,DF,24.0,3.9,3,0,0,7,5,0,0,12,1,0,2,0,Matches
Evander,br BRA,"FW,MF",18.0,3.7,2,0,0,9,5,0,8,11,7,0,0,0,Matches
Gabriel Félix,br BRA,GK,21.0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Andrés Escobar,co COL,"FW,MF",25.0,4.7,0,0,0,7,11,2,17,3,5,0,0,0,Matches
Lucas Rocha,br BRA,DF,21.0,2.0,1,0,0,1,2,0,0,6,2,0,0,0,Matches
Guilherme Costa,br BRA,MF,22.0,2.8,1,0,0,8,8,0,7,2,3,0,0,0,Matches
Alan,br BRA,DF,19.0,0.3,1,0,0,2,0,0,0,0,3,0,0,0,Matches
Andrey Ramos do Nascimento,br BRA,MF,18.0,1.9,1,0,0,1,5,0,1,2,4,0,0,0,Matches
Caio Monteiro,br BRA,FW,19.0,1.3,2,0,0,3,1,0,3,0,2,0,0,0,Matches
André Luiz Tavares,br BRA,MF,33.0,0.8,0,0,0,1,3,0,4,3,1,0,0,0,Matches
Éder Luís,br BRA,"FW,MF",31.0,0.6,0,0,0,1,0,0,4,1,1,0,0,0,Matches
Jordi Almeida,br BRA,GK,23.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Muriqui,br BRA,"FW,MF",30.0,0.3,0,0,0,0,3,0,0,1,0,0,0,0,Matches
Bruno Gallo,br BRA,MF,28.0,0.2,0,0,0,1,1,0,0,0,1,0,0,0,Matches
Bruno Cosendey,br BRA,MF,20.0,0.2,0,0,0,0,1,0,0,0,1,0,0,0,Matches
Squad Total,,,26.6,38.0,109,2,1,584,634,50,775,598,503,1,9,0,
Opponent Total,,,27.0,38.0,81,6,2,671,548,81,800,504,411,7,1,4,
