Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Martín Silva,uy URU,GK,33.0,35,3150.0,90.0,92.1,35.0,35,90.0,35.0,0,,0,1.46,36.0,44.0,-8.0,-0.23,-0.56,Matches
Jean,br BRA,MF,22.0,34,2642.0,78.0,77.3,29.4,32,81.0,21.0,2,33.0,1,1.44,31.0,37.0,-6.0,-0.2,-0.09,Matches
Mateus Vital,br BRA,"FW,MF",18.0,30,2339.0,78.0,68.4,26.0,28,82.0,15.0,2,21.0,8,1.57,25.0,32.0,-7.0,-0.27,-0.27,Matches
Nenê,br BRA,"FW,MF",35.0,31,2383.0,77.0,69.7,26.5,25,86.0,17.0,6,37.0,1,1.48,29.0,31.0,-2.0,-0.08,0.36,Matches
Breno Borges,br BRA,DF,27.0,25,2165.0,87.0,63.3,24.1,24,88.0,22.0,1,42.0,0,1.5,28.0,30.0,-2.0,-0.08,0.28,Matches
Wellington Martins,br BRA,MF,26.0,26,2086.0,80.0,61.0,23.2,24,83.0,19.0,2,48.0,6,1.73,23.0,20.0,3.0,0.13,0.8,Matches
Gilberto,br BRA,"DF,MF",23.0,26,1923.0,74.0,56.2,21.4,24,79.0,19.0,2,14.0,4,1.27,21.0,34.0,-13.0,-0.61,-0.97,Matches
Yago Pikachu,br BRA,"DF,FW",24.0,27,1830.0,68.0,53.5,20.3,23,75.0,8.0,4,29.0,10,1.67,20.0,24.0,-4.0,-0.2,-0.03,Matches
Paulão,br BRA,DF,30.0,24,2046.0,85.0,59.8,22.7,22,87.0,21.0,2,67.0,5,1.63,27.0,30.0,-3.0,-0.13,0.13,Matches
Henrique,br BRA,DF,22.0,21,1782.0,85.0,52.1,19.8,20,86.0,17.0,1,61.0,15,1.24,21.0,31.0,-10.0,-0.51,-0.67,Matches
Mádson,br BRA,"DF,MF",25.0,19,1585.0,83.0,46.3,17.6,17,87.0,12.0,2,56.0,11,1.68,20.0,10.0,10.0,0.57,1.4,Matches
