Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Martín Silva,uy URU,GK,33.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jean,br BRA,MF,22.0,34,32,2642.0,29.4,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Mateus Vital,br BRA,"FW,MF",18.0,30,28,2339.0,26.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.08,0.08,0.15,0.08,0.15,Matches
Nenê,br BRA,"FW,MF",35.0,31,25,2383.0,26.5,5.0,5.0,10.0,5.0,0.0,1.0,6.0,0.0,0.19,0.19,0.38,0.19,0.38,Matches
Breno Borges,br BRA,DF,27.0,25,24,2165.0,24.1,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.04,0.0,0.04,0.04,0.04,Matches
Wellington Martins,br BRA,MF,26.0,26,24,2086.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gilberto,br BRA,"DF,MF",23.0,26,24,1923.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Yago Pikachu,br BRA,"DF,FW",24.0,27,23,1830.0,20.3,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,0.1,0.15,0.25,0.1,0.25,Matches
Paulão,br BRA,DF,30.0,24,22,2046.0,22.7,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.04,0.09,0.13,0.04,0.13,Matches
Henrique,br BRA,DF,22.0,21,20,1782.0,19.8,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches
Mádson,br BRA,"DF,MF",25.0,19,17,1585.0,17.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Ramon Motta,br BRA,DF,28.0,17,17,1463.0,16.3,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.06,0.12,0.18,0.06,0.18,Matches
Andrés Ríos,ar ARG,"FW,MF",27.0,17,15,1320.0,14.7,3.0,1.0,4.0,3.0,0.0,0.0,4.0,1.0,0.2,0.07,0.27,0.2,0.27,Matches
Anderson Martins,br BRA,DF,29.0,14,14,1125.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Paulinho,br BRA,"FW,MF",16.0,18,12,1078.0,12.0,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,0.25,0.08,0.33,0.25,0.33,Matches
Rafael Marques,br BRA,DF,33.0,15,12,1037.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Wágner,br BRA,MF,32.0,19,12,1003.0,11.1,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.18,0.0,0.18,0.18,0.18,Matches
Luís Fabiano,br BRA,FW,36.0,12,12,988.0,11.0,5.0,2.0,7.0,5.0,0.0,0.0,6.0,0.0,0.46,0.18,0.64,0.46,0.64,Matches
Douglas Luiz,br BRA,MF,18.0,11,11,990.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches
Bruno Paulista,br BRA,MF,21.0,10,6,470.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Thalles,br BRA,FW,21.0,12,5,642.0,7.1,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.28,0.0,0.28,0.28,0.28,Matches
Damián Escudero,ar ARG,MF,29.0,7,5,443.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Paulo Vitor,br BRA,FW,17.0,13,4,505.0,5.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.18,0.0,0.18,0.18,0.18,Matches
Kelvin,br BRA,"FW,MF",23.0,5,4,281.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jomar,br BRA,DF,24.0,5,3,348.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Evander,br BRA,"FW,MF",18.0,9,3,336.0,3.7,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.27,0.27,0.54,0.27,0.54,Matches
Gabriel Félix,br BRA,GK,21.0,3,3,240.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrés Escobar,co COL,"FW,MF",25.0,14,2,421.0,4.7,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.43,0.21,0.64,0.43,0.64,Matches
Lucas Rocha,br BRA,DF,21.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Guilherme Costa,br BRA,MF,22.0,9,1,251.0,2.8,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.36,0.72,1.08,0.36,1.08,Matches
Alan,br BRA,DF,19.0,1,1,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrey Ramos do Nascimento,br BRA,MF,18.0,4,0,171.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Caio Monteiro,br BRA,FW,19.0,6,0,119.0,1.3,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.51,0.0,1.51,1.51,1.51,Matches
André Luiz Tavares,br BRA,MF,33.0,2,0,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Éder Luís,br BRA,"FW,MF",31.0,4,0,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jordi Almeida,br BRA,GK,23.0,1,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Muriqui,br BRA,"FW,MF",30.0,2,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruno Gallo,br BRA,MF,28.0,1,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruno Cosendey,br BRA,MF,20.0,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Julio dos Santos,py PAR,MF,33.0,0,0,,,,,,,,,,,,,,,,Matches
Ricardo,br BRA,DF,19.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.6,38,418,3420.0,38.0,36.0,25.0,61.0,36.0,0.0,1.0,109.0,2.0,0.95,0.66,1.61,0.95,1.61,
Opponent Total,,,27.0,38,418,3420.0,38.0,47.0,28.0,75.0,39.0,8.0,8.0,81.0,6.0,1.24,0.74,1.97,1.03,1.76,
