Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 16_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Yago Pikachu,br BRA,"DF,FW",25.0,33.0,10,77,37,48.1,2.34,1.12,0.06,0.14,,5,5,Matches
Luiz Gustavo,br BRA,DF,23.0,27.7,0,11,3,27.3,0.4,0.11,0.0,0.0,,0,0,Matches
Andrey Ramos do Nascimento,br BRA,MF,19.0,25.0,4,66,15,22.7,2.64,0.6,0.06,0.27,,0,0,Matches
Leandro Desábato,ar ARG,MF,27.0,23.2,0,5,2,40.0,0.22,0.09,0.0,0.0,,0,0,Matches
Martín Silva,uy URU,GK,34.0,24.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Andrés Ríos,ar ARG,"FW,MF",28.0,23.5,7,44,19,43.2,1.87,0.81,0.16,0.37,,0,1,Matches
Henrique,br BRA,DF,23.0,21.2,0,14,5,35.7,0.66,0.24,0.0,0.0,,0,0,Matches
Maxi López,ar ARG,FW,33.0,18.1,7,42,14,33.3,2.32,0.77,0.07,0.21,,4,4,Matches
Ramon Motta,br BRA,DF,29.0,14.7,1,10,3,30.0,0.68,0.2,0.1,0.33,,0,0,Matches
Leandro Castán,br BRA,DF,31.0,14.3,0,2,0,0.0,0.14,0.0,0.0,,,0,0,Matches
Fernando Miguel,br BRA,GK,32.0,14.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Werley,br BRA,DF,29.0,13.8,0,8,0,0.0,0.58,0.0,0.0,,,0,0,Matches
Wágner,br BRA,MF,33.0,12.5,4,23,11,47.8,1.84,0.88,0.17,0.36,,0,0,Matches
Thiago Galhardo,br BRA,"FW,MF",28.0,14.3,3,21,8,38.1,1.47,0.56,0.1,0.25,,1,1,Matches
Willian Maranhão,br BRA,MF,22.0,12.4,0,12,4,33.3,0.97,0.32,0.0,0.0,,0,0,Matches
Ricardo,br BRA,DF,20.0,10.9,0,1,1,100.0,0.09,0.09,0.0,0.0,,0,0,Matches
Raul,br BRA,MF,21.0,10.6,0,10,1,10.0,0.94,0.09,0.0,0.0,,0,0,Matches
Bruno Silva,br BRA,"DF,MF",29.0,9.4,0,4,0,0.0,0.43,0.0,0.0,,,0,0,Matches
Rafael Galhardo,br BRA,DF,26.0,7.9,0,16,3,18.8,2.02,0.38,0.0,0.0,,0,0,Matches
Fabrício,br BRA,"DF,MF",31.0,7.6,1,13,4,30.8,1.7,0.52,0.08,0.25,,0,0,Matches
Giovanni Augusto,br BRA,MF,28.0,11.2,0,25,9,36.0,2.22,0.8,0.0,0.0,,0,1,Matches
Kelvin,br BRA,"FW,MF",24.0,9.0,1,15,6,40.0,1.67,0.67,0.07,0.17,,0,0,Matches
Lenon,br BRA,"DF,MF",27.0,7.6,0,4,1,25.0,0.52,0.13,0.0,0.0,,0,0,Matches
Bruno Cosendey,br BRA,MF,21.0,6.1,1,9,3,33.3,1.46,0.49,0.11,0.33,,0,0,Matches
Oswaldo Henríquez,co COL,DF,28.0,5.9,0,2,0,0.0,0.34,0.0,0.0,,,0,0,Matches
Paulão,br BRA,DF,31.0,5.0,0,4,1,25.0,0.8,0.2,0.0,0.0,,0,0,Matches
Breno Borges,br BRA,DF,28.0,5.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Caio Monteiro,br BRA,FW,20.0,4.4,1,5,2,40.0,1.13,0.45,0.2,0.5,,0,0,Matches
Marrony,br BRA,FW,18.0,4.3,1,6,3,50.0,1.41,0.7,0.17,0.33,,0,0,Matches
Frickson Erazo,ec ECU,DF,29.0,3.2,0,0,0,,0.0,0.0,,,,0,0,Matches
Wellington Martins,br BRA,MF,27.0,2.7,0,4,2,50.0,1.47,0.73,0.0,0.0,,0,0,Matches
Evander,br BRA,"FW,MF",19.0,2.7,0,10,3,30.0,3.67,1.1,0.0,0.0,,0,0,Matches
Rildo,br BRA,"FW,MF",28.0,2.4,0,3,0,0.0,1.25,0.0,0.0,,,0,0,Matches
Duvier Riascos,co COL,FW,31.0,2.0,0,5,1,20.0,2.56,0.51,0.0,0.0,,0,0,Matches
Bruno Ritter,br BRA,MF,18.0,1.8,0,0,0,,0.0,0.0,,,,0,0,Matches
Vinícius Araújo,br BRA,FW,24.0,2.2,0,8,1,12.5,3.6,0.45,0.0,0.0,,0,0,Matches
Miranda,br BRA,DF,18.0,1.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Paulo Vitor,br BRA,FW,18.0,0.9,0,0,0,,0.0,0.0,,,,0,0,Matches
Lucas Robinho,br BRA,FW,18.0,0.4,0,2,0,0.0,5.0,0.0,0.0,,,0,0,Matches
Moresche,br BRA,FW,19.0,0.2,0,0,0,,0.0,0.0,,,,0,0,Matches
Dudu,br BRA,MF,19.0,0.1,0,1,0,0.0,7.5,0.0,0.0,,,0,0,Matches
Lucas Kal,br BRA,"DF,MF",21.0,0.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Squad Total,,,27.2,38.0,41,482,162,33.6,12.68,4.26,0.06,0.19,,10,12,
Opponent Total,,,27.0,38.0,45,499,147,29.5,13.13,3.87,0.09,0.29,,2,3,
