Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Yago Pikachu,br BRA,"DF,FW",26.0,35.4,1316,1686,78.1,21811,8464,675,734,92.0,495,624,79.3,110,229,48.0,2,4.0,3.3,-2.0,40,146,31,13,181,Matches
Fernando Miguel,br BRA,GK,33.0,29.5,413,713,57.9,14786,11920,62,62,100.0,139,140,99.3,209,507,41.2,0,0.0,0.0,0.0,1,19,0,0,0,Matches
Marrony,br BRA,"FW,MF",19.0,29.2,400,549,72.9,5118,1406,260,315,82.5,94,131,71.8,14,22,63.6,2,5.8,2.2,-3.8,30,37,18,0,57,Matches
Raul,br BRA,MF,22.0,27.3,904,1112,81.3,16180,4910,398,451,88.2,356,407,87.5,115,179,64.2,3,3.0,1.7,0.0,28,92,16,5,129,Matches
Oswaldo Henríquez,co COL,DF,29.0,27.0,879,1041,84.4,18313,7367,258,286,90.2,461,515,89.5,149,216,69.0,1,0.4,0.7,0.6,5,41,3,1,54,Matches
Rossi,br BRA,"FW,MF",25.0,24.8,434,745,58.3,6983,2674,221,306,72.2,155,262,59.2,40,88,45.5,4,4.5,4.4,-0.5,36,45,44,17,92,Matches
Richard,br BRA,MF,24.0,24.4,998,1158,86.2,17314,4723,439,500,87.8,408,444,91.9,107,143,74.8,1,0.8,0.7,0.2,9,67,4,1,94,Matches
Leandro Castán,br BRA,DF,32.0,21.9,630,748,84.2,12676,4262,206,217,94.9,320,341,93.8,98,173,56.6,1,0.6,0.1,0.4,6,15,1,0,19,Matches
Henrique,br BRA,DF,24.0,19.0,708,905,78.2,9438,4003,463,505,91.7,181,250,72.4,29,70,41.4,0,1.3,0.7,-1.3,16,42,14,10,52,Matches
Marcos Júnior,br BRA,MF,23.0,18.8,669,815,82.1,10051,3259,355,418,84.9,216,250,86.4,50,69,72.5,0,1.8,0.9,-1.8,33,98,8,3,122,Matches
Danilo Barcelos,br BRA,DF,27.0,18.5,656,951,69.0,12267,5242,255,289,88.2,292,399,73.2,82,200,41.0,2,4.1,2.8,-2.1,40,51,19,17,77,Matches
Ricardo,br BRA,DF,21.0,17.0,543,665,81.7,9804,4299,218,229,95.2,265,299,88.6,52,119,43.7,0,0.4,0.2,-0.4,1,18,1,0,40,Matches
Ribamar,br BRA,FW,21.0,12.9,136,213,63.8,1683,360,89,123,72.4,32,45,71.1,2,6,33.3,0,0.3,0.3,-0.3,4,12,2,0,14,Matches
Talles Magno,br BRA,"FW,MF",16.0,11.8,240,313,76.7,3134,673,163,189,86.2,58,79,73.4,10,14,71.4,0,0.6,0.7,-0.6,12,16,12,0,42,Matches
Andrey Ramos do Nascimento,br BRA,MF,20.0,9.2,376,448,83.9,6362,1731,178,208,85.6,157,168,93.5,28,42,66.7,1,0.7,1.0,0.3,11,37,8,0,66,Matches
Fredy Guarín,co COL,"MF,FW",32.0,8.9,224,318,70.4,4182,1664,110,132,83.3,65,92,70.7,43,83,51.8,0,1.6,1.1,-1.6,16,27,7,3,38,Matches
Lucas Mineiro,br BRA,MF,22.0,7.9,295,344,85.8,5383,1550,125,145,86.2,129,146,88.4,34,44,77.3,0,0.3,0.2,-0.3,4,28,1,0,38,Matches
Werley,br BRA,DF,30.0,7.4,298,331,90.0,5991,1957,93,94,98.9,170,179,95.0,33,49,67.3,0,0.1,0.1,-0.1,2,13,1,0,17,Matches
Sidão,br BRA,GK,36.0,6.5,87,141,61.7,2659,2095,13,14,92.9,42,44,95.5,32,82,39.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Raúl Cáceres,py PAR,DF,27.0,5.3,197,262,75.2,3258,1335,104,114,91.2,69,100,69.0,20,33,60.6,0,1.3,0.9,-1.3,7,12,6,4,19,Matches
Bruno Gomes,br BRA,MF,17.0,4.8,154,186,82.8,2317,668,80,96,83.3,54,62,87.1,10,13,76.9,0,0.1,0.1,-0.1,1,12,3,0,21,Matches
Fellipe Bastos,br BRA,MF,28.0,6.4,311,370,84.1,5187,1456,139,159,87.4,134,155,86.5,28,42,66.7,0,0.5,0.3,-0.5,8,28,3,0,33,Matches
Bruno César,br BRA,"MF,FW",30.0,5.7,132,192,68.8,2183,817,69,75,92.0,38,55,69.1,17,40,42.5,0,1.1,0.9,-1.1,15,12,4,0,24,Matches
Maxi López,ar ARG,FW,34.0,4.6,32,51,62.7,367,54,23,32,71.9,4,9,44.4,1,2,50.0,0,0.1,0.1,-0.1,2,0,2,0,4,Matches
Marquinho,br BRA,"MF,FW",32.0,3.6,78,94,83.0,1033,314,40,48,83.3,27,30,90.0,1,4,25.0,0,0.2,0.0,-0.2,4,14,0,0,7,Matches
Yan Sasse,br BRA,"MF,FW",21.0,3.8,92,121,76.0,1245,246,48,62,77.4,29,30,96.7,5,9,55.6,0,0.2,0.2,-0.2,5,9,4,2,16,Matches
Valdívia,br BRA,"FW,MF",24.0,4.8,127,179,70.9,1934,497,67,82,81.7,34,47,72.3,15,31,48.4,1,0.6,0.5,0.4,9,10,3,0,18,Matches
Felipe Ferreira,br BRA,"FW,MF",24.0,4.1,107,145,73.8,1437,375,66,76,86.8,26,32,81.3,8,24,33.3,0,0.9,0.7,-0.9,7,7,5,1,12,Matches
Tiago Reis,br BRA,FW,19.0,4.1,51,63,81.0,711,102,31,36,86.1,12,16,75.0,4,4,100.0,1,1.0,0.1,0.0,5,0,1,0,3,Matches
Alexander,br BRA,GK,19.0,2.0,37,43,86.0,869,521,9,9,100.0,20,20,100.0,7,13,53.8,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Cláudio Winck,br BRA,DF,24.0,2.0,68,104,65.4,1146,499,30,34,88.2,29,47,61.7,5,13,38.5,0,0.0,0.1,0.0,0,5,1,0,11,Matches
Luiz Gustavo,br BRA,DF,24.0,1.5,50,65,76.9,983,380,14,18,77.8,30,34,88.2,5,12,41.7,0,0.0,0.0,0.0,1,4,0,0,2,Matches
Clayton,br BRA,"FW,MF",23.0,1.4,24,38,63.2,394,70,14,17,82.4,6,8,75.0,4,8,50.0,0,0.1,0.1,-0.1,1,0,0,0,2,Matches
