Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2019-04-28,16:00,Série A,Matchweek 1,Sun,Away,L,1,4,Ath Paranaense,1.3,3.7,43,12275,Werley,3-5-2,4-2-3-1,Luiz Flávio de Oliveira,Match Report,
2019-05-01,21:30,Série A,Matchweek 2,Wed,Home,L,1,2,Atlético Mineiro,1.6,0.6,51,6745,Werley,4-2-3-1,4-1-4-1,Raphael Claus,Match Report,
2019-05-04,19:00,Série A,Matchweek 3,Sat,Home,D,1,1,Corinthians,1.9,1.2,47,25779,Maxi López,4-2-3-1,4-1-4-1,Rodrigo D'Alonso Ferreira,Match Report,
2019-05-12,16:00,Série A,Matchweek 4,Sun,Away,L,0,3,Santos,1.0,3.2,45,12952,Maxi López,3-4-3,4-3-3,Paulo Roberto Alves Júnior,Match Report,
2019-05-19,19:00,Série A,Matchweek 5,Sun,Home,D,1,1,Avaí,1.0,0.6,50,13924,Maxi López,4-2-3-1,4-1-4-1,Ricardo Marques Ribeiro,Match Report,
2019-05-26,19:00,Série A,Matchweek 6,Sun,Away,D,1,1,Fortaleza,2.0,2.1,39,28148,Yago Pikachu,4-2-3-1,4-4-2,Anderson Daronco,Match Report,
2019-06-02,11:00,Série A,Matchweek 7,Sun,Away,L,0,1,Botafogo (RJ),1.3,0.6,45,19503,Yago Pikachu,4-1-4-1,4-1-4-1,Vinicius Gonçalves Dias Araujo,Match Report,
2019-06-07,20:30,Série A,Matchweek 8,Fri,Home,W,2,1,Internacional,1.2,1.7,31,11046,Fernando Miguel,4-3-3,4-3-3,Heber Roberto Lopes,Match Report,
2019-06-13,19:15,Série A,Matchweek 9,Thu,Home,W,1,0,Ceará,1.9,0.9,53,19584,Fernando Miguel,4-3-3,4-4-2,Flavio Rodrigues De Souza,Match Report,
2019-07-13,17:00,Série A,Matchweek 10,Sat,Away,L,1,2,Grêmio,1.5,1.8,30,9701,Fernando Miguel,4-3-3,4-2-3-1,Rodolpho Toski Marques,Match Report,
2019-07-20,11:00,Série A,Matchweek 11,Sat,Home,W,2,1,Fluminense,1.6,0.2,45,20904,Leandro Castán,4-1-4-1,4-2-3-1,Bruno Arleu de Araujo,Match Report,
2019-07-27,17:00,Série A,Matchweek 12,Sat,Away,D,1,1,Palmeiras,0.6,1.9,46,37754,Leandro Castán,4-3-3,4-2-3-1,Ricardo Marques Ribeiro,Match Report,
2019-08-04,19:00,Série A,Matchweek 13,Sun,Home,D,0,0,CSA,0.7,1.2,57,9631,Leandro Castán,4-2-3-1,4-2-3-1,Marielson Alves Silva,Match Report,
2019-08-11,19:00,Série A,Matchweek 14,Sun,Away,W,1,0,Goiás,1.0,1.6,46,14529,Leandro Castán,4-2-3-1,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,
2019-08-17,19:00,Série A,Matchweek 15,Sat,Home,L,1,4,Flamengo,2.4,3.6,43,65418,Leandro Castán,4-3-3,4-2-3-1,Leandro Pedro Vuaden,Match Report,
2019-08-25,16:00,Série A,Matchweek 16,Sun,Home,W,2,0,São Paulo,2.0,0.2,52,20404,Leandro Castán,4-1-4-1,4-1-4-1,Anderson Daronco,Match Report,
2019-09-01,19:00,Série A,Matchweek 17,Sun,Away,L,0,1,Cruzeiro,1.4,0.7,44,26052,Yago Pikachu,4-1-4-1,4-2-3-1,Heber Roberto Lopes,Match Report,
2019-09-07,11:00,Série A,Matchweek 18,Sat,Home,L,0,2,Bahia,1.0,1.0,57,20282,Leandro Castán,4-2-3-1,4-3-3,Caio Max Augusto Vieira,Match Report,
2019-09-14,19:00,Série A,Matchweek 19,Sat,Away,W,2,1,Chapecoense,2.1,0.8,44,8808,Leandro Castán,4-2-3-1,4-1-4-1,Flavio Rodrigues De Souza,Match Report,
2019-09-22,16:00,Série A,Matchweek 20,Sun,Home,D,1,1,Ath Paranaense,3.2,0.4,48,17427,Leandro Castán,4-1-4-1,4-1-4-1,Anderson Daronco,Match Report,
2019-09-29,11:00,Série A,Matchweek 22,Sun,Away,L,0,1,Corinthians,1.1,0.9,46,37091,Leandro Castán,4-3-3,4-1-4-1,Ricardo Marques Ribeiro,Match Report,
2019-10-02,19:15,Série A,Matchweek 21,Wed,Away,W,2,1,Atlético Mineiro,2.1,1.5,47,10485,Leandro Castán,4-4-2,4-2-3-1,Heber Roberto Lopes,Match Report,
2019-10-05,17:00,Série A,Matchweek 23,Sat,Home,L,0,1,Santos,2.0,1.0,43,17083,Leandro Castán,4-3-3,3-4-3,Savio Pereira,Match Report,
2019-10-10,19:15,Série A,Matchweek 24,Thu,Away,D,0,0,Avaí,1.5,0.9,45,7401,Yago Pikachu,4-2-3-1,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,
2019-10-13,16:00,Série A,Matchweek 25,Sun,Home,W,1,0,Fortaleza,1.6,0.6,58,12285,Leandro Castán,4-2-3-1,4-2-3-1,Daniel Nobre Bins,Match Report,
2019-10-16,21:30,Série A,Matchweek 26,Wed,Home,W,2,1,Botafogo (RJ),1.3,1.1,37,16604,Leandro Castán,4-2-3-1,4-1-4-1,Flavio Rodrigues De Souza,Match Report,
2019-10-20,17:00,Série A,Matchweek 27,Sun,Away,W,1,0,Internacional,2.2,1.3,29,24435,Leandro Castán,4-2-3-1,4-3-3,Vinicius Gonçalves Dias Araujo,Match Report,
2019-10-26,17:00,Série A,Matchweek 28,Sat,Away,D,1,1,Ceará,1.0,1.3,37,35178,Leandro Castán,4-3-3,4-1-4-1,Jean Pierre Goncalves Lima,Match Report,
2019-10-30,21:30,Série A,Matchweek 29,Wed,Home,L,1,3,Grêmio,0.8,1.6,43,15708,Leandro Castán,4-3-1-2,4-2-3-1,Wilton Sampaio,Match Report,
2019-11-02,20:00,Série A,Matchweek 30,Sat,Away,D,0,0,Fluminense,0.8,1.8,34,16056,Leandro Castán,4-2-3-1,4-3-1-2,Raphael Claus,Match Report,
2019-11-06,21:30,Série A,Matchweek 31,Wed,Home,L,1,2,Palmeiras,0.6,2.6,45,8492,Leandro Castán,4-2-4-0,4-2-3-1,Rafael Traci,Match Report,
2019-11-10,19:00,Série A,Matchweek 32,Sun,Away,W,3,0,CSA,1.9,1.8,41,14690,Yago Pikachu,4-2-3-1,4-2-3-1,Rodrigo D'Alonso Ferreira,Match Report,
2019-11-13,21:30,Série A,Matchweek 34,Wed,Away,D,4,4,Flamengo,2.4,2.4,34,52757,Yago Pikachu,4-1-2-1-2◆,4-2-3-1,Wilton Sampaio,Match Report,
2019-11-18,19:30,Série A,Matchweek 33,Mon,Home,D,1,1,Goiás,0.8,2.1,49,18620,Oswaldo Henríquez,4-1-4-1,4-4-1-1,Paulo Roberto Alves Júnior,Match Report,
2019-11-28,20:30,Série A,Matchweek 35,Thu,Away,L,0,1,São Paulo,0.8,1.0,44,11970,Leandro Castán,4-2-3-1,4-2-3-1,Savio Pereira,Match Report,
2019-12-02,20:00,Série A,Matchweek 36,Mon,Home,W,1,0,Cruzeiro,0.6,1.2,42,19796,Leandro Castán,4-3-3,4-3-3,Wilton Sampaio,Match Report,
2019-12-05,19:15,Série A,Matchweek 37,Thu,Away,D,1,1,Bahia,0.4,1.9,54,25148,Yago Pikachu,4-3-3,4-3-3,Felipe Fernandes de Lima,Match Report,
2019-12-08,16:00,Série A,Matchweek 38,Sun,Home,D,1,1,Chapecoense,3.9,0.6,51,61021,Leandro Castán,4-3-3,4-1-4-1,Pablo Ramón Goncalves Pinheiro,Match Report,
