Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Fernando Miguel,br BRA,GK,34.0,36.0,0,0,0,0,9,0,0,0,0,0,0,0,21,3,0,100.0,Matches
Germán Cano,ar ARG,FW,31.0,31.8,0,0,0,28,25,17,6,4,6,1,0,0,71,7,40,14.9,Matches
Talles Magno,br BRA,"FW,MF",17.0,25.7,5,1,0,26,80,7,20,15,28,0,0,0,111,43,65,39.8,Matches
Henrique,br BRA,DF,25.0,27.2,6,1,0,47,32,4,51,42,14,0,0,0,113,39,33,54.2,Matches
Leandro Castán,br BRA,DF,33.0,26.6,4,1,0,27,25,0,0,46,19,0,2,0,90,48,39,55.2,Matches
Yago Pikachu,br BRA,"DF,MF",27.0,22.0,5,0,0,22,46,4,70,31,18,1,1,0,102,18,25,41.9,Matches
Andrey Ramos do Nascimento,br BRA,MF,21.0,19.8,8,1,1,54,43,0,16,39,38,0,1,0,145,20,19,51.3,Matches
Martín Benítez,ar ARG,"MF,FW",25.0,19.1,5,0,0,26,52,3,92,23,15,0,0,0,100,13,20,39.4,Matches
Ricardo,br BRA,DF,22.0,17.9,2,0,0,15,14,1,0,29,11,0,1,0,48,44,30,59.5,Matches
Léo Matos,br BRA,DF,33.0,16.6,10,0,0,36,9,2,68,20,15,0,2,0,68,17,18,48.6,Matches
Leonardo Gil,ar ARG,MF,28.0,15.5,4,0,0,21,34,0,65,11,15,0,0,0,129,9,15,37.5,Matches
Bruno Gomes,br BRA,MF,18.0,16.4,6,2,1,37,47,0,1,23,27,0,1,0,113,21,18,53.8,Matches
Carlinhos,br BRA,"MF,FW",25.0,15.3,1,0,0,29,30,0,62,11,15,0,0,0,77,26,27,49.1,Matches
Miranda,br BRA,DF,20.0,15.2,1,0,0,19,10,0,0,27,18,0,2,0,73,29,13,69.0,Matches
Marcelo Alves,br BRA,DF,21.0,12.7,3,0,0,16,4,0,1,21,14,0,0,0,47,25,16,61.0,Matches
Marcos Júnior,br BRA,MF,24.0,11.6,1,0,0,15,19,0,4,20,9,0,0,0,72,12,15,44.4,Matches
Neto Borges,br BRA,"DF,MF",23.0,11.2,3,0,0,22,20,1,40,18,12,0,1,0,61,19,7,73.1,Matches
Fellipe Bastos,br BRA,MF,29.0,8.8,4,0,0,22,5,0,7,8,10,0,0,0,51,6,9,40.0,Matches
Juninho,br BRA,"MF,FW",19.0,8.7,1,0,0,13,13,1,9,4,7,0,0,0,47,2,9,18.2,Matches
Vinícius Paiva,br BRA,"FW,MF",18.0,8.4,1,0,0,7,15,3,20,1,5,0,0,0,39,2,9,18.2,Matches
Werley,br BRA,DF,31.0,6.8,0,0,0,9,3,1,0,7,1,0,0,0,27,8,10,44.4,Matches
Cayo Tenório,br BRA,DF,20.0,6.8,4,0,0,11,19,0,38,4,5,0,0,0,22,8,9,47.1,Matches
Ribamar,br BRA,"FW,MF",22.0,5.2,1,0,0,11,7,6,3,0,3,1,0,0,11,15,22,40.5,Matches
Ygor Catatau,br BRA,"FW,MF",24.0,5.1,1,0,0,8,14,2,15,6,3,0,0,0,22,16,24,40.0,Matches
Gustavo Torres,co COL,"MF,FW",23.0,4.9,1,0,0,13,3,0,17,3,5,0,0,0,14,7,26,21.2,Matches
Gabriel Chaves,br BRA,"MF,FW",18.0,5.3,2,0,0,10,12,0,7,5,11,0,0,0,20,4,8,33.3,Matches
Jadson,br BRA,DF,28.0,3.4,3,0,0,2,1,0,0,6,5,0,0,0,16,12,4,75.0,Matches
Bruno César,br BRA,MF,31.0,2.7,0,0,0,4,4,0,18,1,3,0,0,0,10,0,2,0.0,Matches
Lucão,br BRA,GK,18.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Caio Lopes,br BRA,MF,19.0,1.7,1,0,0,2,2,0,2,2,3,0,0,0,3,0,1,0.0,Matches
Cláudio Winck,br BRA,DF,25.0,1.5,0,0,0,5,0,0,3,4,0,0,0,0,2,1,4,20.0,Matches
Guilherme Parede,br BRA,"FW,MF",24.0,2.6,2,0,0,5,3,1,7,1,1,0,0,0,15,0,3,0.0,Matches
Tiago Reis,br BRA,"FW,MF",20.0,1.4,1,0,0,4,1,1,1,0,1,0,0,0,5,1,0,100.0,Matches
Lucas Robinho,br BRA,"MF,FW",20.0,0.6,1,0,0,2,1,0,0,0,0,0,0,0,4,0,0,,Matches
Squad Total,,,26.2,38.0,87,6,2,568,602,54,643,432,337,3,11,0,1751,475,540,46.8,
Opponent Total,,,26.5,38.0,76,1,0,636,528,50,779,435,381,8,4,0,1809,540,475,53.2,
