Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Fernando Miguel,br BRA,GK,34.0,36,3240.0,90.0,94.7,36.0,36,90.0,36.0,0,,0,1.11,35.0,51.0,-16.0,-0.44,1.06,38.8,52.4,-13.6,-0.38,0.47,Matches
Germán Cano,ar ARG,FW,31.0,34,2860.0,84.0,83.6,31.8,33,85.0,20.0,1,45.0,1,1.18,30.0,41.0,-11.0,-0.35,0.94,33.4,43.3,-9.8,-0.31,0.57,Matches
Talles Magno,br BRA,"FW,MF",17.0,34,2311.0,68.0,67.6,25.7,30,72.0,7.0,4,36.0,0,1.06,28.0,37.0,-9.0,-0.35,0.46,27.1,37.1,-10.0,-0.39,0.05,Matches
Henrique,br BRA,DF,25.0,29,2444.0,84.0,71.5,27.2,28,86.0,24.0,1,33.0,5,1.17,32.0,36.0,-4.0,-0.15,1.24,30.4,39.1,-8.6,-0.32,0.3,Matches
Leandro Castán,br BRA,DF,33.0,28,2396.0,86.0,70.1,26.6,28,86.0,25.0,0,,2,1.07,26.0,41.0,-15.0,-0.56,-0.21,29.5,39.2,-9.7,-0.36,0.13,Matches
Yago Pikachu,br BRA,"DF,MF",27.0,28,1980.0,71.0,57.9,22.0,22,82.0,13.0,6,30.0,5,1.14,24.0,32.0,-8.0,-0.36,0.32,25.2,30.2,-5.1,-0.23,0.41,Matches
Andrey Ramos do Nascimento,br BRA,MF,21.0,27,1786.0,66.0,52.2,19.8,21,80.0,12.0,6,16.0,5,1.19,20.0,28.0,-8.0,-0.4,0.2,19.7,29.2,-9.5,-0.48,-0.15,Matches
Martín Benítez,ar ARG,"MF,FW",25.0,24,1722.0,72.0,50.4,19.1,21,77.0,7.0,3,32.0,0,1.13,22.0,29.0,-7.0,-0.37,0.27,18.8,26.7,-7.9,-0.41,-0.02,Matches
Ricardo,br BRA,DF,22.0,21,1612.0,77.0,47.1,17.9,19,82.0,15.0,2,27.0,4,1.19,18.0,24.0,-6.0,-0.33,0.31,16.5,26.5,-10.1,-0.56,-0.3,Matches
Léo Matos,br BRA,DF,33.0,19,1490.0,78.0,43.6,16.6,19,78.0,7.0,0,,0,1.0,11.0,21.0,-10.0,-0.6,-0.18,15.2,24.3,-9.1,-0.55,-0.26,Matches
Leonardo Gil,ar ARG,MF,28.0,19,1398.0,74.0,40.9,15.5,17,77.0,4.0,2,42.0,3,0.84,12.0,19.0,-7.0,-0.45,0.08,17.7,21.2,-3.5,-0.23,0.3,Matches
Bruno Gomes,br BRA,MF,18.0,23,1479.0,64.0,43.2,16.4,15,82.0,8.0,8,31.0,5,1.3,16.0,19.0,-3.0,-0.18,0.56,17.1,22.2,-5.1,-0.31,0.16,Matches
Carlinhos,br BRA,"MF,FW",25.0,28,1381.0,49.0,40.4,15.3,14,77.0,7.0,14,22.0,4,0.82,12.0,31.0,-19.0,-1.24,-1.24,16.2,25.3,-9.1,-0.6,-0.32,Matches
Miranda,br BRA,DF,20.0,18,1365.0,76.0,39.9,15.2,14,89.0,13.0,4,28.0,12,0.89,14.0,31.0,-17.0,-1.12,-1.03,14.6,29.6,-15.0,-0.99,-0.97,Matches
Marcelo Alves,br BRA,DF,21.0,14,1146.0,82.0,33.5,12.7,12,88.0,11.0,2,46.0,15,1.36,12.0,18.0,-6.0,-0.47,0.04,13.1,18.2,-5.0,-0.4,0.01,Matches
Marcos Júnior,br BRA,MF,24.0,21,1047.0,50.0,30.6,11.6,12,72.0,3.0,9,21.0,12,0.86,10.0,23.0,-13.0,-1.12,-0.89,13.4,21.5,-8.1,-0.7,-0.43,Matches
Neto Borges,br BRA,"DF,MF",23.0,19,1008.0,53.0,29.5,11.2,11,83.0,9.0,8,12.0,17,1.11,5.0,20.0,-15.0,-1.34,-1.19,10.2,19.2,-9.0,-0.8,-0.57,Matches
