Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Fernando Miguel,br BRA,GK,34.0,36.0,989,857,987,2,0,0,989,0,0,,0,,489,3140,2263,0,0,0,1,0,275,0,Matches
Germán Cano,ar ARG,FW,31.0,31.8,688,4,51,383,262,95,686,29,15,51.7,14,48.3,384,1719,685,19,18,8,42,19,457,84,Matches
Talles Magno,br BRA,"FW,MF",17.0,25.7,1152,29,168,482,522,64,1152,131,88,67.2,43,32.8,813,5720,2883,105,82,16,97,75,920,210,Matches
Henrique,br BRA,DF,25.0,27.2,1680,98,557,825,311,15,1680,20,14,70.0,6,30.0,953,4799,2960,53,32,2,15,7,989,71,Matches
Leandro Castán,br BRA,DF,33.0,26.6,1490,239,850,625,21,13,1490,4,2,50.0,2,50.0,945,4323,2385,6,5,1,11,2,1000,3,Matches
Yago Pikachu,br BRA,"DF,MF",27.0,22.0,1135,57,272,506,368,36,1134,26,14,53.8,12,46.2,617,2908,1406,27,26,3,34,21,701,123,Matches
Andrey Ramos do Nascimento,br BRA,MF,21.0,19.8,1140,52,307,720,145,15,1140,39,26,66.7,13,33.3,673,3166,1549,19,25,2,25,19,714,31,Matches
Martín Benítez,ar ARG,"MF,FW",25.0,19.1,995,14,133,454,426,34,995,73,39,53.4,34,46.6,634,3818,1909,52,48,11,32,48,690,96,Matches
Ricardo,br BRA,DF,22.0,17.9,928,148,498,409,29,14,928,6,6,100.0,0,0.0,542,2500,1283,9,4,0,9,5,576,2,Matches
Léo Matos,br BRA,DF,33.0,16.6,913,69,296,327,293,24,913,17,10,58.8,7,41.2,485,2549,1213,49,26,3,18,4,507,109,Matches
Leonardo Gil,ar ARG,MF,28.0,15.5,1050,31,193,635,239,5,1050,19,12,63.2,7,36.8,673,3091,1589,26,23,1,24,21,708,26,Matches
Bruno Gomes,br BRA,MF,18.0,16.4,1058,50,260,695,112,8,1058,21,13,61.9,8,38.1,758,4685,1729,18,20,2,13,19,753,13,Matches
Carlinhos,br BRA,"MF,FW",25.0,15.3,919,28,126,505,298,9,919,39,27,69.2,12,30.8,598,3881,1664,35,45,2,31,12,641,53,Matches
Miranda,br BRA,DF,20.0,15.2,937,101,445,481,15,3,937,2,0,0.0,2,100.0,545,2766,1582,16,8,3,11,3,590,1,Matches
Marcelo Alves,br BRA,DF,21.0,12.7,618,109,355,261,6,5,618,2,2,100.0,0,0.0,362,1647,751,0,1,0,3,0,376,1,Matches
Marcos Júnior,br BRA,MF,24.0,11.6,701,23,135,475,99,5,701,22,16,72.7,6,27.3,430,2494,1277,19,26,1,8,9,488,12,Matches
Neto Borges,br BRA,"DF,MF",23.0,11.2,713,42,222,321,182,14,713,38,27,71.1,11,28.9,344,2205,1285,31,22,5,11,6,379,51,Matches
Fellipe Bastos,br BRA,MF,29.0,8.8,527,19,97,332,102,8,527,6,3,50.0,3,50.0,305,1062,473,2,8,0,8,6,359,14,Matches
Juninho,br BRA,"MF,FW",19.0,8.7,498,2,59,284,164,15,498,49,40,81.6,9,18.4,358,2637,1312,28,22,11,16,28,395,32,Matches
Vinícius Paiva,br BRA,"FW,MF",18.0,8.4,330,2,34,137,170,18,330,32,15,46.9,17,53.1,243,1738,825,35,25,7,33,13,258,74,Matches
Werley,br BRA,DF,31.0,6.8,436,56,200,223,13,5,436,0,0,,0,,289,1462,837,5,9,0,3,2,301,0,Matches
Cayo Tenório,br BRA,DF,20.0,6.8,403,15,91,162,158,7,403,16,11,68.8,5,31.3,239,1670,916,32,21,3,13,5,253,57,Matches
Ribamar,br BRA,"FW,MF",22.0,5.2,141,7,15,51,75,25,140,5,1,20.0,4,80.0,70,373,133,4,5,4,13,9,93,27,Matches
Ygor Catatau,br BRA,"FW,MF",24.0,5.1,211,6,32,88,101,22,211,26,14,53.8,12,46.2,146,1293,371,21,11,7,20,17,157,45,Matches
Gustavo Torres,co COL,"MF,FW",23.0,4.9,165,4,18,66,86,18,165,10,5,50.0,5,50.0,91,670,352,12,8,3,11,2,108,36,Matches
Gabriel Chaves,br BRA,"MF,FW",18.0,5.3,205,3,32,81,100,17,205,16,9,56.3,7,43.8,138,1084,492,18,12,5,20,8,139,48,Matches
