Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Fernando Miguel,br BRA,GK,34.0,36.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Germán Cano,ar ARG,FW,31.0,31.8,14,71,36,50.7,2.23,1.13,0.18,0.36,14.6,0,1,2,14.9,13.4,0.19,-0.9,-0.4,Matches
Talles Magno,br BRA,"FW,MF",17.0,25.7,3,35,11,31.4,1.36,0.43,0.09,0.27,18.1,0,0,0,3.9,3.9,0.11,-0.9,-0.9,Matches
Henrique,br BRA,DF,25.0,27.2,0,6,1,16.7,0.22,0.04,0.0,0.0,19.6,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Leandro Castán,br BRA,DF,33.0,26.6,0,5,1,20.0,0.19,0.04,0.0,0.0,10.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Yago Pikachu,br BRA,"DF,MF",27.0,22.0,2,24,7,29.2,1.09,0.32,0.04,0.14,19.9,2,1,1,2.5,1.8,0.08,-0.5,-0.8,Matches
Andrey Ramos do Nascimento,br BRA,MF,21.0,19.8,1,21,9,42.9,1.06,0.45,0.05,0.11,27.0,1,0,0,0.7,0.7,0.03,0.3,0.3,Matches
Martín Benítez,ar ARG,"MF,FW",25.0,19.1,2,28,10,35.7,1.46,0.52,0.07,0.2,25.4,4,0,0,1.1,1.1,0.04,0.9,0.9,Matches
Ricardo,br BRA,DF,22.0,17.9,2,12,5,41.7,0.67,0.28,0.17,0.4,12.7,0,0,0,1.2,1.2,0.1,0.8,0.8,Matches
Léo Matos,br BRA,DF,33.0,16.6,1,13,6,46.2,0.79,0.36,0.08,0.17,13.8,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
Leonardo Gil,ar ARG,MF,28.0,15.5,0,18,4,22.2,1.16,0.26,0.0,0.0,26.6,5,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
Bruno Gomes,br BRA,MF,18.0,16.4,0,10,1,10.0,0.61,0.06,0.0,0.0,26.2,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Carlinhos,br BRA,"MF,FW",25.0,15.3,1,33,7,21.2,2.15,0.46,0.03,0.14,27.1,3,0,0,2.0,2.0,0.06,-1.0,-1.0,Matches
Miranda,br BRA,DF,20.0,15.2,0,2,0,0.0,0.13,0.0,0.0,,11.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Marcelo Alves,br BRA,DF,21.0,12.7,0,3,0,0.0,0.24,0.0,0.0,,12.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Marcos Júnior,br BRA,MF,24.0,11.6,0,6,0,0.0,0.52,0.0,0.0,,24.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Neto Borges,br BRA,"DF,MF",23.0,11.2,0,7,2,28.6,0.62,0.18,0.0,0.0,24.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
